x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-145702.09,-8519.12,13.72,47,2014-09-01,14.60,K,35.90,K,2.20,K,71.00,K,10.60,K
-145702.09,-8519.12,13.72,47,2014-09-02,13.70,K,34.00,K,2.40,K,87.00,K,12.70,K
-145702.09,-8519.12,13.72,47,2014-09-03,11.90,K,32.00,K,2.20,K,89.00,K,12.60,K
-145702.09,-8519.12,13.72,47,2014-09-04,13.40,K,31.90,K,2.50,K,86.00,K,11.40,K
-145702.09,-8519.12,13.72,47,2014-09-05,12.30,K,30.70,K,2.50,K,84.00,K,12.10,K
-145702.09,-8519.12,13.72,47,2014-09-06,11.80,K,30.40,K,2.50,K,86.00,K,12.10,K
-145702.09,-8519.12,13.72,47,2014-09-07,11.70,K,30.90,K,2.10,K,83.00,K,10.60,K
-145702.09,-8519.12,13.72,47,2014-09-08,9.60,K,30.10,K,2.00,K,81.00,K,8.90,K
-145702.09,-8519.12,13.72,47,2014-09-09,8.50,K,29.70,K,1.80,K,86.00,K,9.80,K
-145702.09,-8519.12,13.72,47,2014-09-10,11.90,K,35.30,K,1.60,K,83.00,K,9.40,K
-145702.09,-8519.12,13.72,47,2014-09-11,,M,,M,,M,,M,,M
-145702.09,-8519.12,13.72,47,2014-09-12,,M,37.40,Y,2.30,H,67.00,H,,M
-145702.09,-8519.12,13.72,47,2014-09-13,16.30,K,36.20,K,2.20,K,79.00,K,12.60,K
-145702.09,-8519.12,13.72,47,2014-09-14,,M,34.60,K,2.10,H,77.00,H,,M
-145702.09,-8519.12,13.72,47,2014-09-15,,M,,M,,M,,M,,M
-145702.09,-8519.12,13.72,47,2014-09-16,,S,32.90,K,2.90,H,67.00,H,10.50,K
-145702.09,-8519.12,13.72,47,2014-09-17,13.50,K,31.10,K,2.20,K,79.00,K,12.50,K
-145702.09,-8519.12,13.72,47,2014-09-18,17.20,Y,27.80,K,2.90,K,81.00,K,15.00,K
-145702.09,-8519.12,13.72,47,2014-09-19,15.30,K,31.20,K,2.40,K,78.00,K,13.40,K
-145702.09,-8519.12,13.72,47,2014-09-20,14.20,K,31.00,K,2.60,K,85.00,K,12.80,K
-145702.09,-8519.12,13.72,47,2014-09-21,14.30,K,29.20,K,2.70,K,82.00,K,12.80,K
-145702.09,-8519.12,13.72,47,2014-09-22,13.30,K,31.30,K,2.00,K,87.00,K,13.50,K
-145702.09,-8519.12,13.72,47,2014-09-23,13.10,K,30.40,K,2.50,K,79.00,K,13.30,K
-145702.09,-8519.12,13.72,47,2014-09-24,14.30,K,29.50,K,2.90,K,85.00,K,15.10,K
-145702.09,-8519.12,13.72,47,2014-09-25,14.50,K,23.20,K,2.30,K,89.00,K,13.80,K
-145702.09,-8519.12,13.72,47,2014-09-26,11.90,K,25.20,K,2.70,K,90.00,K,11.30,K
-145702.09,-8519.12,13.72,47,2014-09-27,12.50,K,26.50,K,2.30,K,84.00,K,11.30,K
-145702.09,-8519.12,13.72,47,2014-09-28,12.50,K,22.70,K,1.70,K,83.00,K,12.10,K
-145702.09,-8519.12,13.72,47,2014-09-29,10.50,K,28.20,K,1.80,K,87.00,K,11.60,K
-145702.09,-8519.12,13.72,47,2014-09-30,12.80,K,26.90,K,2.60,K,81.00,K,12.20,K
