x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-154658.42,59179.42,18.29,6,2014-09-01,15.20,K,37.40,K,2.20,K,74.00,K,10.80,K
-154658.42,59179.42,18.29,6,2014-09-02,14.80,K,33.00,K,2.70,K,85.00,K,13.10,K
-154658.42,59179.42,18.29,6,2014-09-03,11.00,K,35.10,K,2.10,K,91.00,K,12.80,K
-154658.42,59179.42,18.29,6,2014-09-04,11.80,K,34.80,K,2.40,K,85.00,K,10.30,K
-154658.42,59179.42,18.29,6,2014-09-05,11.30,K,32.20,K,2.00,K,88.00,K,12.70,K
-154658.42,59179.42,18.29,6,2014-09-06,13.10,K,33.10,K,2.10,K,85.00,K,10.90,K
-154658.42,59179.42,18.29,6,2014-09-07,11.50,K,32.40,K,2.30,K,79.00,K,9.60,K
-154658.42,59179.42,18.29,6,2014-09-08,10.80,K,28.80,K,2.90,K,79.00,K,9.80,K
-154658.42,59179.42,18.29,6,2014-09-09,9.90,K,31.40,K,1.70,K,85.00,K,9.90,K
-154658.42,59179.42,18.29,6,2014-09-10,17.90,Y,36.50,K,1.90,K,86.00,K,8.00,Y
-154658.42,59179.42,18.29,6,2014-09-11,13.10,K,36.80,K,1.60,K,89.00,K,10.30,K
-154658.42,59179.42,18.29,6,2014-09-12,12.80,K,37.50,K,1.70,K,75.00,K,10.00,K
-154658.42,59179.42,18.29,6,2014-09-13,15.10,K,38.30,K,1.50,K,74.00,K,11.30,K
-154658.42,59179.42,18.29,6,2014-09-14,15.30,K,35.20,K,1.90,K,76.00,K,11.70,K
-154658.42,59179.42,18.29,6,2014-09-15,16.30,K,34.00,K,3.00,K,73.00,K,10.60,K
-154658.42,59179.42,18.29,6,2014-09-16,12.70,K,32.50,K,2.00,K,85.00,K,10.60,K
-154658.42,59179.42,18.29,6,2014-09-17,14.90,K,31.10,K,3.60,K,81.00,K,11.50,K
-154658.42,59179.42,18.29,6,2014-09-18,16.80,K,28.10,K,2.90,K,86.00,K,15.60,Y
-154658.42,59179.42,18.29,6,2014-09-19,13.40,K,32.10,K,1.90,K,90.00,K,13.80,K
-154658.42,59179.42,18.29,6,2014-09-20,15.00,K,31.20,K,2.40,K,87.00,K,14.10,K
-154658.42,59179.42,18.29,6,2014-09-21,16.30,K,29.60,K,2.50,K,79.00,K,12.70,K
-154658.42,59179.42,18.29,6,2014-09-22,12.60,K,30.40,K,1.70,K,88.00,K,13.30,K
-154658.42,59179.42,18.29,6,2014-09-23,14.70,K,31.30,K,3.30,K,83.00,K,12.30,K
-154658.42,59179.42,18.29,6,2014-09-24,15.40,K,29.60,K,3.20,K,91.00,K,15.90,Y
-154658.42,59179.42,18.29,6,2014-09-25,14.40,K,23.10,K,2.80,K,96.00,K,14.20,K
-154658.42,59179.42,18.29,6,2014-09-26,13.00,K,24.20,K,2.40,K,92.00,K,12.10,K
-154658.42,59179.42,18.29,6,2014-09-27,12.30,K,25.60,K,1.80,K,91.00,K,11.70,K
-154658.42,59179.42,18.29,6,2014-09-28,12.70,K,21.50,K,1.70,K,93.00,K,13.10,K
-154658.42,59179.42,18.29,6,2014-09-29,10.00,K,26.90,K,1.70,K,95.00,K,12.60,K
-154658.42,59179.42,18.29,6,2014-09-30,10.90,K,27.10,K,2.80,K,96.00,K,11.90,K
