x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-155828.52,45845.32,11.28,121,2014-09-01,12.10,K,36.20,K,2.10,K,95.00,K,12.80,K
-155828.52,45845.32,11.28,121,2014-09-02,13.80,K,28.40,K,5.10,K,90.00,K,14.30,K
-155828.52,45845.32,11.28,121,2014-09-03,,S,31.30,K,2.90,K,100.00,K,14.90,K
-155828.52,45845.32,11.28,121,2014-09-04,,S,30.50,K,3.60,K,97.00,K,13.80,K
-155828.52,45845.32,11.28,121,2014-09-05,11.30,K,29.70,K,3.40,K,97.00,K,13.70,K
-155828.52,45845.32,11.28,121,2014-09-06,12.10,K,30.60,K,3.50,K,89.00,K,12.20,K
-155828.52,45845.32,11.28,121,2014-09-07,11.10,K,30.20,K,3.50,K,87.00,K,10.80,K
-155828.52,45845.32,11.28,121,2014-09-08,11.50,K,25.10,K,5.70,K,90.00,K,11.40,K
-155828.52,45845.32,11.28,121,2014-09-09,8.00,K,30.20,K,2.10,K,100.00,K,11.30,K
-155828.52,45845.32,11.28,121,2014-09-10,10.00,K,35.30,K,1.40,K,95.00,K,10.70,K
-155828.52,45845.32,11.28,121,2014-09-11,11.00,K,35.90,K,1.60,K,89.00,K,11.60,K
-155828.52,45845.32,11.28,121,2014-09-12,10.40,K,36.60,K,1.70,K,92.00,K,12.30,K
-155828.52,45845.32,11.28,121,2014-09-13,13.40,K,39.00,Y,2.00,K,89.00,K,13.80,K
-155828.52,45845.32,11.28,121,2014-09-14,14.90,K,32.80,K,2.80,K,83.00,K,13.40,K
-155828.52,45845.32,11.28,121,2014-09-15,15.40,K,29.90,K,4.30,K,81.00,K,12.20,K
-155828.52,45845.32,11.28,121,2014-09-16,8.90,K,31.00,K,2.10,K,98.00,K,12.00,K
-155828.52,45845.32,11.28,121,2014-09-17,14.70,K,28.40,K,4.60,K,87.00,K,13.50,K
-155828.52,45845.32,11.28,121,2014-09-18,14.40,K,26.40,K,2.80,K,97.00,K,16.00,K
-155828.52,45845.32,11.28,121,2014-09-19,9.20,K,28.70,K,2.80,K,100.00,K,14.60,K
-155828.52,45845.32,11.28,121,2014-09-20,11.30,K,28.50,K,3.70,K,99.00,K,15.00,K
-155828.52,45845.32,11.28,121,2014-09-21,15.40,K,26.80,K,4.80,K,86.00,K,14.50,K
-155828.52,45845.32,11.28,121,2014-09-22,10.40,K,29.50,K,2.80,K,99.00,K,14.10,K
-155828.52,45845.32,11.28,121,2014-09-23,13.80,K,29.20,K,4.10,K,95.00,K,13.60,K
-155828.52,45845.32,11.28,121,2014-09-24,11.20,K,27.20,K,3.80,K,100.00,K,16.20,K
-155828.52,45845.32,11.28,121,2014-09-25,9.40,K,23.50,K,2.80,K,100.00,K,13.30,K
-155828.52,45845.32,11.28,121,2014-09-26,7.60,K,24.10,K,1.90,K,100.00,K,11.40,K
-155828.52,45845.32,11.28,121,2014-09-27,7.40,K,25.90,K,2.20,K,100.00,K,11.80,K
-155828.52,45845.32,11.28,121,2014-09-28,8.20,K,21.60,K,2.10,K,100.00,K,12.60,K
-155828.52,45845.32,11.28,121,2014-09-29,5.20,K,25.80,K,2.50,K,100.00,K,12.30,K
-155828.52,45845.32,11.28,121,2014-09-30,10.00,K,27.20,K,2.90,K,98.00,K,11.90,K
