x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-174960.51,76939.53,53.04,196,2014-09-01,20.90,K,39.10,K,1.60,K,49.00,K,7.80,K
-174960.51,76939.53,53.04,196,2014-09-02,17.60,K,37.10,K,1.20,K,70.00,K,10.90,K
-174960.51,76939.53,53.04,196,2014-09-03,14.50,K,37.10,K,1.30,K,88.00,K,11.60,K
-174960.51,76939.53,53.04,196,2014-09-04,16.60,K,38.10,K,1.60,K,62.00,K,4.70,K
-174960.51,76939.53,53.04,196,2014-09-05,14.80,K,35.90,K,1.20,K,82.00,K,11.70,K
-174960.51,76939.53,53.04,196,2014-09-06,14.90,K,36.10,K,1.20,K,78.00,K,9.10,K
-174960.51,76939.53,53.04,196,2014-09-07,13.50,K,35.70,K,1.20,K,71.00,K,7.50,K
-174960.51,76939.53,53.04,196,2014-09-08,13.10,K,34.30,K,1.30,K,78.00,K,8.30,K
-174960.51,76939.53,53.04,196,2014-09-09,12.50,K,33.80,K,1.20,K,83.00,K,9.00,K
-174960.51,76939.53,53.04,196,2014-09-10,,S,38.00,K,1.00,K,56.00,K,5.50,K
-174960.51,76939.53,53.04,196,2014-09-11,17.40,K,38.30,K,1.10,K,47.00,K,7.50,K
-174960.51,76939.53,53.04,196,2014-09-12,16.20,K,40.10,K,1.40,K,56.00,K,6.50,K
-174960.51,76939.53,53.04,196,2014-09-13,20.00,Y,40.20,K,1.30,K,40.00,K,7.00,K
-174960.51,76939.53,53.04,196,2014-09-14,17.20,K,38.10,K,1.30,K,64.00,K,10.10,K
-174960.51,76939.53,53.04,196,2014-09-15,16.90,K,37.10,K,1.40,K,59.00,K,8.30,K
-174960.51,76939.53,53.04,196,2014-09-16,12.90,K,33.80,K,1.10,K,71.00,K,9.20,K
-174960.51,76939.53,53.04,196,2014-09-17,15.00,K,34.10,K,2.10,K,73.00,K,10.30,K
-174960.51,76939.53,53.04,196,2014-09-18,19.80,Y,29.80,K,1.80,K,81.00,K,15.00,K
-174960.51,76939.53,53.04,196,2014-09-19,18.40,K,34.80,K,1.40,K,68.00,K,13.30,K
-174960.51,76939.53,53.04,196,2014-09-20,18.10,K,34.60,K,1.40,K,78.00,K,13.30,K
-174960.51,76939.53,53.04,196,2014-09-21,18.10,K,32.30,K,1.30,K,73.00,K,12.30,K
-174960.51,76939.53,53.04,196,2014-09-22,15.20,K,33.10,K,1.20,K,86.00,K,12.80,K
-174960.51,76939.53,53.04,196,2014-09-23,12.90,K,34.30,K,1.20,K,78.00,K,10.10,K
-174960.51,76939.53,53.04,196,2014-09-24,15.70,K,30.60,K,1.70,K,84.00,K,15.30,Y
-174960.51,76939.53,53.04,196,2014-09-25,16.10,K,26.20,K,1.70,K,93.00,K,13.50,K
-174960.51,76939.53,53.04,196,2014-09-26,14.90,K,25.80,K,1.80,K,81.00,K,11.40,K
-174960.51,76939.53,53.04,196,2014-09-27,13.70,K,28.30,K,1.40,K,82.00,K,10.70,K
-174960.51,76939.53,53.04,196,2014-09-28,14.30,K,22.90,K,1.10,K,82.00,K,13.10,K
-174960.51,76939.53,53.04,196,2014-09-29,12.20,K,29.10,K,1.00,K,89.00,K,12.40,K
-174960.51,76939.53,53.04,196,2014-09-30,13.70,K,29.50,K,1.80,K,92.00,K,10.90,K
