x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-105960.66,71113.67,80.77,131,2014-09-01,15.60,K,37.30,K,1.00,K,74.00,K,11.60,K
-105960.66,71113.67,80.77,131,2014-09-02,16.70,K,33.80,K,1.60,K,77.00,K,12.30,K
-105960.66,71113.67,80.77,131,2014-09-03,13.90,K,34.30,K,1.30,K,91.00,K,13.90,K
-105960.66,71113.67,80.77,131,2014-09-04,14.10,K,35.00,K,1.30,K,89.00,K,12.20,K
-105960.66,71113.67,80.77,131,2014-09-05,15.10,K,33.70,K,1.70,K,86.00,K,13.30,K
-105960.66,71113.67,80.77,131,2014-09-06,15.80,K,34.60,K,1.60,K,78.00,K,11.60,K
-105960.66,71113.67,80.77,131,2014-09-07,13.80,K,32.80,K,1.40,K,79.00,K,10.20,K
-105960.66,71113.67,80.77,131,2014-09-08,14.00,K,29.10,K,2.10,K,84.00,K,10.70,K
-105960.66,71113.67,80.77,131,2014-09-09,11.60,K,31.90,K,1.00,K,88.00,K,10.20,K
-105960.66,71113.67,80.77,131,2014-09-10,12.80,K,36.00,K,0.80,K,75.00,K,9.80,K
-105960.66,71113.67,80.77,131,2014-09-11,14.30,K,36.70,K,0.90,K,64.00,K,8.70,K
-105960.66,71113.67,80.77,131,2014-09-12,15.40,K,38.70,K,0.90,K,60.00,K,9.50,K
-105960.66,71113.67,80.77,131,2014-09-13,16.70,K,38.50,K,1.00,K,68.00,K,11.40,K
-105960.66,71113.67,80.77,131,2014-09-14,17.40,K,36.90,K,1.30,K,68.00,K,12.20,K
-105960.66,71113.67,80.77,131,2014-09-15,17.80,K,33.10,K,1.80,K,61.00,K,10.90,K
-105960.66,71113.67,80.77,131,2014-09-16,14.90,K,32.80,K,1.40,K,73.00,K,10.70,K
-105960.66,71113.67,80.77,131,2014-09-17,15.60,K,32.00,K,1.50,K,73.00,K,11.30,K
-105960.66,71113.67,80.77,131,2014-09-18,17.90,K,28.10,K,1.20,K,90.00,K,16.30,Y
-105960.66,71113.67,80.77,131,2014-09-19,15.50,K,29.60,K,1.30,K,90.00,K,14.80,K
-105960.66,71113.67,80.77,131,2014-09-20,16.70,K,30.70,K,1.60,K,85.00,K,15.10,K
-105960.66,71113.67,80.77,131,2014-09-21,16.60,K,26.30,K,1.80,K,85.00,K,14.70,K
-105960.66,71113.67,80.77,131,2014-09-22,14.50,K,30.70,K,1.30,K,91.00,K,14.40,K
-105960.66,71113.67,80.77,131,2014-09-23,16.20,K,31.40,K,1.60,K,86.00,K,13.40,K
-105960.66,71113.67,80.77,131,2014-09-24,18.10,Y,29.70,K,2.10,K,88.00,K,16.30,Y
-105960.66,71113.67,80.77,131,2014-09-25,13.90,K,22.10,K,1.30,K,92.00,K,13.70,K
-105960.66,71113.67,80.77,131,2014-09-26,11.10,K,24.80,K,1.10,K,94.00,K,11.90,K
-105960.66,71113.67,80.77,131,2014-09-27,13.00,K,25.30,K,1.30,K,89.00,K,12.40,K
-105960.66,71113.67,80.77,131,2014-09-28,13.20,K,23.20,K,1.00,K,90.00,K,12.90,K
-105960.66,71113.67,80.77,131,2014-09-29,12.10,K,27.30,K,1.10,K,91.00,K,12.90,K
-105960.66,71113.67,80.77,131,2014-09-30,13.60,K,27.40,K,1.30,K,88.00,K,13.00,K
