x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-104655.53,-40603.22,10.67,71,2014-09-01,12.60,K,33.80,K,1.70,K,86.00,K,13.60,K
-104655.53,-40603.22,10.67,71,2014-09-02,13.50,K,33.00,K,2.10,K,91.00,K,13.40,K
-104655.53,-40603.22,10.67,71,2014-09-03,11.30,K,30.70,K,2.20,K,94.00,K,13.60,K
-104655.53,-40603.22,10.67,71,2014-09-04,11.80,K,32.00,K,2.00,K,93.00,K,12.90,K
-104655.53,-40603.22,10.67,71,2014-09-05,12.00,K,30.60,K,2.00,K,93.00,K,13.60,K
-104655.53,-40603.22,10.67,71,2014-09-06,11.80,K,30.90,K,1.90,K,93.00,K,13.40,K
-104655.53,-40603.22,10.67,71,2014-09-07,10.60,K,30.90,K,1.90,K,93.00,K,12.30,K
-104655.53,-40603.22,10.67,71,2014-09-08,12.20,K,28.90,K,2.40,K,89.00,K,10.90,K
-104655.53,-40603.22,10.67,71,2014-09-09,8.30,K,29.80,K,1.80,K,93.00,K,11.20,K
-104655.53,-40603.22,10.67,71,2014-09-10,10.80,K,33.40,K,1.30,K,93.00,K,11.90,K
-104655.53,-40603.22,10.67,71,2014-09-11,12.40,K,34.80,K,1.40,K,92.00,K,12.30,K
-104655.53,-40603.22,10.67,71,2014-09-12,13.20,K,35.40,K,1.70,K,87.00,K,12.90,K
-104655.53,-40603.22,10.67,71,2014-09-13,15.60,K,34.20,K,1.50,K,83.00,K,14.80,K
-104655.53,-40603.22,10.67,71,2014-09-14,14.30,K,33.40,K,1.50,K,90.00,K,14.30,K
-104655.53,-40603.22,10.67,71,2014-09-15,14.90,K,31.90,K,2.60,K,87.00,K,13.20,K
-104655.53,-40603.22,10.67,71,2014-09-16,12.10,K,30.60,K,1.80,K,89.00,K,12.30,K
-104655.53,-40603.22,10.67,71,2014-09-17,13.40,K,31.80,K,1.60,K,91.00,K,13.30,K
-104655.53,-40603.22,10.67,71,2014-09-18,14.50,K,28.30,K,2.20,K,89.00,K,14.90,K
-104655.53,-40603.22,10.67,71,2014-09-19,14.10,K,29.80,K,2.00,K,90.00,K,14.50,K
-104655.53,-40603.22,10.67,71,2014-09-20,14.10,K,30.20,K,2.20,K,93.00,K,14.00,K
-104655.53,-40603.22,10.67,71,2014-09-21,13.50,K,28.30,K,2.50,K,91.00,K,14.40,K
-104655.53,-40603.22,10.67,71,2014-09-22,16.00,Y,29.60,K,2.30,K,94.00,K,14.70,K
-104655.53,-40603.22,10.67,71,2014-09-23,12.60,K,30.40,K,2.00,K,93.00,K,14.60,K
-104655.53,-40603.22,10.67,71,2014-09-24,13.10,K,29.70,K,2.20,K,93.00,K,15.50,K
-104655.53,-40603.22,10.67,71,2014-09-25,13.90,K,21.40,K,2.10,K,93.00,K,14.50,K
-104655.53,-40603.22,10.67,71,2014-09-26,11.40,K,23.60,K,2.60,K,94.00,K,12.20,K
-104655.53,-40603.22,10.67,71,2014-09-27,10.40,K,24.80,K,1.70,K,93.00,K,11.80,K
-104655.53,-40603.22,10.67,71,2014-09-28,12.60,K,23.40,K,1.50,K,91.00,K,12.90,K
-104655.53,-40603.22,10.67,71,2014-09-29,10.80,K,26.90,K,1.80,K,94.00,K,12.70,K
-104655.53,-40603.22,10.67,71,2014-09-30,10.40,K,25.70,K,2.30,K,94.00,K,12.90,K
