x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-166045.13,-37524.01,102.11,191,2014-09-01,13.00,K,35.50,K,1.40,K,84.00,K,9.70,K
-166045.13,-37524.01,102.11,191,2014-09-02,14.00,K,29.70,K,1.90,K,88.00,K,12.60,K
-166045.13,-37524.01,102.11,191,2014-09-03,12.60,K,30.90,K,1.50,K,91.00,K,12.70,K
-166045.13,-37524.01,102.11,191,2014-09-04,13.80,K,30.20,K,1.60,K,89.00,K,12.60,K
-166045.13,-37524.01,102.11,191,2014-09-05,12.80,K,30.00,K,1.50,K,91.00,K,12.60,K
-166045.13,-37524.01,102.11,191,2014-09-06,11.90,K,28.70,K,1.70,K,91.00,K,11.70,K
-166045.13,-37524.01,102.11,191,2014-09-07,11.20,K,27.90,K,1.70,K,90.00,K,10.90,K
-166045.13,-37524.01,102.11,191,2014-09-08,11.60,K,24.70,K,2.00,K,90.00,K,10.20,K
-166045.13,-37524.01,102.11,191,2014-09-09,9.70,K,30.40,K,1.10,K,92.00,K,10.10,K
-166045.13,-37524.01,102.11,191,2014-09-10,11.00,K,36.90,K,1.40,K,89.00,K,8.90,K
-166045.13,-37524.01,102.11,191,2014-09-11,12.40,K,36.30,K,1.50,K,82.00,K,7.50,K
-166045.13,-37524.01,102.11,191,2014-09-12,13.20,K,37.20,K,1.40,K,75.00,K,9.50,K
-166045.13,-37524.01,102.11,191,2014-09-13,15.30,K,36.20,K,1.20,K,83.00,K,12.40,K
-166045.13,-37524.01,102.11,191,2014-09-14,14.20,K,32.90,K,1.50,K,86.00,K,10.40,K
-166045.13,-37524.01,102.11,191,2014-09-15,14.50,K,29.40,K,2.00,K,82.00,K,11.50,K
-166045.13,-37524.01,102.11,191,2014-09-16,12.40,K,31.30,K,1.40,K,82.00,K,11.00,K
-166045.13,-37524.01,102.11,191,2014-09-17,12.80,K,31.00,K,2.00,K,88.00,K,12.10,K
-166045.13,-37524.01,102.11,191,2014-09-18,15.90,Y,26.30,K,2.50,K,86.00,K,15.10,Y
-166045.13,-37524.01,102.11,191,2014-09-19,13.70,K,28.50,K,1.60,K,90.00,K,13.90,K
-166045.13,-37524.01,102.11,191,2014-09-20,14.70,K,29.60,K,1.90,K,91.00,K,14.00,Y
-166045.13,-37524.01,102.11,191,2014-09-21,16.70,Y,23.60,K,2.70,Y,81.00,K,14.00,Y
-166045.13,-37524.01,102.11,191,2014-09-22,15.90,Y,29.70,K,1.70,K,84.00,K,13.10,K
-166045.13,-37524.01,102.11,191,2014-09-23,13.30,K,29.70,K,1.60,K,90.00,K,13.40,K
-166045.13,-37524.01,102.11,191,2014-09-24,17.70,R,28.10,K,2.20,K,84.00,K,15.40,Y
-166045.13,-37524.01,102.11,191,2014-09-25,14.00,K,22.90,K,1.90,K,91.00,K,12.90,K
-166045.13,-37524.01,102.11,191,2014-09-26,13.40,K,23.20,K,2.00,K,90.00,K,12.00,K
-166045.13,-37524.01,102.11,191,2014-09-27,13.70,K,24.10,K,1.70,K,88.00,K,12.10,K
-166045.13,-37524.01,102.11,191,2014-09-28,12.80,K,24.30,K,1.20,K,89.00,K,12.20,K
-166045.13,-37524.01,102.11,191,2014-09-29,11.40,K,26.70,K,1.50,K,92.00,K,12.10,K
-166045.13,-37524.01,102.11,191,2014-09-30,11.10,K,26.60,K,1.50,K,92.00,K,11.70,K
