x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-129869.16,-31281.62,24.99,167,2014-09-01,13.90,K,36.20,K,2.20,K,59.00,K,7.90,K
-129869.16,-31281.62,24.99,167,2014-09-02,15.10,K,35.00,K,2.80,K,75.00,K,10.60,K
-129869.16,-31281.62,24.99,167,2014-09-03,,S,32.80,K,3.20,K,90.00,K,11.10,K
-129869.16,-31281.62,24.99,167,2014-09-04,13.70,K,33.20,K,2.60,K,84.00,K,10.80,K
-129869.16,-31281.62,24.99,167,2014-09-05,12.50,K,31.90,K,2.10,K,88.00,K,12.20,K
-129869.16,-31281.62,24.99,167,2014-09-06,12.10,K,32.10,K,2.00,K,90.00,K,11.80,K
-129869.16,-31281.62,24.99,167,2014-09-07,11.10,K,32.10,K,2.10,K,88.00,K,10.40,K
-129869.16,-31281.62,24.99,167,2014-09-08,11.20,K,29.50,K,2.50,K,88.00,K,9.80,K
-129869.16,-31281.62,24.99,167,2014-09-09,8.90,K,30.50,K,1.70,K,87.00,K,8.70,K
-129869.16,-31281.62,24.99,167,2014-09-10,12.10,K,35.00,K,1.40,K,84.00,K,8.30,K
-129869.16,-31281.62,24.99,167,2014-09-11,14.30,K,36.20,K,1.60,K,60.00,K,7.80,K
-129869.16,-31281.62,24.99,167,2014-09-12,14.60,K,37.90,Y,1.80,K,67.00,K,7.80,K
-129869.16,-31281.62,24.99,167,2014-09-13,16.00,K,36.80,K,2.10,K,71.00,K,10.10,K
-129869.16,-31281.62,24.99,167,2014-09-14,15.50,K,36.50,K,2.10,K,71.00,K,10.00,K
-129869.16,-31281.62,24.99,167,2014-09-15,16.40,K,33.90,K,3.40,K,66.00,K,10.50,K
-129869.16,-31281.62,24.99,167,2014-09-16,11.90,K,32.30,K,2.00,K,76.00,K,8.90,K
-129869.16,-31281.62,24.99,167,2014-09-17,14.10,K,33.60,K,2.30,K,80.00,K,11.30,K
-129869.16,-31281.62,24.99,167,2014-09-18,17.30,K,29.50,K,2.50,K,70.00,K,13.70,K
-129869.16,-31281.62,24.99,167,2014-09-19,18.90,Y,31.60,K,2.90,K,68.00,K,12.90,K
-129869.16,-31281.62,24.99,167,2014-09-20,14.90,K,32.10,K,2.80,K,82.00,K,12.30,K
-129869.16,-31281.62,24.99,167,2014-09-21,15.50,K,28.60,K,3.50,K,80.00,K,13.40,K
-129869.16,-31281.62,24.99,167,2014-09-22,13.00,K,32.10,K,2.20,K,91.00,K,12.50,K
-129869.16,-31281.62,24.99,167,2014-09-23,13.30,K,32.00,K,2.60,K,87.00,K,13.10,K
-129869.16,-31281.62,24.99,167,2014-09-24,14.00,K,30.90,K,2.70,K,91.00,K,14.70,Y
-129869.16,-31281.62,24.99,167,2014-09-25,15.10,K,22.50,K,2.10,K,92.00,K,14.40,Y
-129869.16,-31281.62,24.99,167,2014-09-26,13.20,K,24.80,K,2.70,K,90.00,K,12.10,K
-129869.16,-31281.62,24.99,167,2014-09-27,,M,,M,,M,,M,,M
-129869.16,-31281.62,24.99,167,2014-09-28,11.90,K,23.40,K,1.60,K,88.00,K,12.50,K
-129869.16,-31281.62,24.99,167,2014-09-29,11.80,K,28.30,K,2.10,K,92.00,K,11.90,K
-129869.16,-31281.62,24.99,167,2014-09-30,11.70,K,27.10,K,2.40,K,92.00,K,12.40,K
