x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-145276.06,12361.14,-0.3,140,2014-09-01,17.00,K,35.10,K,2.90,K,69.00,K,11.70,K
-145276.06,12361.14,-0.3,140,2014-09-02,15.70,K,29.50,K,4.30,K,85.00,K,13.40,K
-145276.06,12361.14,-0.3,140,2014-09-03,17.20,K,31.40,K,4.30,K,88.00,K,14.10,K
-145276.06,12361.14,-0.3,140,2014-09-04,15.50,K,30.80,K,5.00,K,86.00,K,12.90,K
-145276.06,12361.14,-0.3,140,2014-09-05,15.00,K,29.40,K,5.40,K,86.00,K,13.00,K
-145276.06,12361.14,-0.3,140,2014-09-06,14.50,K,30.10,K,4.90,K,85.00,K,12.10,K
-145276.06,12361.14,-0.3,140,2014-09-07,13.50,K,30.00,K,4.50,K,85.00,K,11.40,K
-145276.06,12361.14,-0.3,140,2014-09-08,13.00,K,24.80,K,6.10,K,83.00,K,11.00,K
-145276.06,12361.14,-0.3,140,2014-09-09,13.20,K,29.60,K,3.00,K,85.00,K,11.30,K
-145276.06,12361.14,-0.3,140,2014-09-10,12.10,K,34.70,K,1.60,K,92.00,K,11.20,K
-145276.06,12361.14,-0.3,140,2014-09-11,10.80,K,36.10,K,2.10,K,87.00,K,11.40,K
-145276.06,12361.14,-0.3,140,2014-09-12,13.50,K,37.20,K,2.30,K,79.00,K,10.70,K
-145276.06,12361.14,-0.3,140,2014-09-13,17.50,K,36.00,K,3.00,K,69.00,K,12.20,K
-145276.06,12361.14,-0.3,140,2014-09-14,16.20,K,32.70,K,3.80,K,76.00,K,11.40,K
-145276.06,12361.14,-0.3,140,2014-09-15,17.40,K,29.30,K,5.10,K,68.00,K,12.00,K
-145276.06,12361.14,-0.3,140,2014-09-16,15.30,K,31.20,K,3.30,K,84.00,K,12.50,K
-145276.06,12361.14,-0.3,140,2014-09-17,15.70,K,30.00,K,3.50,K,84.00,K,13.40,K
-145276.06,12361.14,-0.3,140,2014-09-18,15.70,K,27.30,K,2.90,K,90.00,K,15.40,Y
-145276.06,12361.14,-0.3,140,2014-09-19,16.90,K,28.80,K,4.90,K,88.00,K,15.10,K
-145276.06,12361.14,-0.3,140,2014-09-20,16.40,K,28.40,K,5.10,K,88.00,K,14.70,K
-145276.06,12361.14,-0.3,140,2014-09-21,16.90,K,25.40,K,7.30,Y,83.00,K,14.50,K
-145276.06,12361.14,-0.3,140,2014-09-22,16.40,K,30.40,K,4.50,K,86.00,K,14.00,K
-145276.06,12361.14,-0.3,140,2014-09-23,16.30,K,29.80,K,4.50,K,83.00,K,14.20,K
-145276.06,12361.14,-0.3,140,2014-09-24,18.30,Y,28.00,K,4.40,K,85.00,K,16.20,Y
-145276.06,12361.14,-0.3,140,2014-09-25,13.20,K,23.80,K,2.60,K,93.00,K,13.70,K
-145276.06,12361.14,-0.3,140,2014-09-26,12.90,K,24.40,K,2.60,K,92.00,K,12.50,K
-145276.06,12361.14,-0.3,140,2014-09-27,12.40,K,25.70,K,3.20,K,87.00,K,12.00,K
-145276.06,12361.14,-0.3,140,2014-09-28,10.70,K,22.20,K,1.50,K,96.00,K,13.00,K
-145276.06,12361.14,-0.3,140,2014-09-29,11.90,K,26.60,K,3.00,K,95.00,K,13.20,K
-145276.06,12361.14,-0.3,140,2014-09-30,13.40,K,26.20,K,2.70,K,88.00,K,12.90,K
