x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-145702.09,-8519.12,13.72,47,2014-10-01,15.90,K,29.50,K,4.40,Y,41.00,K,4.00,K
-145702.09,-8519.12,13.72,47,2014-10-02,11.60,K,30.90,K,1.90,K,54.00,K,5.60,K
-145702.09,-8519.12,13.72,47,2014-10-03,12.30,K,33.90,K,1.60,K,59.00,K,5.00,K
-145702.09,-8519.12,13.72,47,2014-10-04,12.30,K,34.80,K,1.70,K,53.00,K,5.70,K
-145702.09,-8519.12,13.72,47,2014-10-05,11.90,K,34.50,K,1.60,K,62.00,K,6.60,K
-145702.09,-8519.12,13.72,47,2014-10-06,13.10,K,34.60,K,1.60,K,71.00,K,8.90,K
-145702.09,-8519.12,13.72,47,2014-10-07,11.80,K,33.60,K,2.00,K,76.00,K,8.50,K
-145702.09,-8519.12,13.72,47,2014-10-08,13.30,K,35.00,Y,2.50,K,81.00,K,7.90,Y
-145702.09,-8519.12,13.72,47,2014-10-09,12.20,K,31.50,K,2.20,K,70.00,K,9.00,K
-145702.09,-8519.12,13.72,47,2014-10-10,10.60,K,29.50,K,1.50,K,86.00,K,10.80,K
-145702.09,-8519.12,13.72,47,2014-10-11,11.10,K,30.00,K,1.70,K,84.00,K,9.90,K
-145702.09,-8519.12,13.72,47,2014-10-12,15.50,Y,32.10,K,4.00,Y,71.00,K,1.60,Y
-145702.09,-8519.12,13.72,47,2014-10-13,10.70,K,32.40,K,1.60,K,76.00,K,3.80,K
-145702.09,-8519.12,13.72,47,2014-10-14,10.10,K,25.40,K,2.80,K,82.00,K,10.70,K
-145702.09,-8519.12,13.72,47,2014-10-15,13.40,K,22.60,K,2.70,K,84.00,K,12.00,K
-145702.09,-8519.12,13.72,47,2014-10-16,11.00,K,24.10,K,1.80,K,82.00,K,8.30,K
-145702.09,-8519.12,13.72,47,2014-10-17,9.80,K,24.60,K,1.40,K,79.00,K,9.00,K
