x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-134002.81,65873.73,12.19,155,2014-10-01,15.80,K,28.70,K,1.30,K,50.00,K,5.00,K
-134002.81,65873.73,12.19,155,2014-10-02,10.80,K,30.00,K,0.40,I,76.00,K,7.40,K
-134002.81,65873.73,12.19,155,2014-10-03,13.10,K,33.30,K,0.40,I,74.00,K,8.60,K
-134002.81,65873.73,12.19,155,2014-10-04,13.30,K,33.80,K,0.40,I,77.00,K,9.70,K
-134002.81,65873.73,12.19,155,2014-10-05,13.90,K,34.70,K,0.40,I,77.00,K,10.80,K
-134002.81,65873.73,12.19,155,2014-10-06,14.40,K,34.40,K,0.40,I,76.00,K,10.20,K
-134002.81,65873.73,12.19,155,2014-10-07,14.20,K,33.80,K,0.50,K,77.00,K,10.70,K
-134002.81,65873.73,12.19,155,2014-10-08,13.80,K,34.50,K,0.50,K,82.00,K,10.20,K
-134002.81,65873.73,12.19,155,2014-10-09,13.70,K,31.80,K,0.80,K,83.00,K,10.40,K
-134002.81,65873.73,12.19,155,2014-10-10,12.60,K,29.10,K,0.70,K,86.00,K,11.10,K
-134002.81,65873.73,12.19,155,2014-10-11,13.60,K,29.80,K,0.50,K,84.00,K,11.70,K
-134002.81,65873.73,12.19,155,2014-10-12,16.70,Y,30.60,K,1.40,K,66.00,K,3.10,K
-134002.81,65873.73,12.19,155,2014-10-13,12.50,K,31.80,K,0.80,K,65.00,K,5.30,K
-134002.81,65873.73,12.19,155,2014-10-14,14.20,K,23.10,K,1.20,K,80.00,K,11.70,K
-134002.81,65873.73,12.19,155,2014-10-15,14.70,K,21.80,K,0.70,K,94.00,K,12.80,K
-134002.81,65873.73,12.19,155,2014-10-16,11.80,K,23.80,K,0.60,K,91.00,K,10.00,K
-134002.81,65873.73,12.19,155,2014-10-17,12.20,K,24.30,K,0.60,K,85.00,K,10.20,K
-134002.81,65873.73,12.19,155,2014-10-18,11.70,K,26.90,K,0.50,K,88.00,K,11.30,K
-134002.81,65873.73,12.19,155,2014-10-19,12.50,K,26.70,K,0.80,K,85.00,K,12.50,K
-134002.81,65873.73,12.19,155,2014-10-20,13.50,K,22.20,K,1.00,K,89.00,K,11.60,K
-134002.81,65873.73,12.19,155,2014-10-21,9.40,K,21.00,K,0.70,H,92.00,H,7.80,K
-134002.81,65873.73,12.19,155,2014-10-22,9.50,K,23.40,K,0.50,K,85.00,K,8.30,K
-134002.81,65873.73,12.19,155,2014-10-23,13.70,K,24.40,K,0.60,K,87.00,K,11.90,K
-134002.81,65873.73,12.19,155,2014-10-24,10.20,K,24.70,K,0.80,K,96.00,K,11.70,K
-134002.81,65873.73,12.19,155,2014-10-25,14.40,K,22.10,K,1.50,K,94.00,K,12.40,K
-134002.81,65873.73,12.19,155,2014-10-26,10.00,K,20.30,K,0.90,K,96.00,K,7.60,K
-134002.81,65873.73,12.19,155,2014-10-27,7.10,K,20.30,K,0.50,K,83.00,K,5.70,K
-134002.81,65873.73,12.19,155,2014-10-28,7.30,K,23.90,K,0.40,I,88.00,K,7.50,K
-134002.81,65873.73,12.19,155,2014-10-29,9.50,K,25.30,K,0.40,I,85.00,K,9.60,K
-134002.81,65873.73,12.19,155,2014-10-30,11.80,K,27.00,K,0.70,K,89.00,K,10.30,K
