x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-155828.52,45845.32,11.28,121,2014-10-01,11.30,K,29.30,K,6.00,K,69.00,K,3.90,K
-155828.52,45845.32,11.28,121,2014-10-02,8.50,K,30.60,K,2.00,K,70.00,K,5.20,K
-155828.52,45845.32,11.28,121,2014-10-03,11.00,K,33.90,K,1.50,K,73.00,K,6.60,K
-155828.52,45845.32,11.28,121,2014-10-04,9.30,K,33.90,K,1.50,K,75.00,K,8.50,K
-155828.52,45845.32,11.28,121,2014-10-05,10.00,K,33.70,K,1.30,K,79.00,K,10.50,K
-155828.52,45845.32,11.28,121,2014-10-06,10.40,K,34.50,K,1.40,K,78.00,K,10.80,K
-155828.52,45845.32,11.28,121,2014-10-07,0.00,Y,33.50,K,1.80,K,86.00,K,11.60,Y
-155828.52,45845.32,11.28,121,2014-10-08,10.60,K,34.50,K,1.60,K,91.00,K,9.90,K
-155828.52,45845.32,11.28,121,2014-10-09,9.30,K,29.50,K,2.70,K,99.00,K,11.40,K
-155828.52,45845.32,11.28,121,2014-10-10,9.30,K,27.40,K,2.60,K,97.00,K,11.80,K
-155828.52,45845.32,11.28,121,2014-10-11,8.80,K,31.10,K,1.70,K,98.00,K,11.30,K
-155828.52,45845.32,11.28,121,2014-10-12,12.10,K,32.20,K,6.50,Y,47.00,K,-0.10,Y
-155828.52,45845.32,11.28,121,2014-10-13,8.10,K,30.30,K,2.00,K,74.00,K,6.00,K
-155828.52,45845.32,11.28,121,2014-10-14,13.10,K,21.20,K,4.90,K,84.00,K,12.40,K
-155828.52,45845.32,11.28,121,2014-10-15,7.90,K,21.30,K,2.10,K,100.00,K,12.30,K
-155828.52,45845.32,11.28,121,2014-10-16,4.70,K,23.40,K,1.90,K,100.00,K,8.70,K
-155828.52,45845.32,11.28,121,2014-10-17,8.10,K,23.10,K,2.10,K,98.00,K,9.90,K
-155828.52,45845.32,11.28,121,2014-10-18,9.00,K,27.00,K,2.00,K,97.00,K,11.10,K
-155828.52,45845.32,11.28,121,2014-10-19,5.80,K,26.60,K,2.60,K,100.00,K,12.60,K
