x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-105960.66,71113.67,80.77,131,2014-10-01,13.30,K,28.90,K,2.40,K,67.00,K,6.90,K
-105960.66,71113.67,80.77,131,2014-10-02,11.30,K,32.60,K,0.80,K,78.00,K,8.10,K
-105960.66,71113.67,80.77,131,2014-10-03,12.60,K,34.30,K,0.80,K,79.00,K,8.70,K
-105960.66,71113.67,80.77,131,2014-10-04,12.70,K,34.40,K,0.90,K,77.00,K,8.80,K
-105960.66,71113.67,80.77,131,2014-10-05,13.30,K,35.00,K,0.80,K,78.00,K,10.20,K
-105960.66,71113.67,80.77,131,2014-10-06,14.00,K,35.30,K,0.80,K,69.00,K,10.00,K
-105960.66,71113.67,80.77,131,2014-10-07,14.40,K,34.40,K,0.90,K,69.00,K,10.70,K
-105960.66,71113.67,80.77,131,2014-10-08,12.40,K,34.10,K,1.10,K,85.00,K,8.90,K
-105960.66,71113.67,80.77,131,2014-10-09,13.70,K,30.80,K,1.30,K,68.00,K,9.10,K
-105960.66,71113.67,80.77,131,2014-10-10,11.40,K,29.80,K,0.90,K,87.00,K,10.90,K
-105960.66,71113.67,80.77,131,2014-10-11,12.60,K,30.60,K,0.80,K,85.00,K,11.70,K
-105960.66,71113.67,80.77,131,2014-10-12,13.50,K,30.70,K,2.60,Y,78.00,K,5.80,K
-105960.66,71113.67,80.77,131,2014-10-13,12.10,K,32.40,K,1.30,K,63.00,K,6.30,K
-105960.66,71113.67,80.77,131,2014-10-14,12.40,K,22.40,K,1.70,K,86.00,K,12.20,K
-105960.66,71113.67,80.77,131,2014-10-15,14.90,K,21.60,K,1.20,K,94.00,K,13.10,K
-105960.66,71113.67,80.77,131,2014-10-16,11.30,K,24.00,K,0.90,K,93.00,K,11.00,K
-105960.66,71113.67,80.77,131,2014-10-17,11.10,K,23.00,K,1.00,K,84.00,K,9.50,K
-105960.66,71113.67,80.77,131,2014-10-18,12.00,K,26.40,K,1.20,K,81.00,K,10.70,K
-105960.66,71113.67,80.77,131,2014-10-19,10.20,K,27.40,K,0.90,K,89.00,K,11.70,K
-105960.66,71113.67,80.77,131,2014-10-20,12.40,K,21.50,K,1.70,K,91.00,K,12.50,K
-105960.66,71113.67,80.77,131,2014-10-21,8.30,K,21.40,K,1.30,H,93.00,H,8.30,K
-105960.66,71113.67,80.77,131,2014-10-22,8.20,K,24.80,K,0.80,H,90.00,H,7.70,K
-105960.66,71113.67,80.77,131,2014-10-23,13.30,K,24.40,K,1.40,K,90.00,K,10.30,K
-105960.66,71113.67,80.77,131,2014-10-24,8.80,K,25.50,K,1.20,K,94.00,K,11.10,K
-105960.66,71113.67,80.77,131,2014-10-25,13.90,K,20.40,K,1.80,K,89.00,K,12.40,K
-105960.66,71113.67,80.77,131,2014-10-26,8.30,K,20.80,K,1.60,K,95.00,K,7.90,K
-105960.66,71113.67,80.77,131,2014-10-27,5.00,K,21.40,K,0.80,K,91.00,K,6.30,K
-105960.66,71113.67,80.77,131,2014-10-28,6.50,K,24.50,K,0.80,K,92.00,K,6.80,K
-105960.66,71113.67,80.77,131,2014-10-29,9.60,K,26.50,K,0.80,K,86.00,K,9.30,K
-105960.66,71113.67,80.77,131,2014-10-30,11.60,K,26.80,K,0.90,K,85.00,K,9.90,K
-105960.66,71113.67,80.77,131,2014-10-31,12.60,K,19.60,K,1.20,K,93.00,K,12.40,K
-105960.66,71113.67,80.77,131,2014-11-01,8.20,K,18.10,K,1.80,K,94.00,K,9.20,K
-105960.66,71113.67,80.77,131,2014-11-02,5.30,K,19.20,K,1.20,K,91.00,K,5.60,K
-105960.66,71113.67,80.77,131,2014-11-03,4.50,K,19.70,K,0.90,K,91.00,K,5.40,K
-105960.66,71113.67,80.77,131,2014-11-04,7.40,K,20.70,K,1.00,K,87.00,K,6.80,K
-105960.66,71113.67,80.77,131,2014-11-05,8.00,K,23.30,K,0.80,K,90.00,K,8.40,K
-105960.66,71113.67,80.77,131,2014-11-06,10.00,K,25.40,K,0.90,K,88.00,K,9.50,K
-105960.66,71113.67,80.77,131,2014-11-07,7.90,K,24.30,K,0.90,K,92.00,K,9.30,K
-105960.66,71113.67,80.77,131,2014-11-08,10.80,K,25.70,K,0.80,K,87.00,K,10.30,K
-105960.66,71113.67,80.77,131,2014-11-09,9.60,K,26.10,K,0.80,K,92.00,K,10.30,K
-105960.66,71113.67,80.77,131,2014-11-10,8.70,K,24.60,K,0.70,K,93.00,K,9.70,K
-105960.66,71113.67,80.77,131,2014-11-11,9.80,K,17.10,K,1.20,K,92.00,K,9.90,K
-105960.66,71113.67,80.77,131,2014-11-12,9.40,K,18.20,K,0.80,K,88.00,K,8.30,K
-105960.66,71113.67,80.77,131,2014-11-13,12.50,K,15.70,K,1.40,K,94.00,K,12.80,K
-105960.66,71113.67,80.77,131,2014-11-14,10.20,K,18.40,K,1.10,K,95.00,K,11.70,K
-105960.66,71113.67,80.77,131,2014-11-15,7.90,K,19.10,K,0.90,K,93.00,K,9.30,K
-105960.66,71113.67,80.77,131,2014-11-16,5.10,K,14.60,K,1.40,K,93.00,K,5.20,K
-105960.66,71113.67,80.77,131,2014-11-17,3.50,K,18.70,K,0.90,H,93.00,H,4.80,K
-105960.66,71113.67,80.77,131,2014-11-18,3.50,K,17.90,K,0.90,K,92.00,K,4.30,K
-105960.66,71113.67,80.77,131,2014-11-19,7.50,K,15.70,K,1.00,K,94.00,K,8.70,K
-105960.66,71113.67,80.77,131,2014-11-20,9.80,K,12.30,K,1.00,K,95.00,K,10.60,K
-105960.66,71113.67,80.77,131,2014-11-21,8.60,K,14.80,K,1.40,K,95.00,K,9.80,K
-105960.66,71113.67,80.77,131,2014-11-22,8.90,K,14.50,K,2.20,K,95.00,K,10.60,K
-105960.66,71113.67,80.77,131,2014-11-23,5.40,K,14.40,K,1.20,K,95.00,K,6.20,K
-105960.66,71113.67,80.77,131,2014-11-24,3.30,K,18.40,K,0.80,K,94.00,K,5.10,K
-105960.66,71113.67,80.77,131,2014-11-25,5.70,K,18.30,K,0.80,K,92.00,K,6.00,K
-105960.66,71113.67,80.77,131,2014-11-26,5.30,K,21.20,K,0.60,K,94.00,K,7.50,K
-105960.66,71113.67,80.77,131,2014-11-27,7.30,K,22.20,Y,0.70,K,93.00,K,8.50,K
-105960.66,71113.67,80.77,131,2014-11-28,4.50,K,18.40,K,1.00,K,93.00,K,7.70,K
-105960.66,71113.67,80.77,131,2014-11-29,11.00,K,16.00,K,1.40,K,94.00,K,9.70,K
-105960.66,71113.67,80.77,131,2014-11-30,10.80,K,14.30,K,1.20,K,95.00,K,10.50,K
