x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-107505.23,-19488.1,10.06,70,2014-10-01,11.90,K,28.70,K,2.00,K,71.00,K,7.80,K
-107505.23,-19488.1,10.06,70,2014-10-02,8.30,K,31.70,K,0.90,K,92.00,K,10.30,K
-107505.23,-19488.1,10.06,70,2014-10-03,9.70,K,33.30,K,1.00,K,93.00,K,11.10,K
-107505.23,-19488.1,10.06,70,2014-10-04,9.40,K,33.30,K,1.00,K,99.00,K,11.00,K
-107505.23,-19488.1,10.06,70,2014-10-05,9.90,K,33.90,K,0.90,K,99.00,K,11.30,K
-107505.23,-19488.1,10.06,70,2014-10-06,10.10,K,33.60,K,1.00,K,99.00,K,11.90,K
-107505.23,-19488.1,10.06,70,2014-10-07,9.50,K,32.30,K,1.30,K,98.00,K,11.70,K
-107505.23,-19488.1,10.06,70,2014-10-08,14.90,K,33.50,K,1.70,K,99.00,K,8.70,Y
-107505.23,-19488.1,10.06,70,2014-10-09,9.80,K,30.80,K,1.50,K,91.00,K,10.10,K
-107505.23,-19488.1,10.06,70,2014-10-10,9.40,K,28.80,K,1.50,K,97.00,K,11.70,K
-107505.23,-19488.1,10.06,70,2014-10-11,9.90,K,29.60,K,1.20,K,98.00,K,11.90,K
-107505.23,-19488.1,10.06,70,2014-10-12,11.00,K,31.20,K,1.90,K,96.00,K,6.50,K
-107505.23,-19488.1,10.06,70,2014-10-13,10.00,K,32.60,K,1.20,K,76.00,K,8.50,K
-107505.23,-19488.1,10.06,70,2014-10-14,9.30,K,25.00,K,1.70,K,100.00,K,12.00,K
-107505.23,-19488.1,10.06,70,2014-10-15,11.20,K,24.70,K,1.40,K,96.00,K,12.10,K
-107505.23,-19488.1,10.06,70,2014-10-16,9.30,K,24.50,K,1.30,K,100.00,K,9.70,K
-107505.23,-19488.1,10.06,70,2014-10-17,8.30,K,24.50,K,0.90,K,99.00,K,9.70,K
-107505.23,-19488.1,10.06,70,2014-10-18,10.00,K,26.30,K,1.50,K,99.00,K,12.00,K
-107505.23,-19488.1,10.06,70,2014-10-19,7.30,K,28.40,K,1.10,K,100.00,K,12.00,K
-107505.23,-19488.1,10.06,70,2014-10-20,9.50,K,24.10,K,1.90,K,100.00,K,12.30,K
-107505.23,-19488.1,10.06,70,2014-10-21,7.10,K,22.20,K,2.00,H,100.00,H,8.20,K
-107505.23,-19488.1,10.06,70,2014-10-22,6.70,K,24.60,K,1.10,K,99.00,K,8.90,K
-107505.23,-19488.1,10.06,70,2014-10-23,9.00,K,24.90,K,1.20,K,96.00,K,11.60,K
-107505.23,-19488.1,10.06,70,2014-10-24,8.50,K,26.80,K,1.30,K,100.00,K,12.30,K
-107505.23,-19488.1,10.06,70,2014-10-25,10.20,K,23.50,K,1.60,K,99.00,K,12.60,K
-107505.23,-19488.1,10.06,70,2014-10-26,7.40,K,21.30,K,2.20,K,99.00,K,8.50,K
-107505.23,-19488.1,10.06,70,2014-10-27,4.00,K,21.60,K,1.50,K,99.00,K,6.00,K
-107505.23,-19488.1,10.06,70,2014-10-28,3.90,K,24.60,K,1.10,K,100.00,K,6.40,K
-107505.23,-19488.1,10.06,70,2014-10-29,5.90,K,27.10,K,0.90,K,98.00,K,9.20,K
-107505.23,-19488.1,10.06,70,2014-10-30,8.30,K,26.60,K,1.20,K,96.00,K,9.80,K
-107505.23,-19488.1,10.06,70,2014-10-31,12.00,K,19.40,K,1.50,K,99.00,K,12.70,K
-107505.23,-19488.1,10.06,70,2014-11-01,6.50,K,19.60,K,1.70,K,100.00,K,10.20,K
-107505.23,-19488.1,10.06,70,2014-11-02,5.40,K,19.40,K,1.90,K,100.00,K,6.50,K
-107505.23,-19488.1,10.06,70,2014-11-03,1.70,K,20.10,K,0.80,K,100.00,K,5.60,K
-107505.23,-19488.1,10.06,70,2014-11-04,2.80,K,20.90,K,0.90,K,100.00,K,7.20,K
-107505.23,-19488.1,10.06,70,2014-11-05,4.70,K,23.10,K,1.10,K,100.00,K,8.50,K
-107505.23,-19488.1,10.06,70,2014-11-06,9.10,K,24.40,K,0.90,K,99.00,K,11.00,K
-107505.23,-19488.1,10.06,70,2014-11-07,7.50,K,24.40,K,1.20,K,100.00,K,10.90,K
-107505.23,-19488.1,10.06,70,2014-11-08,5.90,K,25.60,K,0.80,K,100.00,K,10.70,K
-107505.23,-19488.1,10.06,70,2014-11-09,6.30,K,25.20,K,0.90,K,100.00,K,10.60,K
-107505.23,-19488.1,10.06,70,2014-11-10,5.70,K,25.10,K,0.90,K,100.00,K,10.50,K
