x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-166045.13,-37524.01,102.11,191,2014-10-01,10.30,K,29.90,K,1.50,K,92.00,K,4.90,K
-166045.13,-37524.01,102.11,191,2014-10-02,8.30,K,31.80,K,1.20,K,79.00,K,4.80,K
-166045.13,-37524.01,102.11,191,2014-10-03,9.80,K,34.20,K,1.00,K,80.00,K,5.80,K
-166045.13,-37524.01,102.11,191,2014-10-04,9.80,K,36.70,K,0.90,K,79.00,K,5.50,K
-166045.13,-37524.01,102.11,191,2014-10-05,10.30,K,37.90,Y,0.90,K,78.00,K,5.80,K
-166045.13,-37524.01,102.11,191,2014-10-06,11.10,K,36.60,Y,1.10,K,75.00,K,6.40,Y
-166045.13,-37524.01,102.11,191,2014-10-07,10.90,K,33.70,K,1.20,K,83.00,K,9.30,K
-166045.13,-37524.01,102.11,191,2014-10-08,10.80,K,33.80,K,1.40,K,90.00,K,8.40,K
-166045.13,-37524.01,102.11,191,2014-10-09,11.20,K,29.40,K,1.40,K,86.00,K,10.20,K
-166045.13,-37524.01,102.11,191,2014-10-10,10.10,K,27.20,K,1.20,K,92.00,K,11.10,K
-166045.13,-37524.01,102.11,191,2014-10-11,9.50,K,31.70,K,1.10,K,92.00,K,9.90,K
-166045.13,-37524.01,102.11,191,2014-10-12,11.40,K,32.80,K,1.80,K,84.00,K,2.30,K
-166045.13,-37524.01,102.11,191,2014-10-13,8.80,K,33.00,K,1.20,K,69.00,K,3.90,K
-166045.13,-37524.01,102.11,191,2014-10-14,10.30,K,22.30,K,2.50,Y,89.00,K,10.70,K
-166045.13,-37524.01,102.11,191,2014-10-15,13.20,K,22.70,K,2.00,K,90.00,K,11.50,K
-166045.13,-37524.01,102.11,191,2014-10-16,9.60,K,23.30,K,1.40,K,91.00,K,8.50,K
-166045.13,-37524.01,102.11,191,2014-10-17,8.40,K,24.70,K,1.20,K,86.00,K,7.90,K
-166045.13,-37524.01,102.11,191,2014-10-18,9.90,K,26.80,K,1.20,K,89.00,K,10.30,K
-166045.13,-37524.01,102.11,191,2014-10-19,10.50,K,26.70,K,1.30,K,91.00,K,11.80,K
-166045.13,-37524.01,102.11,191,2014-10-20,11.20,K,21.40,K,1.90,K,88.00,K,12.00,K
-166045.13,-37524.01,102.11,191,2014-10-21,7.90,K,22.20,K,1.40,H,93.00,H,8.00,K
-166045.13,-37524.01,102.11,191,2014-10-22,7.70,K,24.90,K,1.20,H,91.00,H,8.70,K
-166045.13,-37524.01,102.11,191,2014-10-23,11.50,K,24.90,K,1.10,K,89.00,K,11.20,K
-166045.13,-37524.01,102.11,191,2014-10-24,8.90,K,27.80,K,1.70,K,92.00,K,10.50,K
-166045.13,-37524.01,102.11,191,2014-10-25,12.70,K,21.50,K,2.70,Y,91.00,K,11.90,K
-166045.13,-37524.01,102.11,191,2014-10-26,8.50,K,20.80,K,1.50,K,94.00,K,7.90,K
-166045.13,-37524.01,102.11,191,2014-10-27,4.90,K,23.10,K,1.10,K,94.00,K,6.70,K
-166045.13,-37524.01,102.11,191,2014-10-28,5.60,K,25.60,K,1.00,K,93.00,K,6.70,K
-166045.13,-37524.01,102.11,191,2014-10-29,7.90,K,27.20,K,1.30,K,91.00,K,6.90,K
-166045.13,-37524.01,102.11,191,2014-10-30,10.20,K,27.50,K,1.30,K,84.00,K,9.00,K
-166045.13,-37524.01,102.11,191,2014-10-31,12.40,Y,18.80,K,2.00,K,88.00,K,11.30,K
-166045.13,-37524.01,102.11,191,2014-11-01,7.60,K,17.80,K,1.90,K,91.00,K,8.50,K
-166045.13,-37524.01,102.11,191,2014-11-02,4.60,K,20.00,K,1.20,K,94.00,K,5.60,K
-166045.13,-37524.01,102.11,191,2014-11-03,3.60,K,22.40,K,1.00,K,93.00,K,4.40,K
-166045.13,-37524.01,102.11,191,2014-11-04,3.60,K,23.50,K,0.90,K,93.00,K,5.10,K
-166045.13,-37524.01,102.11,191,2014-11-05,6.10,K,23.90,K,1.30,K,90.00,K,6.60,K
-166045.13,-37524.01,102.11,191,2014-11-06,7.00,K,27.70,K,1.20,K,94.00,K,8.70,K
-166045.13,-37524.01,102.11,191,2014-11-07,10.10,K,26.40,K,1.00,K,95.00,K,10.30,Y
-166045.13,-37524.01,102.11,191,2014-11-08,6.90,K,25.90,K,1.00,K,94.00,K,8.60,K
-166045.13,-37524.01,102.11,191,2014-11-09,6.40,K,28.60,Y,0.90,K,93.00,K,8.30,K
-166045.13,-37524.01,102.11,191,2014-11-10,6.70,K,26.60,K,1.10,K,92.00,K,9.10,K
-166045.13,-37524.01,102.11,191,2014-11-11,9.40,K,19.60,K,1.80,K,92.00,K,8.80,K
-166045.13,-37524.01,102.11,191,2014-11-12,13.00,Y,20.70,K,1.30,K,75.00,K,7.30,K
-166045.13,-37524.01,102.11,191,2014-11-13,12.00,Y,18.60,K,1.40,K,92.00,K,12.20,K
-166045.13,-37524.01,102.11,191,2014-11-14,7.90,K,19.10,K,1.40,K,94.00,K,9.80,K
-166045.13,-37524.01,102.11,191,2014-11-15,6.50,K,20.10,K,1.10,K,94.00,K,8.50,K
-166045.13,-37524.01,102.11,191,2014-11-16,4.00,K,16.10,K,1.20,K,94.00,K,0.80,K
-166045.13,-37524.01,102.11,191,2014-11-17,2.30,K,18.60,K,1.30,H,88.00,H,1.30,K
-166045.13,-37524.01,102.11,191,2014-11-18,3.90,K,16.70,K,1.10,K,91.00,K,5.10,K
-166045.13,-37524.01,102.11,191,2014-11-19,8.90,K,18.90,K,1.60,K,92.00,K,9.50,K
