x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-145276.06,12361.14,-0.3,140,2014-10-01,11.40,K,28.40,K,4.50,K,62.00,K,5.90,K
-145276.06,12361.14,-0.3,140,2014-10-02,9.70,K,29.70,K,1.80,K,73.00,K,7.50,K
-145276.06,12361.14,-0.3,140,2014-10-03,9.50,K,33.10,K,1.40,K,89.00,K,8.60,K
-145276.06,12361.14,-0.3,140,2014-10-04,10.10,K,33.40,K,1.50,K,78.00,K,9.20,K
-145276.06,12361.14,-0.3,140,2014-10-05,9.30,K,34.60,K,1.50,K,76.00,K,9.70,K
-145276.06,12361.14,-0.3,140,2014-10-06,10.90,K,34.50,K,1.60,K,89.00,K,11.20,K
-145276.06,12361.14,-0.3,140,2014-10-07,12.80,K,33.80,K,2.70,K,69.00,K,10.00,K
-145276.06,12361.14,-0.3,140,2014-10-08,19.50,Y,33.70,K,3.20,K,84.00,K,,I
-145276.06,12361.14,-0.3,140,2014-10-09,16.40,Y,28.80,K,4.20,K,68.00,K,10.80,K
-145276.06,12361.14,-0.3,140,2014-10-10,13.70,K,27.60,K,4.10,K,84.00,K,11.50,K
-145276.06,12361.14,-0.3,140,2014-10-11,13.10,K,30.10,K,2.40,K,81.00,K,11.40,K
-145276.06,12361.14,-0.3,140,2014-10-12,12.40,K,30.90,K,4.40,K,68.00,K,4.00,Y
-145276.06,12361.14,-0.3,140,2014-10-13,6.90,K,31.00,K,1.80,K,80.00,K,7.00,K
-145276.06,12361.14,-0.3,140,2014-10-14,12.80,K,23.00,K,4.00,K,89.00,K,12.30,K
-145276.06,12361.14,-0.3,140,2014-10-15,13.90,K,21.60,K,2.30,K,92.00,K,12.20,K
-145276.06,12361.14,-0.3,140,2014-10-16,11.50,K,23.50,K,2.30,K,85.00,K,9.20,K
-145276.06,12361.14,-0.3,140,2014-10-17,9.50,K,24.10,K,1.20,K,94.00,K,10.00,K
-145276.06,12361.14,-0.3,140,2014-10-18,8.40,K,26.50,K,1.70,K,96.00,K,12.30,K
-145276.06,12361.14,-0.3,140,2014-10-19,9.50,K,26.70,K,2.40,K,96.00,K,13.60,K
-145276.06,12361.14,-0.3,140,2014-10-20,10.30,K,21.40,K,3.40,K,87.00,K,12.00,K
-145276.06,12361.14,-0.3,140,2014-10-21,5.90,K,22.20,K,2.40,H,95.00,H,8.40,K
-145276.06,12361.14,-0.3,140,2014-10-22,9.20,K,24.30,K,2.10,K,94.00,K,9.90,K
-145276.06,12361.14,-0.3,140,2014-10-23,11.60,K,25.00,K,2.30,K,90.00,K,12.90,K
-145276.06,12361.14,-0.3,140,2014-10-24,8.60,K,24.70,K,1.80,K,96.00,K,11.80,K
-145276.06,12361.14,-0.3,140,2014-10-25,12.40,K,22.50,K,3.40,K,90.00,K,12.10,K
-145276.06,12361.14,-0.3,140,2014-10-26,10.10,K,21.10,K,3.00,K,92.00,K,8.10,K
-145276.06,12361.14,-0.3,140,2014-10-27,9.90,K,22.10,K,2.30,K,84.00,K,7.10,K
-145276.06,12361.14,-0.3,140,2014-10-28,5.80,K,24.70,K,1.50,K,95.00,K,7.60,K
-145276.06,12361.14,-0.3,140,2014-10-29,8.00,K,26.70,K,1.30,K,95.00,K,9.60,K
-145276.06,12361.14,-0.3,140,2014-10-30,10.10,K,24.80,K,2.10,K,90.00,K,10.40,K
-145276.06,12361.14,-0.3,140,2014-10-31,12.10,K,18.50,K,2.00,K,94.00,K,12.00,K
-145276.06,12361.14,-0.3,140,2014-11-01,8.80,K,19.20,K,2.60,K,88.00,K,7.90,K
-145276.06,12361.14,-0.3,140,2014-11-02,7.70,K,19.70,K,3.00,K,92.00,K,5.70,K
-145276.06,12361.14,-0.3,140,2014-11-03,3.10,K,20.20,K,1.50,K,93.00,K,5.50,K
-145276.06,12361.14,-0.3,140,2014-11-04,4.20,K,20.50,K,1.40,K,95.00,K,6.80,K
