x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-154658.42,59179.42,18.29,6,2015-10-01,14.90,K,25.40,K,1.40,K,94.00,K,13.30,K
-154658.42,59179.42,18.29,6,2015-10-02,13.10,K,31.80,K,2.80,K,78.00,K,8.50,K
-154658.42,59179.42,18.29,6,2015-10-03,10.30,K,29.20,K,2.80,K,87.00,K,7.90,K
-154658.42,59179.42,18.29,6,2015-10-04,11.80,K,25.80,K,2.90,K,84.00,K,10.10,K
-154658.42,59179.42,18.29,6,2015-10-05,10.70,K,26.80,K,1.80,K,87.00,K,11.30,K
-154658.42,59179.42,18.29,6,2015-10-06,12.70,K,27.60,K,2.00,K,89.00,K,12.60,K
-154658.42,59179.42,18.29,6,2015-10-07,11.80,K,28.90,K,1.30,K,88.00,K,12.40,K
-154658.42,59179.42,18.29,6,2015-10-08,14.30,K,31.20,K,1.10,K,82.00,K,12.70,K
-154658.42,59179.42,18.29,6,2015-10-09,12.10,K,32.90,K,1.30,K,80.00,K,10.50,K
-154658.42,59179.42,18.29,6,2015-10-10,11.90,K,31.80,K,2.20,K,98.00,K,13.70,K
-154658.42,59179.42,18.29,6,2015-10-11,12.20,K,32.50,K,1.40,K,89.00,K,11.00,K
-154658.42,59179.42,18.29,6,2015-10-12,12.20,K,33.60,K,1.40,K,84.00,K,9.50,K
-154658.42,59179.42,18.29,6,2015-10-13,14.40,K,36.60,Y,1.40,K,61.00,K,8.00,Y
-154658.42,59179.42,18.29,6,2015-10-14,14.50,K,33.80,K,1.60,K,63.00,K,8.50,Y
-154658.42,59179.42,18.29,6,2015-10-15,16.70,Y,30.80,K,1.70,K,67.00,K,9.80,K
-154658.42,59179.42,18.29,6,2015-10-16,16.40,Y,31.30,K,2.10,K,74.00,K,11.50,K
-154658.42,59179.42,18.29,6,2015-10-17,13.30,K,25.60,K,2.50,K,86.00,K,11.60,K
-154658.42,59179.42,18.29,6,2015-10-18,9.00,K,23.60,K,1.60,K,93.00,K,11.90,K
-154658.42,59179.42,18.29,6,2015-10-19,10.90,K,24.70,K,1.80,K,93.00,K,11.50,K
-154658.42,59179.42,18.29,6,2015-10-20,15.20,Y,28.60,K,4.90,K,68.00,K,6.20,K
-154658.42,59179.42,18.29,6,2015-10-21,14.20,K,29.00,K,2.80,K,65.00,K,5.00,K
-154658.42,59179.42,18.29,6,2015-10-22,9.60,K,27.80,K,1.80,K,77.00,K,7.30,K
-154658.42,59179.42,18.29,6,2015-10-23,9.70,K,27.20,K,0.90,K,66.00,K,6.40,K
-154658.42,59179.42,18.29,6,2015-10-24,9.70,K,27.60,K,1.10,K,75.00,K,7.80,K
-154658.42,59179.42,18.29,6,2015-10-25,13.00,K,27.70,K,1.90,K,83.00,K,8.90,K
-154658.42,59179.42,18.29,6,2015-10-26,7.80,K,26.50,K,1.10,K,98.00,K,9.60,K
-154658.42,59179.42,18.29,6,2015-10-27,12.90,K,22.10,K,1.80,K,66.00,K,7.60,K
-154658.42,59179.42,18.29,6,2015-10-28,13.30,K,23.20,K,2.00,K,76.00,K,10.00,K
-154658.42,59179.42,18.29,6,2015-10-29,12.10,K,25.70,K,5.20,K,79.00,K,5.30,K
-154658.42,59179.42,18.29,6,2015-10-30,13.40,K,29.60,K,3.10,K,50.00,K,3.40,Y
-154658.42,59179.42,18.29,6,2015-10-31,10.40,K,29.30,K,2.90,K,77.00,K,8.90,K
-154658.42,59179.42,18.29,6,2015-11-01,14.10,Y,20.00,K,2.20,K,96.00,K,14.10,Y
-154658.42,59179.42,18.29,6,2015-11-02,10.20,K,17.10,K,1.80,K,97.00,K,11.30,K
-154658.42,59179.42,18.29,6,2015-11-03,6.70,K,18.10,K,2.80,K,81.00,K,4.40,K
-154658.42,59179.42,18.29,6,2015-11-04,6.80,K,17.20,K,4.60,K,54.00,K,0.10,K
-154658.42,59179.42,18.29,6,2015-11-05,2.90,K,18.70,K,1.00,K,84.00,K,2.70,K
-154658.42,59179.42,18.29,6,2015-11-06,3.20,K,20.00,K,1.50,K,83.00,K,3.20,K
-154658.42,59179.42,18.29,6,2015-11-07,3.40,K,20.00,K,1.20,K,94.00,K,5.10,K
-154658.42,59179.42,18.29,6,2015-11-08,7.00,K,14.70,K,2.40,K,97.00,K,9.50,K
-154658.42,59179.42,18.29,6,2015-11-09,,M,,M,,M,,M,,M
-154658.42,59179.42,18.29,6,2015-11-10,,M,,M,,M,,M,,M
-154658.42,59179.42,18.29,6,2015-11-11,1.70,K,14.70,K,1.30,K,97.00,K,4.90,K
-154658.42,59179.42,18.29,6,2015-11-12,1.50,K,17.20,K,1.70,K,96.00,K,4.70,K
-154658.42,59179.42,18.29,6,2015-11-13,,M,,M,,M,,M,,M
-154658.42,59179.42,18.29,6,2015-11-14,,M,,M,,M,,M,,M
-154658.42,59179.42,18.29,6,2015-11-15,,M,,M,,M,,M,,M
-154658.42,59179.42,18.29,6,2015-11-16,6.00,K,15.00,K,4.30,K,68.00,K,-3.60,K
-154658.42,59179.42,18.29,6,2015-11-17,4.70,K,17.20,K,1.40,K,86.00,K,2.10,K
-154658.42,59179.42,18.29,6,2015-11-18,2.50,K,17.40,K,1.40,K,93.00,K,5.60,K
-154658.42,59179.42,18.29,6,2015-11-19,3.10,K,19.40,K,1.10,K,97.00,K,7.10,K
-154658.42,59179.42,18.29,6,2015-11-20,5.40,K,23.10,K,2.00,K,95.00,K,7.90,K
-154658.42,59179.42,18.29,6,2015-11-21,4.80,K,20.70,K,1.60,K,97.00,K,6.20,K
-154658.42,59179.42,18.29,6,2015-11-22,3.90,K,19.40,K,1.10,K,87.00,K,6.40,K
-154658.42,59179.42,18.29,6,2015-11-23,5.60,K,19.40,K,1.80,K,88.00,K,7.00,K
-154658.42,59179.42,18.29,6,2015-11-24,6.60,K,15.30,K,3.50,K,89.00,K,5.20,K
-154658.42,59179.42,18.29,6,2015-11-25,1.50,K,12.10,K,2.20,K,87.00,K,0.30,K
-154658.42,59179.42,18.29,6,2015-11-26,1.20,K,12.40,K,5.00,K,74.00,K,-4.30,K
-154658.42,59179.42,18.29,6,2015-11-27,5.00,K,13.30,K,5.40,K,43.00,K,-7.20,K
-154658.42,59179.42,18.29,6,2015-11-28,-1.20,K,12.50,K,2.90,K,49.00,K,-7.90,K
-154658.42,59179.42,18.29,6,2015-11-29,-1.90,K,13.30,K,1.90,K,56.00,K,-7.20,K
-154658.42,59179.42,18.29,6,2015-11-30,-2.40,K,9.10,K,2.10,K,66.00,K,-3.00,K
-154658.42,59179.42,18.29,6,2015-12-01,-0.30,K,15.70,K,1.30,K,80.00,K,-0.50,K
-154658.42,59179.42,18.29,6,2015-12-02,4.80,K,14.80,K,1.40,K,79.00,K,3.00,K
-154658.42,59179.42,18.29,6,2015-12-03,2.90,K,13.00,K,2.80,K,94.00,K,6.10,K
-154658.42,59179.42,18.29,6,2015-12-04,4.80,K,16.90,K,1.40,K,97.00,K,6.70,K
-154658.42,59179.42,18.29,6,2015-12-05,3.00,K,12.30,K,1.10,K,98.00,K,5.60,K
-154658.42,59179.42,18.29,6,2015-12-06,7.60,K,16.80,K,2.20,K,98.00,K,9.30,K
-154658.42,59179.42,18.29,6,2015-12-07,8.20,K,17.40,K,1.60,K,100.00,K,11.40,K
-154658.42,59179.42,18.29,6,2015-12-08,8.20,K,12.50,K,1.40,K,100.00,K,11.50,K
-154658.42,59179.42,18.29,6,2015-12-09,10.30,K,15.60,K,3.20,K,100.00,K,12.20,K
-154658.42,59179.42,18.29,6,2015-12-10,9.40,K,17.70,K,3.80,K,100.00,K,9.20,K
-154658.42,59179.42,18.29,6,2015-12-11,4.40,K,15.10,K,1.80,K,90.00,K,5.30,K
-154658.42,59179.42,18.29,6,2015-12-12,2.40,K,13.40,K,1.50,K,97.00,K,5.10,K
-154658.42,59179.42,18.29,6,2015-12-13,4.20,K,13.70,K,4.50,K,93.00,K,5.20,K
-154658.42,59179.42,18.29,6,2015-12-14,1.50,K,12.30,K,3.30,K,77.00,K,-0.60,K
-154658.42,59179.42,18.29,6,2015-12-15,4.40,K,12.60,K,5.50,K,70.00,K,-0.90,K
-154658.42,59179.42,18.29,6,2015-12-16,-1.60,K,10.80,K,1.20,K,93.00,K,0.40,K
-154658.42,59179.42,18.29,6,2015-12-17,2.20,K,12.90,K,1.90,K,94.00,K,3.00,K
-154658.42,59179.42,18.29,6,2015-12-18,4.30,K,12.90,K,2.90,K,92.00,K,4.20,K
-154658.42,59179.42,18.29,6,2015-12-19,3.30,K,14.10,K,2.10,K,100.00,K,7.60,K
-154658.42,59179.42,18.29,6,2015-12-20,1.90,K,10.50,K,2.50,K,100.00,K,5.60,K
-154658.42,59179.42,18.29,6,2015-12-21,7.80,K,11.00,K,5.00,K,100.00,K,9.00,K
-154658.42,59179.42,18.29,6,2015-12-22,8.40,K,17.80,K,3.90,K,100.00,K,10.80,Y
-154658.42,59179.42,18.29,6,2015-12-23,3.50,K,14.30,K,1.60,K,82.00,K,2.80,K
-154658.42,59179.42,18.29,6,2015-12-24,0.90,K,12.20,K,3.30,K,92.00,K,3.50,K
-154658.42,59179.42,18.29,6,2015-12-25,-0.70,K,9.60,K,1.80,K,94.00,K,0.60,K
-154658.42,59179.42,18.29,6,2015-12-26,-0.60,K,10.90,K,3.70,K,77.00,K,-2.50,K
-154658.42,59179.42,18.29,6,2015-12-27,-3.20,K,7.40,K,1.40,K,96.00,K,-0.10,K
-154658.42,59179.42,18.29,6,2015-12-28,1.10,K,9.40,K,2.70,K,93.00,K,1.80,K
-154658.42,59179.42,18.29,6,2015-12-29,0.40,K,11.00,K,2.40,K,95.00,K,0.10,K
-154658.42,59179.42,18.29,6,2015-12-30,0.20,K,9.20,K,2.40,K,95.00,K,1.40,K
-154658.42,59179.42,18.29,6,2015-12-31,-1.70,K,11.10,K,2.90,K,90.00,K,-2.90,K
-154658.42,59179.42,18.29,6,2016-01-01,-0.30,K,9.30,K,4.10,K,70.00,K,-6.90,K
-154658.42,59179.42,18.29,6,2016-01-02,1.70,K,9.70,K,3.00,K,60.00,K,-4.10,K
-154658.42,59179.42,18.29,6,2016-01-03,2.90,K,12.70,K,2.20,K,66.00,K,-0.50,K
-154658.42,59179.42,18.29,6,2016-01-04,5.70,K,11.00,K,1.50,K,96.00,K,5.40,K
-154658.42,59179.42,18.29,6,2016-01-05,,M,,M,,M,,M,,M
-154658.42,59179.42,18.29,6,2016-01-06,7.20,K,11.20,K,3.90,K,100.00,K,7.80,K
-154658.42,59179.42,18.29,6,2016-01-07,2.20,K,10.80,K,1.20,K,100.00,K,6.50,K
-154658.42,59179.42,18.29,6,2016-01-08,1.70,K,11.30,K,1.10,K,100.00,K,5.40,K
-154658.42,59179.42,18.29,6,2016-01-09,6.90,K,11.40,K,2.10,K,100.00,K,7.50,K
-154658.42,59179.42,18.29,6,2016-01-10,6.80,K,13.60,K,2.00,K,100.00,K,7.80,K
-154658.42,59179.42,18.29,6,2016-01-11,6.40,K,14.00,K,1.50,K,99.00,K,7.40,K
-154658.42,59179.42,18.29,6,2016-01-12,9.60,K,13.40,K,2.20,K,100.00,K,8.50,K
-154658.42,59179.42,18.29,6,2016-01-13,5.50,K,15.40,K,4.60,K,97.00,K,8.50,K
-154658.42,59179.42,18.29,6,2016-01-14,2.90,K,10.70,K,2.30,K,100.00,K,6.80,K
-154658.42,59179.42,18.29,6,2016-01-15,5.40,K,11.60,K,2.50,K,100.00,K,7.80,K
-154658.42,59179.42,18.29,6,2016-01-16,8.70,K,14.50,K,2.30,K,100.00,K,10.60,K
-154658.42,59179.42,18.29,6,2016-01-17,10.30,K,13.00,K,3.40,K,100.00,K,11.20,K
-154658.42,59179.42,18.29,6,2016-01-18,11.70,Y,16.50,K,2.50,K,100.00,K,12.10,Y
-154658.42,59179.42,18.29,6,2016-01-19,10.30,K,18.50,K,4.70,K,100.00,K,12.10,Y
-154658.42,59179.42,18.29,6,2016-01-20,7.40,K,14.20,K,1.70,K,100.00,K,9.40,K
-154658.42,59179.42,18.29,6,2016-01-21,7.70,K,15.70,K,1.60,K,100.00,K,10.60,K
-154658.42,59179.42,18.29,6,2016-01-22,11.00,Y,14.30,K,3.80,K,100.00,K,11.20,K
-154658.42,59179.42,18.29,6,2016-01-23,7.10,K,15.30,K,3.80,K,94.00,K,8.70,K
-154658.42,59179.42,18.29,6,2016-01-24,3.00,K,15.20,K,1.00,K,100.00,K,6.90,K
-154658.42,59179.42,18.29,6,2016-01-25,6.30,K,15.50,K,2.30,K,100.00,K,8.70,K
-154658.42,59179.42,18.29,6,2016-01-26,2.90,K,15.00,K,1.20,K,100.00,K,7.10,K
-154658.42,59179.42,18.29,6,2016-01-27,5.90,K,17.60,K,1.70,K,98.00,K,7.30,K
-154658.42,59179.42,18.29,6,2016-01-28,5.40,K,13.70,K,1.80,K,100.00,K,8.90,K
-154658.42,59179.42,18.29,6,2016-01-29,10.80,K,15.20,K,3.70,K,100.00,K,12.50,Y
-154658.42,59179.42,18.29,6,2016-01-30,9.00,K,16.30,K,1.50,K,92.00,K,7.40,K
-154658.42,59179.42,18.29,6,2016-01-31,6.70,K,13.10,K,6.10,Y,92.00,K,1.20,K
-154658.42,59179.42,18.29,6,2016-02-01,2.30,K,12.70,K,5.00,K,80.00,K,-2.80,K
-154658.42,59179.42,18.29,6,2016-02-02,2.90,K,9.00,K,2.10,K,95.00,K,3.80,K
-154658.42,59179.42,18.29,6,2016-02-03,2.30,K,11.30,K,1.30,K,97.00,K,4.80,K
-154658.42,59179.42,18.29,6,2016-02-04,4.00,K,14.30,K,3.50,K,96.00,K,5.80,K
-154658.42,59179.42,18.29,6,2016-02-05,1.00,K,16.60,K,1.00,K,100.00,K,5.10,K
-154658.42,59179.42,18.29,6,2016-02-06,2.60,K,17.60,K,1.70,K,97.00,K,5.50,K
-154658.42,59179.42,18.29,6,2016-02-07,6.30,K,20.60,K,1.90,K,95.00,K,7.50,K
-154658.42,59179.42,18.29,6,2016-02-08,5.10,K,22.30,Y,1.50,K,99.00,K,7.80,K
-154658.42,59179.42,18.29,6,2016-02-09,5.40,K,21.20,K,1.50,K,98.00,K,8.60,K
-154658.42,59179.42,18.29,6,2016-02-10,3.80,K,20.20,K,1.50,K,95.00,K,8.20,K
-154658.42,59179.42,18.29,6,2016-02-11,5.90,K,21.10,K,0.90,K,100.00,K,9.80,K
-154658.42,59179.42,18.29,6,2016-02-12,6.50,K,21.40,K,1.10,K,100.00,K,10.50,K
-154658.42,59179.42,18.29,6,2016-02-13,6.80,K,22.40,K,2.10,K,98.00,K,7.90,K
-154658.42,59179.42,18.29,6,2016-02-14,7.70,K,23.40,Y,4.00,K,86.00,K,8.90,Y
-154658.42,59179.42,18.29,6,2016-02-15,9.40,K,25.80,Y,2.40,K,90.00,K,10.30,Y
-154658.42,59179.42,18.29,6,2016-02-16,6.30,K,22.50,K,1.00,K,99.00,K,10.70,K
-154658.42,59179.42,18.29,6,2016-02-17,9.80,K,20.40,K,4.50,K,90.00,K,10.10,K
-154658.42,59179.42,18.29,6,2016-02-18,8.20,K,16.20,K,3.50,K,89.00,K,7.60,K
-154658.42,59179.42,18.29,6,2016-02-19,6.30,K,15.80,K,2.60,K,95.00,K,8.30,K
-154658.42,59179.42,18.29,6,2016-02-20,4.60,K,15.90,K,2.30,K,99.00,K,5.60,K
-154658.42,59179.42,18.29,6,2016-02-21,2.40,K,18.80,K,1.40,K,97.00,K,6.40,K
-154658.42,59179.42,18.29,6,2016-02-22,4.50,K,20.40,K,3.10,K,97.00,K,4.10,K
-154658.42,59179.42,18.29,6,2016-02-23,3.70,K,20.00,K,1.60,K,78.00,K,2.80,K
-154658.42,59179.42,18.29,6,2016-02-24,4.40,K,21.60,K,1.20,K,90.00,K,7.50,K
-154658.42,59179.42,18.29,6,2016-02-25,9.00,K,22.50,K,1.00,K,90.00,K,8.40,Y
-154658.42,59179.42,18.29,6,2016-02-26,6.90,K,22.30,K,2.00,K,94.00,K,9.50,K
-154658.42,59179.42,18.29,6,2016-02-27,6.20,K,18.70,K,1.80,K,98.00,K,8.70,K
-154658.42,59179.42,18.29,6,2016-02-28,6.20,K,19.90,K,1.20,K,94.00,K,8.20,K
-154658.42,59179.42,18.29,6,2016-02-29,6.00,K,24.20,K,1.60,K,95.00,K,7.10,K
-154658.42,59179.42,18.29,6,2016-03-01,7.60,K,23.40,K,2.40,K,89.00,K,8.70,K
-154658.42,59179.42,18.29,6,2016-03-02,7.60,K,22.30,K,1.90,K,98.00,K,11.00,K
-154658.42,59179.42,18.29,6,2016-03-03,12.80,Y,18.80,K,1.90,K,94.00,K,12.20,K
-154658.42,59179.42,18.29,6,2016-03-04,12.30,Y,18.60,K,2.10,K,100.00,K,14.50,Y
-154658.42,59179.42,18.29,6,2016-03-05,12.30,Y,18.30,K,5.80,Y,99.00,K,14.70,Y
-154658.42,59179.42,18.29,6,2016-03-06,9.50,K,16.50,K,3.90,K,97.00,K,7.70,K
-154658.42,59179.42,18.29,6,2016-03-07,6.60,K,13.30,K,3.40,K,97.00,K,7.20,K
-154658.42,59179.42,18.29,6,2016-03-08,3.10,K,14.30,K,1.80,K,92.00,K,4.80,K
-154658.42,59179.42,18.29,6,2016-03-09,9.00,K,16.70,K,2.10,K,98.00,K,10.90,K
-154658.42,59179.42,18.29,6,2016-03-10,11.90,K,16.90,K,2.10,K,100.00,K,12.60,K
-154658.42,59179.42,18.29,6,2016-03-11,8.80,K,14.80,K,3.50,K,100.00,K,10.20,K
-154658.42,59179.42,18.29,6,2016-03-12,8.50,K,13.70,K,4.20,K,100.00,K,9.60,K
-154658.42,59179.42,18.29,6,2016-03-13,10.60,K,14.00,K,5.40,Y,99.00,K,11.90,K
-154658.42,59179.42,18.29,6,2016-03-14,7.70,K,18.00,K,2.10,K,93.00,K,7.30,K
-154658.42,59179.42,18.29,6,2016-03-15,5.50,K,19.30,K,2.20,K,92.00,K,5.30,K
-154658.42,59179.42,18.29,6,2016-03-16,5.60,K,21.80,K,2.30,K,94.00,K,7.80,K
-154658.42,59179.42,18.29,6,2016-03-17,6.80,K,25.70,K,1.60,K,99.00,K,9.80,K
