x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-152115.66,30487.78,2.13,212,2015-10-01,,S,,S,2.20,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-02,,S,,S,2.50,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-03,,S,,S,3.80,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-04,,S,,S,2.20,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-05,,S,,S,2.50,K,100.00,H,,Q
-152115.66,30487.78,2.13,212,2015-10-06,,S,,S,3.50,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-07,,S,,S,2.50,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-08,,S,,S,1.60,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-09,,S,,S,2.90,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-10,,S,,S,4.20,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-11,,S,,S,2.20,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-12,,S,,S,1.60,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-13,,S,,S,2.10,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-14,,S,,S,3.50,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-15,,S,,S,3.50,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-16,,S,,S,3.40,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-17,,S,,S,5.90,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-18,,S,,S,3.60,K,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-19,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-10-20,,S,,S,1.10,H,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-21,,S,,S,2.10,H,,H,,Q
-152115.66,30487.78,2.13,212,2015-10-22,0.00,Y,30.70,K,1.50,K,83.00,H,10.40,Y
-152115.66,30487.78,2.13,212,2015-10-23,9.80,K,27.90,K,1.20,K,93.00,K,10.60,K
-152115.66,30487.78,2.13,212,2015-10-24,7.70,K,27.90,K,1.20,K,98.00,K,10.90,K
-152115.66,30487.78,2.13,212,2015-10-25,13.80,K,26.60,K,4.00,K,93.00,K,12.60,K
-152115.66,30487.78,2.13,212,2015-10-26,6.10,K,28.30,K,1.40,K,100.00,K,13.20,K
-152115.66,30487.78,2.13,212,2015-10-27,10.70,K,21.40,K,1.50,K,100.00,K,13.80,K
-152115.66,30487.78,2.13,212,2015-10-28,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-10-29,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-10-30,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-10-31,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-01,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-02,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-03,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-04,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-05,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-06,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-07,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-08,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-09,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-10,,M,,M,,M,,M,,M
-152115.66,30487.78,2.13,212,2015-11-11,,M,,M,,M,,M,,M
