x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-104655.53,-40603.22,10.67,71,2015-10-01,14.70,K,24.40,K,1.60,K,94.00,K,15.00,K
-104655.53,-40603.22,10.67,71,2015-10-02,12.60,K,28.30,K,2.60,K,93.00,K,12.50,K
-104655.53,-40603.22,10.67,71,2015-10-03,10.00,K,30.50,K,2.00,K,95.00,K,9.40,K
-104655.53,-40603.22,10.67,71,2015-10-04,8.90,K,25.10,K,2.80,K,89.00,K,8.40,K
-104655.53,-40603.22,10.67,71,2015-10-05,9.50,K,27.20,K,1.40,K,93.00,K,10.60,K
-104655.53,-40603.22,10.67,71,2015-10-06,11.20,K,27.70,K,1.40,K,95.00,K,13.00,K
-104655.53,-40603.22,10.67,71,2015-10-07,11.10,K,28.80,K,1.30,K,95.00,K,13.30,K
-104655.53,-40603.22,10.67,71,2015-10-08,13.00,K,30.40,K,1.40,K,94.00,K,13.50,K
-104655.53,-40603.22,10.67,71,2015-10-09,12.60,K,31.20,K,1.90,K,92.00,K,10.10,K
-104655.53,-40603.22,10.67,71,2015-10-10,10.20,K,31.00,K,2.10,K,90.00,K,11.10,K
-104655.53,-40603.22,10.67,71,2015-10-11,,M,,M,,M,,M,,M
-104655.53,-40603.22,10.67,71,2015-10-12,,M,,M,,M,,M,,M
-104655.53,-40603.22,10.67,71,2015-10-13,,M,,M,,M,,M,,M
-104655.53,-40603.22,10.67,71,2015-10-14,13.70,Y,32.40,K,1.30,K,86.00,K,10.90,K
-104655.53,-40603.22,10.67,71,2015-10-15,16.60,R,30.40,K,2.00,K,74.00,K,12.10,K
-104655.53,-40603.22,10.67,71,2015-10-16,16.90,R,29.30,K,1.80,K,85.00,K,14.90,K
-104655.53,-40603.22,10.67,71,2015-10-17,13.00,K,24.10,K,3.40,K,82.00,K,13.00,K
-104655.53,-40603.22,10.67,71,2015-10-18,8.20,K,24.00,K,2.20,K,95.00,K,10.90,K
-104655.53,-40603.22,10.67,71,2015-10-19,8.70,K,24.00,K,2.10,K,95.00,K,10.80,K
-104655.53,-40603.22,10.67,71,2015-10-20,12.90,K,26.90,K,3.50,K,75.00,K,8.40,K
-104655.53,-40603.22,10.67,71,2015-10-21,7.40,K,26.10,K,1.80,K,89.00,K,7.80,K
-104655.53,-40603.22,10.67,71,2015-10-22,8.10,K,26.90,K,1.80,K,89.00,K,8.40,K
-104655.53,-40603.22,10.67,71,2015-10-23,8.90,K,27.10,K,1.10,K,89.00,K,9.00,K
-104655.53,-40603.22,10.67,71,2015-10-24,7.70,K,26.60,K,1.00,K,93.00,K,9.90,K
-104655.53,-40603.22,10.67,71,2015-10-25,10.80,K,26.50,K,1.80,K,93.00,K,10.50,K
-104655.53,-40603.22,10.67,71,2015-10-26,6.60,K,25.80,K,1.20,K,95.00,K,10.50,K
-104655.53,-40603.22,10.67,71,2015-10-27,12.00,Y,21.50,K,1.60,K,90.00,K,11.50,K
-104655.53,-40603.22,10.67,71,2015-10-28,13.00,Y,24.10,K,2.10,K,94.00,K,12.60,K
-104655.53,-40603.22,10.67,71,2015-10-29,11.80,Y,24.40,K,4.40,Y,85.00,K,6.70,Y
-104655.53,-40603.22,10.67,71,2015-10-30,11.20,K,25.90,K,3.00,K,68.00,K,5.60,Y
-104655.53,-40603.22,10.67,71,2015-10-31,8.70,K,27.90,K,2.30,K,86.00,K,9.10,K
-104655.53,-40603.22,10.67,71,2015-11-01,9.30,K,24.40,K,2.30,K,96.00,K,12.80,Y
-104655.53,-40603.22,10.67,71,2015-11-02,9.50,K,18.10,K,2.50,K,95.00,K,11.10,K
-104655.53,-40603.22,10.67,71,2015-11-03,6.90,K,16.90,K,2.50,K,94.00,K,6.60,K
-104655.53,-40603.22,10.67,71,2015-11-04,6.10,K,17.30,K,4.10,Y,68.00,K,1.70,K
-104655.53,-40603.22,10.67,71,2015-11-05,1.90,K,18.10,K,1.40,K,92.00,K,2.60,K
-104655.53,-40603.22,10.67,71,2015-11-06,3.40,K,18.30,K,1.90,K,92.00,K,3.50,K
-104655.53,-40603.22,10.67,71,2015-11-07,1.90,K,19.60,K,1.00,K,95.00,K,4.70,K
-104655.53,-40603.22,10.67,71,2015-11-08,1.80,K,19.20,K,1.40,K,97.00,K,7.60,K
-104655.53,-40603.22,10.67,71,2015-11-09,5.20,K,12.60,K,2.10,K,97.00,K,7.60,K
-104655.53,-40603.22,10.67,71,2015-11-10,3.70,K,13.70,K,1.90,K,96.00,K,6.60,K
-104655.53,-40603.22,10.67,71,2015-11-11,1.20,K,15.70,K,1.40,K,96.00,K,4.70,K
-104655.53,-40603.22,10.67,71,2015-11-12,0.30,K,15.90,K,1.80,K,96.00,K,4.40,K
-104655.53,-40603.22,10.67,71,2015-11-13,4.70,K,19.00,K,0.80,K,96.00,K,6.50,K
-104655.53,-40603.22,10.67,71,2015-11-14,0.80,K,18.80,K,1.30,K,97.00,K,5.80,K
-104655.53,-40603.22,10.67,71,2015-11-15,3.40,K,16.70,K,4.10,Y,97.00,K,5.50,K
-104655.53,-40603.22,10.67,71,2015-11-16,4.10,K,14.70,K,5.70,R,65.00,K,-2.30,Y
-104655.53,-40603.22,10.67,71,2015-11-17,1.80,K,17.40,K,1.40,K,93.00,K,1.60,K
-104655.53,-40603.22,10.67,71,2015-11-18,1.00,K,19.60,K,1.40,K,96.00,K,5.80,K
-104655.53,-40603.22,10.67,71,2015-11-19,2.60,K,18.60,K,1.60,K,96.00,K,6.50,K
-104655.53,-40603.22,10.67,71,2015-11-20,3.80,K,20.50,K,1.80,K,97.00,K,7.80,K
-104655.53,-40603.22,10.67,71,2015-11-21,3.30,K,19.40,K,1.40,K,96.00,K,7.70,K
-104655.53,-40603.22,10.67,71,2015-11-22,2.80,K,19.80,K,1.00,K,97.00,K,7.80,K
-104655.53,-40603.22,10.67,71,2015-11-23,2.40,K,19.40,K,1.40,K,97.00,K,7.20,K
-104655.53,-40603.22,10.67,71,2015-11-24,2.00,K,16.30,K,2.90,K,97.00,K,4.80,K
-104655.53,-40603.22,10.67,71,2015-11-25,1.00,K,12.80,K,1.90,K,94.00,K,2.40,K
-104655.53,-40603.22,10.67,71,2015-11-26,-0.40,K,10.60,K,2.60,K,94.00,K,-1.20,K
-104655.53,-40603.22,10.67,71,2015-11-27,0.60,K,12.80,K,3.20,K,66.00,K,-3.90,K
-104655.53,-40603.22,10.67,71,2015-11-28,-1.60,K,12.30,K,2.00,K,74.00,K,-3.90,K
-104655.53,-40603.22,10.67,71,2015-11-29,-3.10,K,14.20,K,1.40,K,93.00,K,-3.10,K
-104655.53,-40603.22,10.67,71,2015-11-30,-4.00,K,10.20,K,1.70,K,94.00,K,-0.70,K
-104655.53,-40603.22,10.67,71,2015-12-01,-0.60,K,15.00,K,1.50,K,86.00,K,-0.50,K
-104655.53,-40603.22,10.67,71,2015-12-02,0.50,K,14.90,K,1.20,K,93.00,K,1.90,K
-104655.53,-40603.22,10.67,71,2015-12-03,3.90,K,17.40,K,3.40,K,95.00,K,4.80,K
-104655.53,-40603.22,10.67,71,2015-12-04,0.00,K,16.30,K,1.60,K,97.00,K,4.60,K
-104655.53,-40603.22,10.67,71,2015-12-05,0.50,K,13.10,K,1.50,K,96.00,K,4.90,K
-104655.53,-40603.22,10.67,71,2015-12-06,4.30,K,20.50,Y,2.10,K,94.00,K,6.60,K
-104655.53,-40603.22,10.67,71,2015-12-07,6.30,K,17.80,K,1.40,K,97.00,K,10.20,K
-104655.53,-40603.22,10.67,71,2015-12-08,4.90,K,16.10,K,1.20,K,97.00,K,9.60,K
-104655.53,-40603.22,10.67,71,2015-12-09,9.50,K,16.70,K,3.10,K,97.00,K,10.90,K
-104655.53,-40603.22,10.67,71,2015-12-10,9.00,K,13.30,K,4.10,K,97.00,K,9.30,K
-104655.53,-40603.22,10.67,71,2015-12-11,3.70,K,14.70,K,1.80,K,97.00,K,6.00,K
-104655.53,-40603.22,10.67,71,2015-12-12,0.70,K,15.00,K,1.70,K,96.00,K,4.70,K
-104655.53,-40603.22,10.67,71,2015-12-13,6.00,K,13.50,K,5.10,Y,92.00,K,4.40,K
-104655.53,-40603.22,10.67,71,2015-12-14,1.80,K,12.10,K,4.20,K,81.00,K,-0.40,K
