Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"47","2014-09-01","14.6","35.9","25.5","10.6","6.41","6.68","0","268","136","2.2","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-02","13.7","34","22.9","12.7","6","6.24","2.2","270","138","2.4","1.9","1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-03","11.9","32","21.8","12.6","5.6","5.64","0","272","138","2.2","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-04","13.4","31.9","22.5","11.4","5.9","6.02","1.8","266","136","2.5","1.8","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-05","12.3","30.7","21.3","12.1","5.55","5.63","0","261","133","2.5","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-06","11.8","30.4","20.9","12.1","5.48","5.55","2","264","133","2.5","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-07","11.7","30.9","20.5","10.6","5.41","5.5","0","263","131","2.1","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-08","9.6","30.1","19.1","8.9","5.29","5.4","0","268","131","2","1.7","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-09","8.5","29.7","19.5","9.8","5.02","5","0","253","127","1.8","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-10","11.9","35.3","23.3","9.4","5.21","5.35","0","255","122","1.6","1.7","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-11",,"36.3",,,"6","6.24","0","291","119","2.2",,"0.8","S"," ","S","Q","H","A","H","R","H","H","S"," "
"47","2014-09-12",,"37.4",,,"5.87","6.05","0",,"112","2.3",,"0.8","M","Y","M","M","H","A","H","M","H","H","S"," "
"47","2014-09-13","16.3","36.2","25.5","12.6","5.25","5.88","0","236","104","2.2","1.9","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-14",,"34.6",,,"5.5","5.69","0",,"120","2.1","1.9","1.1","M"," ","M","M"," "," ","H","M","H","H"," "," "
"47","2014-09-15",,,,,"4.74","4.74",,,,,,,"M","M","M","M","A","A","M","M","M","M","M","M"
"47","2014-09-16",,"32.9","22.9","10.5","5.24","5.3","0","220","130","2.9","1.7",,"S"," ","H"," ","H"," ","H","H","H","H"," ","S"
"47","2014-09-17","13.5","31.1","22.6","12.5","5","5.23","0","244","116","2.2","1.8","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-18","17.2","27.8","22.1","15","3.23","3.75","0","150","61","2.9","2.1","1.5","Y"," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-19","15.3","31.2","22.9","13.4","4.63","4.88","0","212","103","2.4","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-20","14.2","31","22.5","12.8","5.02","5.28","0","231","109","2.6","1.9","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-21","14.3","29.2","21.3","12.8","4.87","5.09","0","230","112","2.7","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-22","13.3","31.3","21.2","13.5","4.44","4.71","0","228","108","2","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-23","13.1","30.4","21.8","13.3","4.61","4.96","0","233","109","2.5","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-24","14.3","29.5","21.8","15.1","4.65","4.91","0","235","110","2.9","1.9","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-25","14.5","23.2","18.4","13.8","2.39","2.55","5.6","151","66","2.3","1.9","1.4"," "," "," "," "," "," ","R"," "," "," "," "," "
"47","2014-09-26","11.9","25.2","18.4","11.3","4.18","4.3","0","221","97","2.7","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-27","12.5","26.5","19.6","11.3","4.28","4.39","0","224","102","2.3","1.5","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-28","12.5","22.7","17.9","12.1","1.85","2.23","0","116","36","1.7","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-29","10.5","28.2","19.3","11.6","4","4.14","0","220","100","1.8","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-09-30","12.8","26.9","20.5","12.2","4.35","4.43","1.3","223","100","2.6","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
