Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"170","2014-09-01",,"34.3","15.8",,"5.7","5.71","0.1","282","139","1.3","1.7",,"S"," ","H","I"," "," "," "," ","H"," "," ","S"
"170","2014-09-02",,"27.4","13.8","6.8","5.35","5.48","0","284","141","2.1","1.7",,"S"," ","Y","Y"," "," "," "," ","H"," "," ","S"
"170","2014-09-03","15.3","28.7","19.9","11.5","4.93","5.02","0","273","140","2.1","1.8","1"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-04","14","28.1","19.5","9.6","5.16","5.18","0.1","279","139","2","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-05","14.9","27.7","19.3","10.2","5.13","5.03","0","266","139","2.4","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-06","13.8","28.3","18.9","9","5.05","5.11","0","276","134","2.3","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-07","13","27.8","18.4","10","4.95","4.95","0","278","135","2.3","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-08","12.9","22.8","16.8","8.9","4.8","4.69","0.1","281","133","2.5","1.4","0.8"," "," "," "," "," "," "," ","R","R"," "," "," "
"170","2014-09-09","13","28.5","19","8.9","4.61","4.58","0","257","129","1.5","1.5","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-10","10.6","35.7","22.6","8.8","5.06","5.1","0.1","266","127","1.1","1.6","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-11",,"35","22.7","9.8","5.02","5.27","0","268","123","1.3","1.7",,"S"," "," "," "," "," "," "," "," "," "," ","S"
"170","2014-09-12","14.9","34.8","22.6","7","5.18","5.4","0","262","121","1.6","1.5","0.5"," "," "," "," "," "," "," "," "," "," "," ","Y"
"170","2014-09-13","14.9","32.4","21.5","6.9","5.09","5.21","0","250","117","1.8","1.6","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-14","15.1","29.8","21.3","9.5","4.98","5.09","0","257","120","2.1","1.7","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-15",,"28.2","19","5.7","5.32","5.55","0","257","115","2.4","1.5",,"S"," ","H"," "," "," "," "," "," "," "," ","S"
"170","2014-09-16",,"29.7","19.4","10.4","4.64","4.78","0.1","259","118","1.5","1.6",,"S"," ","H"," "," "," "," "," "," "," "," ","S"
"170","2014-09-17","14.4","29.1","20.9","11.7","4.68","4.82","0","251","118","2.1","1.9","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-18","16","26.2","21.4","14","3.86","4.03","0.2","210","100","1.7","2.1","1.2"," "," "," "," "," "," "," "," "," "," ","Y"," "
"170","2014-09-19","14.6","28.1","20.6","13.9","4","4.04","0.1","219","107","1.7","2","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-20","15.7","26.1","19.8","14.3","4.08","4.09","0","239","118","2.2","2","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-21","17","23.8","19.2","14.1","3.69","3.59","0","210","104","2.8","1.8","1.5","Y"," "," "," "," "," "," "," "," "," "," ","Y"
"170","2014-09-22","16.4","28.1","20.5","13.1","4.11","4.25","0","225","109","2.1","1.7","1.3","Y"," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-23","15.1","28.3","20.7","13.2","4.34","4.5","0","239","111","2.1","1.7","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-24","17.7","26.8","21.2","15","4.11","4.23","0","234","111","2.4","2","1.6","Y"," "," ","Y"," "," "," "," ","Y"," "," ","Y"
"170","2014-09-25","13.9","23.6","17.8","14.1","2.53","2.65","7.2","167","73","1.6","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-26","12.6","23.9","17.9","12","3.37","3.43","0","200","94","1.6","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-27","13.3","25.9","18.9","12","3.83","3.94","0","231","105","1.8","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-28","12.6",,"18.1","13","2.36","2.47","0","154","65","1.1",,"1.3"," ","S"," "," "," "," "," "," "," "," ","S"," "
"170","2014-09-29","11.8","26.2","17.8","12.9","3.53","3.58","0","215","103","1.7","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-30","13.2","27","19.2","13.2","3.59","3.6","0.1","226","102","1.5","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
