Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"6","2014-09-01","15.2","37.4","25.7","10.8","6.43","6.62","0","274","137","2.2","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-02","14.8","33","22.4","13.1","5.89","6.04","0","278","141","2.7","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-03","11","35.1","21.7","12.8","5.37","5.48","0","278","139","2.1","1.9","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-04","11.8","34.8","22.9","10.3","5.96","6.38","0","281","134","2.4","1.7","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-05","11.3","32.2","21.1","12.7","5.18","5.22","0","271","137","2","1.8","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-06","13.1","33.1","22","10.9","5.55","5.79","0","274","134","2.1","1.8","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-07","11.5","32.4","21.1","9.6","5.53","5.78","0","272","131","2.3","1.6","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-08","10.8","28.8","19.1","9.8","5.4","5.59","0","275","131","2.9","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-09","9.9","31.4","19.6","9.9","4.76","4.69","0","260","128","1.7","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-10","17.9","36.5","28.7","8","5.29","5.58","0","352","122","1.9","1.5","0.7","Y"," ","Y","Y"," "," "," ","R","R"," "," "," "
"6","2014-09-11","13.1","36.8","24.1","10.3","5.22","5.41","0","261","122","1.6","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-12","12.8","37.5","25.5","10","5.5","5.69","0","253","120","1.7","1.7","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-13","15.1","38.3","26","11.3","5.21","5.46","0","244","118","1.5","1.7","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-14","15.3","35.2","24.5","11.7","5.33","5.75","0","252","120","1.9","1.8","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-15","16.3","34","23.2","10.6","6.01","6.49","0","250","119","3","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-16","12.7","32.5","21.7","10.6","4.75","4.91","0","249","116","2","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-17","14.9","31.1","22.6","11.5","6.08","6.44","0","248","116","3.6","2","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-18","16.8","28.1","22.4","15.6","3.98","4.21","0","200","92","2.9","2.1","1.4"," "," "," ","Y"," "," "," "," ","Y"," "," "," "
"6","2014-09-19","13.4","32.1","22.3","13.8","4.34","4.52","0.1","209","104","1.9","2","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-20","15","31.2","22.3","14.1","4.64","4.9","0","234","114","2.4","2.1","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-21","16.3","29.6","21.8","12.7","3.59","4.02","0","165","72","2.5","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-22","12.6","30.4","21.1","13.3","4.11","4.26","0","220","102","1.7","2","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-23","14.7","31.3","22","12.3","5.06","5.44","0","231","105","3.3","1.8","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-24","15.4","29.6","22","15.9","4.63","4.73","0","233","109","3.2","2","1.5"," "," "," ","Y"," "," "," "," ","Y"," "," ","Y"
"6","2014-09-25","14.4","23.1","18.6","14.2","3.29","3.13","10.6","193","95","2.8","1.9","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-26","13","24.2","17.5","12.1","3.39","3.26","0","200","86","2.4","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-27","12.3","25.6","18.9","11.7","3.91","3.9","0","223","105","1.8","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-28","12.7","21.5","17.2","13.1","1.06","1.47","0","77","14","1.7","1.7","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-29","10","26.9","18.3","12.6","3.69","3.7","0","221","100","1.7","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-30","10.9","27.1","19.6","11.9","4.25","4.15","0","212","99","2.8","1.8","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
