Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"212","2014-09-01","14.9","36.1","25.1","10.4","5.92","6.21","0","242","123","2.7","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-02","14.4","28.9","20.3","12.4","5.81","5.71","0","245","127","5.1","1.6","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-03",,"31.4","23.8","13.1","4.93","5.05","0","335","122","4.2","1.7",,"S"," "," "," ","R","R"," ","R","R"," "," ","S"
"212","2014-09-04","13.7","31","20.7","11.7","5.59","5.7","0","243","126","4.7","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-05","13.4","30.2","19.8","11.7","5.43","5.4","0","239","123","5.3","1.5","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-06","13","30.8","19.8","10.4","5.62","5.66","0","243","123","5","1.4","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-07","12.4","30.4","19.2","9.5","5.57","5.66","0","240","121","4.7","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-08","12.3","25.1","17","9.8","5.53","5.11","0","243","123","6.2","1.3","1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-09","12.1","31.5","19.4","10.5","4.41","4.47","0","227","114","3","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-10","11.5","36.8","23","10.2","4.63","4.74","0","231","113","1.7","1.6","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-11","12.6","38.9","23.6","10.2","4.91","5.1","0","230","111","2","1.6","0.9"," ","Y"," "," "," "," "," "," "," "," "," "," "
"212","2014-09-12","13","37.7","24.5","10","5.15","5.43","0","228","110","2.2","1.6","0.8"," ","Y"," "," "," "," "," "," "," "," "," "," "
"212","2014-09-13","15.8","39.3","24.3","11.1","5.32","5.55","0","213","106","3.4","1.6","1"," ","Y"," "," "," "," "," "," "," "," "," "," "
"212","2014-09-14","14.6","32.8","22.7","10.9","5.64","5.93","0","222","107","4.5","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-15","16","29.5","21.1","10.8","6.15","6.2","0","221","107","5.7","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-16","14.7","33.7","21.2","10.9","4.58","4.77","0","225","109","3.2","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-17","14.7","29.3","20.8","12.4","5.07","5.3","0","216","104","4.6","1.8","1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-18","17.5","27.1","21.3","14.9","3.75","3.98","0","182","86","3.1","1.9","1.3","Y"," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-19","15.6","28.9","21.2","14.4","4.46","4.59","0","185","88","4.7","1.9","1.5"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-20","15.3","28.5","20.5","13.6","4.75","4.88","0","205","98","5.3","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-21","16","27","19.6","13.1","4.92","4.67","0","191","92","7","1.6","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-22","14.9","29.7","20.5","12.5","4.34","4.55","0","197","90","4.4","1.7","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-23","14.9","30.2","20.9","12.7","4.78","5","0","205","96","5","1.8","1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-24","16.9","27.8","21","15.2","4.33","4.42","0","204","96","4.5","1.9","1.6"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-25","13.2","23.8","17.9","12.8","2.93","3.06","8.6","166","74","3.1","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-26","9.8","25.7","16.6","11","3.19","3.3","0","185","85","2.2","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-27","12.6","27","18.6","10.9","3.99","4.11","0","209","98","3.1","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-28","11.2","22.2","16.7","12.1","1.28","1.71","0","88","21","2.1","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-29","10.8","26.5","17.7","12.1","3.85","3.88","0","207","95","3.3","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-30","13.4","29","19.2","11.8","3.79","3.88","0","207","94","2.7","1.6","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
