Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"166","2014-09-01","12.4","36.4","24.3","12.4","5.73",,"0","280","144","1.4","2","1.2"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-02","13.4","32.4","21.7","13.6","5.38",,"0","280","141","1.6","1.9","1.3"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-03","16.8","32.5","25","14.7","5.12",,"0","306","143","2","1.8","1.5","Y"," "," "," "," ","N"," ","R","R"," "," "," "
"166","2014-09-04","13.1","33.2","21.8","12.9","5.2",,"0","279","137","1.7","1.7","1.2"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-05","13.5","31.2","20.6","13.3","4.98",,"0","280","139","1.7","1.7","1.4"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-06","12.7","31.4","20.7","12.6","5.05",,"0","279","138","1.8","1.7","1.1"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-07","11.6","31.1","19.9","11.5","4.98",,"0","279","136","1.7","1.6","1.1"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-08","11.2","27.2","17.9","11.1","4.88",,"0","283","136","1.9","1.4","1.2"," "," "," "," "," ","N"," ","R","R"," "," "," "
"166","2014-09-09","10.8","29.6","18.9","11.8","4.56",,"0","267","129","1.4","1.8","1.1"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-10","9.2","36","21.6","11.7","4.77",,"0","270","128","1","2.2","1"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-11","10.8","35.1","22.7","12.5","5",,"0","270","127","1.2","2.2","1"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-12","11.3","37.1","23.7","11.5","5.13",,"0","264","123","1.3","1.8","1"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-13","13","36.4","24.3","12.7","4.76",,"0","237","112","1.4","1.9","1.2"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-14","12.5","34.8","23.5","12.1","4.97",,"0","258","121","1.4","1.8","1.1"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-15","15.3","31.6","22.4","12.1","5.03",,"0","249","120","2","1.7","1.2"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-16","11.6","31.5","21.3","12.3","4.6",,"0","258","120","1.4","1.7","1.2"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-17","11.8","32.4","21.2","13.1","4.56",,"0","250","119","1.5","1.7","1.3"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-18","14.8","28.9","21.6","15.5","3.73",,"0","214","98","1.7","2","1.5"," "," "," "," "," ","N"," "," "," "," "," ","Y"
"166","2014-09-19","14.4","30","21.6","15","3.97",,"0","210","104","1.6","2","1.5"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-20","14.1","30.2","21.3","14.6","4.19",,"0.3","229","109","2.1","2","1.4"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-21","16.3","27.1","20.2","14.7","4.09",,"0","228","110","2.7","1.8","1.6","Y"," "," "," "," ","N"," "," "," "," "," ","Y"
"166","2014-09-22","15.5","30.8","21.3","14.4","4.15",,"0","234","113","1.7","1.8","1.5","Y"," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-23","12.5","31.1","21.4","14","4.37",,"0","239","112","1.7","1.9","1.3"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-24","15.8","29.2","21.4","16.1","4.11",,"0","240","110","1.8","2","1.6","Y"," "," "," "," ","N"," "," "," "," "," ","Y"
"166","2014-09-25","13.6","22.1","17.3","14.5","2.06",,"7.3","153","65","1.3","1.9","1.5"," "," "," "," "," ","N","R"," "," "," "," "," "
"166","2014-09-26","11.7","24","17.5","12.5","3.54",,"0","226","100","1.7","1.7","1.2"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-27","12.5","25.4","18.5","12.5","3.69",,"0","224","104","1.5","1.7","1.2"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-28","11.9","22.2","16.9","13.2","1.09",,"0","92","20","1","1.8","1.3"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-29","9.6","27.1","17.8","12.8","3.62",,"0","227","104","1.2","1.8","1.1"," "," "," "," "," ","N"," "," "," "," "," "," "
"166","2014-09-30","10.7","26.4","18.3","13.1","3.68",,"0","231","102","1.6","1.8","1"," "," "," "," "," ","N"," "," "," "," "," "," "
