Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"71","2014-09-01","12.6","33.8","22.9","13.6","5.53","5.52","0","270","143","1.7","2","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","13.5","33","22.6","13.4","5.79","5.97","0","274","142","2.1","1.9","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-03","11.3","30.7","20.5","13.6","5.29","5.15","0","276","143","2.2","1.9","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-04","11.8","32","21.4","12.9","5.52","5.5","0.1","272","140","2","1.9","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-05","12","30.6","20.7","13.6","5.13","5.05","0","266","138","2","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-06","11.8","30.9","20.5","13.4","5.03","4.96","0","264","138","1.9","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-07","10.6","30.9","20","12.3","5.04","4.98","0.1","266","136","1.9","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-08","12.2","28.9","19.1","10.9","5.19","5.2","0","266","134","2.4","1.6","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-09","8.3","29.8","18.6","11.2","4.79","4.74","0","261","130","1.8","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-10","10.8","33.4","21.3","11.9","4.81","4.84","0.1","258","128","1.3","2","1"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-11","12.4","34.8","22.8","12.3","5.13","5.29","0","256","126","1.4","2","1"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-12","13.2","35.4","23.6","12.9","5.29","5.5","0","255","125","1.7","1.9","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-13","15.6","34.2","24.2","14.8","4.39","4.54","0","220","111","1.5","2.3","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-14","14.3","33.4","23.2","14.3","4.72","4.89","0","241","119","1.5","1.9","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-15","14.9","31.9","22.5","13.2","5.31","5.54","0","240","118","2.6","1.9","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-16","12.1","30.6","21.3","12.3","4.51","4.62","0","236","116","1.8","1.9","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-17","13.4","31.8","21.5","13.3","4.4","4.5","0","235","115","1.6","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-18","14.5","28.3","21.5","14.9","4.37","4.56","0","231","112","2.2","2","1.5"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-19","14.1","29.8","21.6","14.5","4.14","4.31","0","214","106","2","2","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-20","14.1","30.2","21.9","14","4.43","4.65","0","220","106","2.2","2","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-21","13.5","28.3","20.6","14.4","4.24","4.38","0","224","109","2.5","2","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-22","16","29.6","23.5","14.7","4.04","4.12","0","282","111","2.3","2","1.5","Y"," "," "," "," "," "," ","R","R"," "," "," "
"71","2014-09-23","12.6","30.4","20.9","14.6","4.1","4.25","0","226","108","2","2","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-24","13.1","29.7","21.1","15.5","4.04","4.18","0","227","109","2.2","2","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-25","13.9","21.4","17","14.5","1.93","1.96","3.2","142","58","2.1","1.8","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-26","11.4","23.6","16.8","12.2","3.17","3.08","0.1","181","87","2.6","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-27","10.4","24.8","17.2","11.8","3.6","3.6","0","214","101","1.7","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-28","12.6","23.4","17.5","12.9","1.97","2.21","0","130","47","1.5","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-29","10.8","26.9","18","12.7","3.7","3.79","0.1","215","101","1.8","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-30","10.4","25.7","18.2","12.9","3.89","3.89","0","217","100","2.3","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
