Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"191","2014-09-01","13","35.5","24","9.7","5.85","5.81","0","269","141","1.4","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","14","29.7","20.7","12.6","5.37","5.16","0","269","143","1.9","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","12.6","30.9","20.1","12.7","4.79","4.69","0.5","251","138","1.5","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-04","13.8","30.2","20.5","12.6","5","4.92","0","256","140","1.6","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-05","12.8","30","19.5","12.6","4.61","4.5","0","245","135","1.5","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-06","11.9","28.7","18.4","11.7","4.73","4.59","0","250","137","1.7","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-07","11.2","27.9","17.9","10.9","4.83","4.63","0","258","138","1.7","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-08","11.6","24.7","16.7","10.2","4.7","4.41","2.7","260","138","2","1.4","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-09","9.7","30.4","18.7","10.1","4.47","4.3","0","241","128","1.1","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-10","11","36.9","23.1","8.9","5.36","5.34","0","248","129","1.4","1.4","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-11","12.4","36.3","24.2","7.5","5.61","5.76","0","247","123","1.5","1.3","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-12","13.2","37.2","24.5","9.5","5.34","5.42","0","243","124","1.4","1.5","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-13","15.3","36.2","23.3","12.4","4.48","4.62","0","222","111","1.2","1.7","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-14","14.2","32.9","22.7","10.4","5.04","5.1","0","237","122","1.5","1.7","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-15","14.5","29.4","20.3","11.5","4.78","4.72","0","234","122","2","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-16","12.4","31.3","20.7","11","4.57","4.53","0","236","124","1.4","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-17","12.8","31","21.4","12.1","4.82","4.92","0","231","119","2","1.8","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-18","15.9","26.3","21.6","15.1","3.88","3.95","0","196","95","2.5","1.9","1.4","Y"," "," ","Y"," "," "," "," ","Y"," "," "," "
"191","2014-09-19","13.7","28.5","20.4","13.9","3.95","3.94","0","207","109","1.6","1.8","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-20","14.7","29.6","20","14","4.1","4.14","0","216","111","1.9","1.9","1.1"," "," "," ","Y"," "," "," "," ","Y"," "," "," "
"191","2014-09-21","16.7","23.6","18.8","14","3.53","3.3","0","194","100","2.7","1.8","1.5","Y"," "," ","Y"," "," "," "," ","Y","Y"," ","Y"
"191","2014-09-22","15.9","29.7","20.6","13.1","3.91","3.93","0","208","106","1.7","1.8","1.1","Y"," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-23","13.3","29.7","20.3","13.4","4.09","4.15","0","218","112","1.6","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-24","17.7","28.1","21.1","15.4","4","3.91","0","215","107","2.2","2","1.3","R"," "," ","Y"," "," "," "," ","Y"," "," "," "
"191","2014-09-25","14","22.9","17.9","12.9","2.88","2.9","6.7","169","79","1.9","1.8","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-26","13.4","23.2","17.9","12","3.76","3.65","0","213","105","2","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-27","13.7","24.1","18","12.1","3.56","3.46","0","203","102","1.7","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-28","12.8","24.3","17.7","12.2","2.12","2.15","0","126","57","1.2","1.5","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-29","11.4","26.7","17.6","12.1","3.61","3.54","0","204","102","1.5","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-30","11.1","26.6","18","11.7","3.77","3.68","0","214","108","1.5","1.7","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
