Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"167","2014-09-01","13.9","36.2","26.6","7.9","6.65","6.89","0","263","132","2.2","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-02","15.1","35","25.1","10.6","6.72","7.04","0","263","132","2.8","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-03",,"32.8","27.7","11.1","5.73","5.78","0","224","132","3.2","1.6",,"S"," "," "," "," "," "," "," "," "," "," ","S"
"167","2014-09-04","13.7","33.2","23.7","10.8","6.24","6.5","0","265","134","2.6","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-05","12.5","31.9","22.3","12.2","5.51","5.59","0","257","132","2.1","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-06","12.1","32.1","21.6","11.8","5.33","5.45","0","256","131","2","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-07","11.1","32.1","21.2","10.4","5.51","5.65","0","258","130","2.1","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-08","11.2","29.5","19.4","9.8","5.58","5.62","0","264","132","2.5","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-09","8.9","30.5","19.8","8.7","5.14","5.09","0","250","126","1.7","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-10","12.1","35","23.7","8.3","5.2","5.22","0","250","120","1.4","1.6","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-11","14.3","36.2","25.3","7.8","5.58","5.73","0","247","118","1.6","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-12","14.6","37.9","26.6","7.8","5.97","6.26","0","246","115","1.8","1.7","0.7"," ","Y"," "," "," "," "," "," "," "," "," "," "
"167","2014-09-13","16","36.8","27","10.1","5.66","6","0","221","107","2.1","1.8","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-14","15.5","36.5","25.8","10","5.67","6.06","0","239","113","2.1","1.6","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-15","16.4","33.9","24","10.5","6.18","6.61","0","235","113","3.4","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-16","11.9","32.3","22.8","8.9","5.21","5.33","0","242","113","2","1.3","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-17","14.1","33.6","23.1","11.3","5.15","5.43","0","232","111","2.3","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-18","17.3","29.5","22.8","13.7","4.21","4.51","0","197","92","2.5","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," ","Y"
"167","2014-09-19","18.9","31.6","24.5","12.9","5.04","5.32","0","209","101","2.9","1.6","1.2","Y"," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-20","14.9","32.1","23.5","12.3","5.2","5.58","0","219","103","2.8","1.8","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-21","15.5","28.6","21.6","13.4","4.9","5.06","0","218","105","3.5","1.7","1.3"," "," "," "," "," "," "," "," "," "," "," ","Y"
"167","2014-09-22","13","32.1","21.8","12.5","4.73","4.94","0","219","107","2.2","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-23","13.3","32","22.4","13.1","4.67","4.94","0","220","104","2.6","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-24","14","30.9","21.9","14.7","4.39","4.74","0","223","106","2.7","1.8","1.4"," "," "," ","Y"," "," "," "," ","Y"," "," ","Y"
"167","2014-09-25","15.1","22.5","18.3","14.4","2.07","2.21","3","132","57","2.1","1.9","1.4"," "," "," ","Y"," "," "," "," ","Y"," "," ","Y"
"167","2014-09-26","13.2","24.8","18","12.1","3.17","3.25","18","168","78","2.7","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-27","12.5","26.2","19.3","11.5","4.03","4.15","0","208","94","2.7","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-28","11.9","23.4","18.4","12.5","2.06","2.39","0","130","46","1.6","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-29","11.8","28.3","19.8","11.9","4.09","4.27","0","215","98","2.1","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-30","11.7","27.1","20","12.4","4.3","4.39","0","218","99","2.4","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
