Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"139","2014-09-01","15.3","35.6","25.9","9.4",,,"0","251",,"1.2","2","0.7"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-02","13.2","34.4","23.2","11.3",,,"0","259",,"1.1","2.2","1"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-03","11","33.4","22.3","12.1",,,"0","258",,"1.2","2.3","1"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-04","11.5","34.2","23.5","8.9",,,"0.1","260",,"1.4","1.9","0.4"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-05","12.1","32.8","22.2","11.6",,,"0","250",,"1.1","1.9","0.9"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-06","12.7","33.3","21.9","9",,,"0","257",,"1","1.8","0.4"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-07","10.6","33.2","20.4","7.9",,,"0","256",,"0.9","1.7","0.6"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-08","9.2","31","20.1","6.9",,,"0","258",,"1.3","1.6","0.6"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-09","9.5","30.8","19.1","9.8",,,"0","236",,"0.9","1.9","0.7"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-10",,"33.8","28.2","7.4",,,"0","320",,"1.3","1.6",,"S"," ","Y","Y","N","N"," ","R","N"," "," ","S"
"139","2014-09-11","12.3","34","23.4","8.8",,,"0","242",,"1","1.9","0.5"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-12","13.6","36.6","26.2","7.6",,,"0","230",,"1.1","2","0.7"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-13","15","35.5","25","10.6",,,"0","223",,"0.9","2.2","0.9"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-14","13.9","35","24.4","11.3",,,"0","236",,"1","2.1","1"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-15","14.3","33.9","24","8.6",,,"0","235",,"1.4","1.8","0.7"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-16","11.6","30.9","20.4","9.9",,,"0","222",,"1.1","1.9","0.9"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-17","12.5","30.4","22.1","10",,,"0","233",,"2.1","1.8","0.8"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-18","18.7","28","22.3","14.6",,,"0.2","213",,"1.8","2","1.2","Y"," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-19","16.5","31.6","24","12.7",,,"0","196",,"2.1","2","1"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-20","15.7","32.4","23.8","11.4",,,"0","220",,"1.6","2","0.7"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-21","17.1","30.6","23.7","9.8",,,"0","197",,"2.2","1.8","0.8"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-22","12.9","31.1","21.7","12.3",,,"0","209",,"1","2.2","1.1"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-23","10.1","31.2","20.5","9.8",,,"0","215",,"1.1","1.6","0.6"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-24","13.5","29.3","21.4","14.2",,,"0","219",,"1.6","2.2","1.4"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-25","14.7","23.5","18.7","12.5",,,"0.6","152",,"1.4","1.8","1.1"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-26","11.7","23.5","17.6","10.8",,,"0.1","151",,"1.6","1.5","1.1"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-27","13","26.9","18.3","10.9",,,"0","198",,"1.1","1.7","0.9"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-28","11.6","22.4","16.5","12.3",,,"0","73",,"0.8","1.7","1.2"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-29","9.7","26.4","18.3","12.1",,,"0","207",,"0.9","1.7","1.1"," "," "," "," ","N","N"," "," ","N"," "," "," "
"139","2014-09-30","10.7","27.3","19.1","10.4",,,"0","207",,"1.4","1.6","0.6"," "," "," "," ","N","N"," "," ","N"," "," "," "
