Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQC,DayAirTmpMaxQC,DayAirTmpAvgQC,DayDewPntQC,DayEtoQC,DayAsceEtoQC,DayPrecipQC,DaySolRadAvgQC,DaySolRadNetQC,DayWindSpdAvgQC,DayVapPresMaxQC,DayVapPresMinQC
"6","2014-10-01","12.8","29","21.8","3.4","7.18","7.24","0","234","90","5.5","0.9","0.7",,,,,,,,,,,,
"6","2014-10-02","10.3","31","20.5","4.2","4.51","4.7","0","227","90","1.7","1.2","0.6",,,,,,,,,,,,
"6","2014-10-03","11.2","34.4","22.1","4.1","4.62","4.74","0","224","89","1.5","1.4","0.4",,,,,,,,,,,,
"6","2014-10-04","13.1","35.6","22.8","6.5","4.32","4.46","0","221","89","1.3","1.5","0.7",,,,,,,,,,,,
"6","2014-10-05","13","36.1","23.4","8.4","4.28","4.38","0","214","90","1.3","1.5","0.8",,,,,,,,,,,,
"6","2014-10-06","10.5","35.8","22.8","9.3","4.1","4.18","0","212","89","1.2","1.5","0.9",,,,,,,,,,,,
"6","2014-10-07","12.4","35.3","22.6","8.9","4.22","4.32","0","214","89","1.3","1.5","0.9",,,,,,,,,,,,
"6","2014-10-08","11.8","34.9","23.2","6.6","4.64","4.94","0","206","83","1.8","1.3","0.6",,,,,,,,,,,,
"6","2014-10-09","10.6","30.6","20.9","8.9","3.99","4.3","0","204","84","1.7","1.5","0.8",,,,,,,,,,,,
"6","2014-10-10","14.3","29.5","23.3","10.9","3.62","3.77","0","186","86","1.8","1.5","1.1",,,,,,,,,,,,
"6","2014-10-11","10.1","32.2","20.1","9.3","3.54","3.59","0","194","83","1.2","1.5","0.9",,,,,,,,,,,,
"6","2014-10-12","15.3","31.9","24.3","-1.1","8.21","8.53","0","208","68","5.8","1","0.4",,,,,,,,,,,,
"6","2014-10-13","9.6","31.8","21.3","2.9","4.64","4.89","0","197","77","2.2","1.1","0.4",,,,,,,,,,,,
"6","2014-10-14","13.7","23.2","18.5","11.2","3.27","3.62","0","144","47","4.2","1.5","0.9",,,,,,,,,,,,
"6","2014-10-15","13.4","21.7","17.4","13","1.39","1.67","2","99","29","2","1.8","1.3",,,,,,,,,,,,
"6","2014-10-16","9.1","24","16.4","9.1","2.72","2.88","0","156","66","1.7","1.4","0.9",,,,,,,,,,,,
"6","2014-10-17","10.2","24","16.8","9.3","2.73","2.89","0","148","59","1.8","1.3","1",,,,,,,,,,,,
"6","2014-10-18","10.3","27.2","18.6","11","3.22","3.39","0","182","73","1.9","1.6","1",,,,,,,,,,,,
"6","2014-10-19","12.2","27.1","19","13.1","3.1","3.37","0","177","74","2.1","1.9","1.3",,,,,,,,,,,,
"6","2014-10-20","12","22.8","17.4","11","2.33","2.82","0","118","27","3.2","1.7","1",,,,,,,,,,,,
"6","2014-10-21","6.6","21.9","14.5","5.7","0.25","0.09","0","174","-9","2.2","1.1","0.7",,,,,,,,,,,,
"6","2014-10-22","6.7","24.5","16.4","7.3","2.76","2.87","0","160","64","1.5","1.4","0.7",,,,,,,,,,,,
"6","2014-10-23","13.2","24.6","17.9","11.8","2.03","2.37","0","124","43","2.1","1.5","1.2",,,,,,,,,,,,
"6","2014-10-24","10.6","25.4","17.1","11.2","2.87","3.12","0","171","65","2.5","1.6","1.1",,,,,,,,,,,,
"6","2014-10-25","12.9","22.3","17.1","12.9","2.67","2.53","4.5","138","59","3.9","1.7","1.3",,,,,,,,,,,,
"6","2014-10-26","8","20.7","14.3","6.8","3.26","3.29","0.1","173","61","2.9","1.4","0.7",,,,,,,,,,,,
"6","2014-10-27","4.4","22","13.9","3.4","2.9","3.15","0","167","53","2","0.9","0.6",,,,,,,,,,,,
"6","2014-10-28","5.3","25.2","14.9","5.3","2.55","2.67","0","166","57","1.2","1.1","0.7",,,,,,,,,,,,
"6","2014-10-29","8.1","27.6","17.2","8.4","2.64","2.85","0","158","54","1.4","1.4","0.8",,,,,,,,,,,,
"6","2014-10-30","10.2","24.7","17.2","9.6","2.04","2.31","0","102","33","2","1.5","0.9",,,,,,,,,,,,
"6","2014-10-31","12.6","17.5","14.7","13.1","0.19","0.28","14.4","22","-19","2.2","1.7","1.4",,,,,,,,,,,,
"6","2014-11-01","8.9","19.6","13.4","9.1","2.04","2.01","0.1","153","56","1.4","1.4","0.9",,,,,,,,,,,,
"6","2014-11-02","9.5","14.3","11.5","3.8","3.07","2.99","0","0","55","1.5","0.9","0.7",,,,,,,,,,,,
