Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQC,DayAirTmpMaxQC,DayAirTmpAvgQC,DayDewPntQC,DayEtoQC,DayAsceEtoQC,DayPrecipQC,DaySolRadAvgQC,DaySolRadNetQC,DayWindSpdAvgQC,DayVapPresMaxQC,DayVapPresMinQC
"121","2014-10-01","11.3","29.3","21.3","3.9","7.5","7.58","0","235","89","6","1","0.6",,,,,,,,,,,,
"121","2014-10-02","8.5","30.6","19.4","5.2","4.49","4.77","0","228","92","2","1.2","0.7",,,,,,,,,,,,
"121","2014-10-03","11","33.9","21","6.6","4.42","4.57","0","221","92","1.5","1.4","0.6",,,,,,,,,,,,
"121","2014-10-04","9.3","33.9","20.8","8.5","4.14","4.35","0","221","93","1.5","1.9","0.8",,,,,,,,,,,,
"121","2014-10-05","10","33.7","21.2","10.5","3.9","4.1","0","212","90","1.3","2.1","0.9",,,,,,,,,,,,
"121","2014-10-06","10.4","34.5","20.8","10.8","3.9","4.07","0","216","91","1.4","2","0.9",,,,,,,,,,,,
"121","2014-10-07","0","33.5","23.4","11.6","3.86","4.08","0","301","84","1.8","1.9",,,,,,,,,,,,,
"121","2014-10-08","10.6","34.5","20.5","9.9","4.04","4.27","0","209","87","1.6","1.7","0.8",,,,,,,,,,,,
"121","2014-10-09","9.3","29.5","18.7","11.4","3.84","4.06","0","208","87","2.7","1.7","1",,,,,,,,,,,,
"121","2014-10-10","9.3","27.4","17.8","11.8","3.46","3.65","0","202","88","2.6","1.8","1.1",,,,,,,,,,,,
"121","2014-10-11","8.8","31.1","18.5","11.3","3.3","3.47","0","196","84","1.7","1.7","1",,,,,,,,,,,,
"121","2014-10-12","12.1","32.2","23.3","-0.1","8.82","8.96","0","207","70","6.5","1.1","0.4",,,,,,,,,,,,
"121","2014-10-13","8.1","30.3","18.5","6","3.87","4.2","0","200","77","2","1.4","0.5",,,,,,,,,,,,
"121","2014-10-14","13.1","21.2","17.2","12.4","2.92","3.07","0","151","47","4.9","1.7","1.2",,,,,,,,,,,,
"121","2014-10-15","7.9","21.3","15.2","12.3","1.58","1.8","2.03","113","38","2.1","1.7","1.1",,,,,,,,,,,,
"121","2014-10-16","4.7","23.4","13.7","8.7","2.58","2.78","0","163","67","1.9","1.4","0.9",,,,,,,,,,,,
"121","2014-10-17","8.1","23.1","15.4","9.9","2.69","2.79","0","158","64","2.1","1.5","0.9",,,,,,,,,,,,
"121","2014-10-18","9","27","17.1","11.1","3.08","3.23","0","184","72","2","1.7","0.9",,,,,,,,,,,,
"121","2014-10-19","5.8","26.6","16.2","12.6","2.87","3.05","0","179","77","2.6","1.9","0.9",,,,,,,,,,,,
"121","2014-10-20","9.5","22","16.2","11.8","1.96","2.35","0","111","25","3.6","1.8","1",,,,,,,,,,,,
"121","2014-10-21","5.1","22.4","13.7","6","0.11","0.03","0","176","-8","2.4","1.1","0.8",,,,,,,,,,,,
"121","2014-10-22","6.3","23.9","15.3","8.6","2.5","2.76","0","167","55","1.6","1.5","0.8",,,,,,,,,,,,
"121","2014-10-23","11.3","24.4","17.2","12.2","1.73","2.08","0","119","37","1.9","1.6","1.2",,,,,,,,,,,,
"121","2014-10-24","7.7","24.8","15.8","11.4","2.56","2.77","0","169","64","2.3","1.6","1",,,,,,,,,,,,
"121","2014-10-25","9","22","15.7","12.6","2.62","2.41","2.79","147","62","4.1","1.8","1.1",,,,,,,,,,,,
"121","2014-10-26","5.5","21.4","13.4","5.9","3.41","3.5","0","178","59","3.1","1.4","0.6",,,,,,,,,,,,
"121","2014-10-27","4.3","22.5","13","4","2.8","3.01","0","163","49","2","1.2","0.6",,,,,,,,,,,,
"121","2014-10-28","4","25.1","13.8","5.5","2.46","2.61","0","168","56","1.2","1.3","0.6",,,,,,,,,,,,
"121","2014-10-29","6.9","27","16.2","8","2.57","2.8","0","161","52","1.3","1.5","0.7",,,,,,,,,,,,
"121","2014-10-30","9.8","25.4","16.5","10.1","1.98","2.23","0","116","41","2.2","1.6","0.8",,,,,,,,,,,,
"121","2014-10-31","5.8","16.1","11","10.7","0.12","0.21","12.95","26","-16","2.2","1.6","0.9",,,,,,,,,,,,
"121","2014-11-01","3","20.3","10.5","7","1.98","1.99","0","150","51","1.6","1.3","0.8",,,,,,,,,,,,
"121","2014-11-02","3.4","19.9","11.6","4.8","3.29","3.24","0","168","54","3.4","1.1","0.6",,,,,,,,,,,,
"121","2014-11-03","3.8","20.1","11.7","4.9","2.18","2.19","0","145","55","1.4","1","0.7",,,,,,,,,,,,
"121","2014-11-04","2.7","21.1","11.5","6","2.1","2.08","0","150","52","1.3","1.2","0.7",,,,,,,,,,,,
"121","2014-11-05","5.3","22.6","13.2","8","1.99","1.99","0","144","49","0.7","1.3","0.8",,,,,,,,,,,,
"121","2014-11-06","6.4","25.3","14.1","9.2","1.97","1.97","0","142","51","0.8","1.4","0.9",,,,,,,,,,,,
"121","2014-11-07","5.2","24.7","14.2","8.8","2.38","2.44","0","145","49","1.2","1.4","0.9",,,,,,,,,,,,
"121","2014-11-08","3.6","24.9","13.7","8.9","2.18","2.3","0","145","44","1.1","1.5","0.8",,,,,,,,,,,,
"121","2014-11-09","5.5","25.5","14.5","9.2","2.03","2.02","0","144","48","0.7","1.5","0.8",,,,,,,,,,,,
"121","2014-11-10","6.8","24.3","14.2","8.4","2.49","2.54","0","143","46","1.8","1.4","0.9",,,,,,,,,,,,
"121","2014-11-11","5.9","18.9","12.9","9.3","1.98","2.01","0","119","28","3.7","1.4","0.8",,,,,,,,,,,,
"121","2014-11-12","4.5","18.4","12.2","7.8","1.44","1.56","0","112","38","1.3","1.3","0.8",,,,,,,,,,,,
