Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQC,DayAirTmpMaxQC,DayAirTmpAvgQC,DayDewPntQC,DayEtoQC,DayAsceEtoQC,DayPrecipQC,DaySolRadAvgQC,DaySolRadNetQC,DayWindSpdAvgQC,DayVapPresMaxQC,DayVapPresMinQC
"196","2014-10-01","19.8","30.5","24.6","1.2","6.05","6.62","0","232","84","3.2","0.8","0.5",,,,,,,,,,,,
"196","2014-10-02","15.1","33.1","24.3","0.8","4.8","5.02","0","227","81","1.5","1.2","0.5",,,,,,,,,,,,
"196","2014-10-03","14.9","36","24.7","2.8","4.5","4.45","0","221","86","1","1.1","0.6",,,,,,,,,,,,
"196","2014-10-04","14.1","37.7","24.9","5.5","4.26","4.25","0.6","220","86","0.9","1.8","0.7",,,,,,,,,,,,
"196","2014-10-05","16.6","38","25.9","6","4.41","4.33","0","215","86","1","1.5","0.8",,,,,,,,,,,,
"196","2014-10-06","0","37.5","29","8.8","4.32","4.34","0","205","86","1","1.4",,,,,,,,,,,,,
"196","2014-10-07","16.3","37.2","26.3","5.8","4.65","4.9","0","232","88","1.2","1.4","0.7",,,,,,,,,,,,
"196","2014-10-08","17.5","36.8","27.3","4.4","4.68","4.7","0","207","79","1.3","1.1","0.7",,,,,,,,,,,,
"196","2014-10-09","14.9","33.3","25.1","6.6","4.28","4.35","0","204","80","1.2","1.3","0.8",,,,,,,,,,,,
"196","2014-10-10","13.9","32.6","22.3","10.3","3.6","3.67","0","196","82","1.1","1.6","1",,,,,,,,,,,,
"196","2014-10-11","13.1","33.2","22.8","8.9","3.78","3.82","0.2","196","81","1.1","1.7","0.9",,,,,,,,,,,,
"196","2014-10-12","22.1","33.2","26.8","-2.5","6.05","6.87","0","206","63","3.1","0.9","0.3",,,,,,,,,,,,
"196","2014-10-13","13.8","34","24.2","0.5","4.27","4.25","0","198","71","1.2","1","0.3",,,,,,,,,,,,
"196","2014-10-14","13.3","23.2","19.6","10","2.81","3.01","0","134","45","2.3","1.5","0.7",,,,,,,,,,,,
"196","2014-10-15","14.7","24","18.6","11.6","1.77","2.09","1.6","106","33","1.7","1.7","1.1",,,,,,,,,,,,
"196","2014-10-16","12.6","25.4","18.2","8.4","2.68","2.66","0","148","62","1.1","1.3","0.9",,,,,,,,,,,,
"196","2014-10-17","10.9","25.6","18.5","8.7","2.58","2.7","0","144","55","1.2","1.4","0.9",,,,,,,,,,,,
"196","2014-10-18","13.4","28.7","20.3","11.2","3.06","3.21","0","180","71","1.1","1.5","1.2",,,,,,,,,,,,
"196","2014-10-19","12.5","28.9","20.3","12.3","2.98","3.2","0","179","70","1.1","1.8","1.2",,,,,,,,,,,,
"196","2014-10-20","11.5","23.3","18.2","10.7","1.6","2.18","0","92","4","1.8","1.6","1",,,,,,,,,,,,
"196","2014-10-21","11.3","23.8","17.1","5.8","0.41","0.24","0","172","-9","1.7","1.1","0.7",,,,,,,,,,,,
"196","2014-10-22","10.6","26.6","18.6","7.5","2.88","2.89","0","166","68","1.1","1.4","0.8",,,,,,,,,,,,
"196","2014-10-23","15.3","25","18.9","11.5","1.69","1.96","0","96","30","1.3","1.5","1.2",,,,,,,,,,,,
"196","2014-10-24","11.9","27.3","18.9","10.6","2.82","3.06","0","170","64","1.5","1.5","1.1",,,,,,,,,,,,
"196","2014-10-25","14.2","23.3","18.4","12.1","2.38","2.48","0.5","127","48","2.2","1.7","1.2",,,,,,,,,,,,
"196","2014-10-26","11.9","22.4","16.9","5.6","3.08","3.35","0","171","58","2","1.3","0.7",,,,,,,,,,,,
"196","2014-10-27","11.9","24.5","17","3.2","2.9","3.13","0","162","48","1.5","0.9","0.7",,,,,,,,,,,,
"196","2014-10-28","9.2","27","17.5","5.3","2.65","2.8","0","166","55","1","1.1","0.7",,,,,,,,,,,,
"196","2014-10-29","12","29.5","19.6","8.5","2.55","2.65","0","149","52","0.9","1.3","0.9",,,,,,,,,,,,
"196","2014-10-30","13","25.6","19.1","9.6","2.05","2.16","0","103","33","1.2","1.5","0.9",,,,,,,,,,,,
"196","2014-10-31","12.7","18.4","15.5","12.7","0.2","0.27","4.2","22","-19","1.2","1.7","1.4",,,,,,,,,,,,
"196","2014-11-01","10.4","20.2","14.5","8.8","2.1","2.17","0","150","50","1.2","1.4","1",,,,,,,,,,,,
