Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQC,DayAirTmpMaxQC,DayAirTmpAvgQC,DayDewPntQC,DayEtoQC,DayAsceEtoQC,DayPrecipQC,DaySolRadAvgQC,DaySolRadNetQC,DayWindSpdAvgQC,DayVapPresMaxQC,DayVapPresMinQC
"131","2014-10-01","13.3","28.9","20.2","6.9","4.58","4.74","0","213","92","2.4","1.2","0.8",,,,,,,,,,,,
"131","2014-10-02","11.3","32.6","21.1","8.1","3.74","3.67","0","206","89","0.8","1.4","0.9",,,,,,,,,,,,
"131","2014-10-03","12.6","34.3","22.7","8.7","3.88","3.86","0","201","86","0.8","1.5","0.8",,,,,,,,,,,,
"131","2014-10-04","12.7","34.4","23.2","8.8","3.88","3.89","0","201","85","0.9","1.4","0.9",,,,,,,,,,,,
"131","2014-10-05","13.3","35","23.4","10.2","3.74","3.66","0","201","86","0.8","1.6","1.1",,,,,,,,,,,,
"131","2014-10-06","14","35.3","24.3","10","3.83","3.77","0","199","84","0.8","1.6","1",,,,,,,,,,,,
"131","2014-10-07","14.4","34.4","23.4","10.7","3.76","3.84","0","199","84","0.9","1.7","1.1",,,,,,,,,,,,
"131","2014-10-08","12.4","34.1","23","8.9","4.04","4.08","0","199","82","1.1","1.6","0.8",,,,,,,,,,,,
"131","2014-10-09","13.7","30.8","21.6","9.1","3.76","3.86","0","195","82","1.3","1.5","0.9",,,,,,,,,,,,
"131","2014-10-10","11.4","29.8","19.9","10.9","3.07","3.19","0","183","74","0.9","1.5","1.1",,,,,,,,,,,,
"131","2014-10-11","12.6","30.6","20.1","11.7","3.14","3.23","0","186","80","0.8","1.7","1.2",,,,,,,,,,,,
"131","2014-10-12","13.5","30.7","21.2","5.8","4.72","5.11","0","195","75","2.6","1.4","0.7",,,,,,,,,,,,
"131","2014-10-13","12.1","32.4","22.4","6.3","4","4.06","0","185","75","1.3","1.3","0.7",,,,,,,,,,,,
"131","2014-10-14","12.4","22.4","17.9","12.2","2.56","2.51","0","148","62","1.7","1.7","0.9",,,,,,,,,,,,
"131","2014-10-15","14.9","21.6","17.7","13.1","1.44","1.73","2.4","105","33","1.2","1.8","1.3",,,,,,,,,,,,
"131","2014-10-16","11.3","24","17.2","11","2.47","2.54","0","155","67","0.9","1.6","1.1",,,,,,,,,,,,
"131","2014-10-17","11.1","23","16.6","9.5","2.21","2.4","0","143","52","1","1.3","1.1",,,,,,,,,,,,
"131","2014-10-18","12","26.4","18.3","10.7","2.78","2.88","0","172","69","1.2","1.5","1.2",,,,,,,,,,,,
"131","2014-10-19","10.2","27.4","18.9","11.7","2.76","2.91","0","171","67","0.9","1.6","1.1",,,,,,,,,,,,
"131","2014-10-20","12.4","21.5","17.2","12.5","1.58","1.85","0","101","29","1.7","1.7","1.1",,,,,,,,,,,,
"131","2014-10-21","8.3","21.4","14.5","8.3","0.05","0","0","163","-8","1.3","1.3","0.9",,,,,,,,,,,,
"131","2014-10-22","8.2","24.8","15.9","7.7","2.37","2.35","0","149","61","0.8","1.3","0.9",,,,,,,,,,,,
"131","2014-10-23","13.3","24.4","18","10.3","1.87","2.11","0","111","34","1.4","1.5","0.9",,,,,,,,,,,,
"131","2014-10-24","8.8","25.5","17","11.1","2.52","2.67","0","159","61","1.2","1.5","1",,,,,,,,,,,,
"131","2014-10-25","13.9","20.4","16.5","12.4","1.25","1.37","2","83","24","1.8","1.7","1.3",,,,,,,,,,,,
"131","2014-10-26","8.3","20.8","14.6","7.9","2.56","2.71","0","161","57","1.6","1.5","0.8",,,,,,,,,,,,
"131","2014-10-27","5","21.4","12.5","6.3","2.05","2.17","0","151","53","0.8","1.2","0.8",,,,,,,,,,,,
"131","2014-10-28","6.5","24.5","14.6","6.8","2.25","2.39","0","153","53","0.8","1.2","0.8",,,,,,,,,,,,
"131","2014-10-29","9.6","26.5","17","9.3","2.09","2.28","0","141","46","0.8","1.4","0.9",,,,,,,,,,,,
"131","2014-10-30","11.6","26.8","18.6","9.9","2.25","2.4","0","126","45","0.9","1.4","1",,,,,,,,,,,,
"131","2014-10-31","12.6","19.6","15.3","12.4","0.33","0.58","6.2","39","-12","1.2","1.6","1.3",,,,,,,,,,,,
"131","2014-11-01","8.2","18.1","13.1","9.2","1.09","1.26","2.8","79","19","1.8","1.4","1",,,,,,,,,,,,
"131","2014-11-02","5.3","19.2","11.6","5.6","2.21","2.17","0","152","52","1.2","1.1","0.8",,,,,,,,,,,,
"131","2014-11-03","4.5","19.7","11.3","5.4","1.94","1.92","0","139","49","0.9","1.1","0.7",,,,,,,,,,,,
"131","2014-11-04","7.4","20.7","13.4","6.8","2.02","2.05","0","135","46","1","1.2","0.8",,,,,,,,,,,,
"131","2014-11-05","8","23.3","14.8","8.4","2.1","2.14","0","140","48","0.8","1.3","0.9",,,,,,,,,,,,
"131","2014-11-06","10","25.4","16.4","9.5","2.13","2.21","0","133","49","0.9","1.3","1",,,,,,,,,,,,
"131","2014-11-07","7.9","24.3","15.6","9.3","2.16","2.25","0","137","46","0.9","1.4","1",,,,,,,,,,,,
"131","2014-11-08","10.8","25.7","16.8","10.3","1.93","2.07","0","127","44","0.8","1.5","1.1",,,,,,,,,,,,
"131","2014-11-09","9.6","26.1","16.6","10.3","2.06","2.14","0","133","43","0.8","1.5","1",,,,,,,,,,,,
"131","2014-11-10","8.7","24.6","15.3","9.7","1.96","2.03","0","133","43","0.7","1.4","1",,,,,,,,,,,,
"131","2014-11-11","9.8","17.1","14.3","9.9","0.85","0.91","0","60","6","1.2","1.4","1.1",,,,,,,,,,,,
"131","2014-11-12","9.4","18.2","13.8","8.3","1.13","1.3","0","84","22","0.8","1.3","1",,,,,,,,,,,,
"131","2014-11-13","12.5","15.7","14.1","12.8","0","0.06","5.4","15","-19","1.4","1.6","1.2",,,,,,,,,,,,
"131","2014-11-14","10.2","18.4","13.8","11.7","1.1","1.18","0.1","93","30","1.1","1.6","1.1",,,,,,,,,,,,
"131","2014-11-15","7.9","19.1","12.9","9.3","1.49","1.58","0","116","38","0.9","1.4","1",,,,,,,,,,,,
"131","2014-11-16","5.1","14.6","10.2","5.2","1.26","1.4","0","98","24","1.4","1.2","0.5",,,,,,,,,,,,
"131","2014-11-17","3.5","18.7","10.2","4.8","1.64","1.64","0","125","35","0.9","1","0.7",,,,,,,,,,,,
"131","2014-11-18","3.5","17.9","10.2","4.3","1.14","1.21","0","80","22","0.9","1","0.7",,,,,,,,,,,,
"131","2014-11-19","7.5","15.7","11.7","8.7","0.29","0.42","1.7","34","-6","1","1.4","0.8",,,,,,,,,,,,
"131","2014-11-20","9.8","12.3","11.4","10.6","0.01","0.05","5.6","15","-19","1","1.3","1.1",,,,,,,,,,,,
"131","2014-11-21","8.6","14.8","11.5","9.8","0.74","0.89","0.2","73","20","1.4","1.4","1.1",,,,,,,,,,,,
"131","2014-11-22","8.9","14.5","12","10.6","0.08","0.18","7.8","18","-17","2.2","1.5","1.1",,,,,,,,,,,,
"131","2014-11-23","5.4","14.4","9.2","6.2","0.8","0.94","0.2","75","15","1.2","1.1","0.8",,,,,,,,,,,,
"131","2014-11-24","3.3","18.4","9.7","5.1","1.37","1.44","0","117","30","0.8","1.1","0.7",,,,,,,,,,,,
"131","2014-11-25","5.7","18.3","10.8","6","1.46","1.54","0","112","29","0.8","1.1","0.8",,,,,,,,,,,,
"131","2014-11-26","5.3","21.2","11.6","7.5","1.36","1.47","0","110","29","0.6","1.2","0.8",,,,,,,,,,,,
"131","2014-11-27","7.3","22.2","13","8.5","1.4","1.53","0","109","28","0.7","1.4","0.9",,,,,,,,,,,,
"131","2014-11-28","4.5","18.4","11.3","7.7","1.11","1.28","5.9","94","19","1","1.3","0.8",,,,,,,,,,,,
"131","2014-11-29","11","16","13.2","9.7","0.32","0.44","2.3","26","-12","1.4","1.3","1.1",,,,,,,,,,,,
"131","2014-11-30","10.8","14.3","12.4","10.5","0.1","0.16","6.2","22","-15","1.2","1.4","1.2",,,,,,,,,,,,
"131","2014-12-01","9.9","20.4","14","11.5","1.12","1.28","0","87","25","1.1","1.6","1.1",,,,,,,,,,,,
"131","2014-12-02","10.5","14.6","12.3","11.4","0.04","0.11","10.8","20","-14","1.5","1.5","1.2",,,,,,,,,,,,
"131","2014-12-03","14.2","18","15.4","13.8","0.38","0.56","79.8","32","-5","2.7","1.7","1.5",,,,,,,,,,,,
"131","2014-12-04","12.6","20.2","15.4","13","0.97","1.13","0.6","78","17","1.1","1.8","1.4",,,,,,,,,,,,
"131","2014-12-05","12.7","19.1","15.7","12.7","0.65","0.94","2","50","4","1.7","1.6","1.3",,,,,,,,,,,,
"131","2014-12-06","12.3","21.4","15.7","13.2","0.9","1.06","2.5","74","19","1.2","1.7","1.3",,,,,,,,,,,,
"131","2014-12-07","8.8","17.8","12.6","10.3","0.7","0.84","0","63","13","0.7","1.4","1.1",,,,,,,,,,,,
"131","2014-12-08","8.9","18.5","12.2","9.2","0.56","0.73","0.1","53","7","0.6","1.4","1.1",,,,,,,,,,,,
"131","2014-12-09","8.2","16.8","11.6","9.1","0.48","0.7","0","49","5","0.7","1.3","1",,,,,,,,,,,,
"131","2014-12-10","9.6","16.6","12.5","10","0.45","0.53","0","34","-4","1.9","1.4","1",,,,,,,,,,,,
"131","2014-12-11","9.8","17.3","13.2","10.2","0.49","0.39","55.2","6","-24","2.8","1.5","1",,,,,,,,,,,,
"131","2014-12-12","8.2","13","9.9","8.3","0.56","0.63","19.8","57","10","1.2","1.2","1",,,,,,,,,,,,
"131","2014-12-13","5.2","13.1","9.3","7.6","0.35","0.51","0","44","1","0.9","1.2","0.8",,,,,,,,,,,,
"131","2014-12-14","4.5","12.5","8.4","6.3","0.42","0.58","0","50","5","0.8","1.1","0.8",,,,,,,,,,,,
"131","2014-12-15","8.9","11.7","9.9","7.5","0.13","0.17","15.4","15","-18","1.9","1.1","1",,,,,,,,,,,,
"131","2014-12-16","9.3","16.6","12.3","8.4","1.31","1.44","11.8","84","20","2.4","1.3","1",,,,,,,,,,,,
"131","2014-12-17","9.1","13.3","10.6","8.4","0.35","0.52","0.8","39","-1","1.6","1.2","1",,,,,,,,,,,,
"131","2014-12-18","8.7","15.9","11.5","7.8","0.84","1.03","0.1","70","9","1.1","1.2","1",,,,,,,,,,,,
"131","2014-12-19","9.8","13","11.2","8.6","0.19","0.16","18.8","9","-23","1.7","1.2","1",,,,,,,,,,,,
"131","2014-12-20","10.8","14","12.3","10.6","0.13","0.27","0.1","25","-10","1.4","1.4","1.2",,,,,,,,,,,,
"131","2014-12-21","10.5","17.4","13.9","11.9","0.29","0.49","0","38","-5","1.1","1.6","1.2",,,,,,,,,,,,
"131","2014-12-22","9.7","14.6","11.6","10.7","0.26","0.47","0.2","36","-3","1.3","1.5","1.1",,,,,,,,,,,,
"131","2014-12-23","9.2","17.8","12.9","11","0.87","1.04","0.1","80","15","0.8","1.5","1.1",,,,,,,,,,,,
"131","2014-12-24","7.9","12.8","10.5","8.6","0.17","0.14","1.9","15","-18","1.8","1.4","0.7",,,,,,,,,,,,
"131","2014-12-25","3.2","13.5","8.2","0.3","1.68","1.82","0","102","20","2.6","0.7","0.5",,,,,,,,,,,,
"131","2014-12-26","2.2","13.9","7.3","-0.9","1.59","1.69","0","103","20","1.9","0.7","0.5",,,,,,,,,,,,
"131","2014-12-27","1.4","13.1","6.4","2","1.07","1.15","0","95","23","0.8","0.9","0.6",,,,,,,,,,,,
"131","2014-12-28","0.9","14.3","6.4","2.3","1.09","1.17","0","99","22","0.7","0.8","0.6",,,,,,,,,,,,
"131","2014-12-29","1.4","8.2","4.8","2.6","0.11","0.12","0","23","-13","0.7","0.9","0.6",,,,,,,,,,,,
"131","2014-12-30","1.4","12.7","6.1","-4.5","2.18","2.25","0","103","21","3.1","0.7","0.2",,,,,,,,,,,,
"131","2014-12-31","-0.3","12.6","5.4","-5.9","1.74","1.86","0","107","17","2.6","0.5","0.3",,,,,,,,,,,,
"131","2015-01-01","-2.2","10.6","3.4","-1.5","1.06","1.08","0","100","21","0.8","0.7","0.5",,,,,,,,,,,,
"131","2015-01-02","-2.4","11.4","3.6","-0.9","1.09","1.11","0","101","21","0.8","0.7","0.5",,,,,,,,,,,,
"131","2015-01-03","-1.5","13.5","4.9","-0.3","1.11","1.16","0","100","21","0.7","0.7","0.5",,,,,,,,,,,,
"131","2015-01-04","1.1","13.8","5.9","1.5","0.93","1","0","78","15","0.9","0.8","0.6",,,,,,,,,,,,
"131","2015-01-05","1.7","15.1","7.5","3.3","0.99","1.09","0","88","15","0.7","0.9","0.6",,,,,,,,,,,,
"131","2015-01-06","2.7","17","9.1","5.2","1.3","1.39","0","103","25","1","1.1","0.7",,,,,,,,,,,,
"131","2015-01-07","3.1","20.2","10.1","6.2","1.29","1.37","0","104","26","0.7","1.2","0.7",,,,,,,,,,,,
"131","2015-01-08","4.3","18.2","10.6","7","1.17","1.31","0","92","20","0.9","1.3","0.8",,,,,,,,,,,,
"131","2015-01-09","6.7","14.2","10.6","8.5","0.24","0.32","0","33","-5","0.8","1.2","0.9",,,,,,,,,,,,
"131","2015-01-10","7.7","19.1","11.3","8.7","0.87","1.01","0","77","16","0.7","1.3","1",,,,,,,,,,,,
"131","2015-01-11","5.9","17.9","10.8","8.2","1.11","1.22","0","96","28","0.7","1.4","0.9",,,,,,,,,,,,
"131","2015-01-12","4.9","16.8","10.1","7.8","0.99","1.11","0","83","21","1","1.3","0.8",,,,,,,,,,,,
"131","2015-01-13","3.6","15.4","8.8","6.9","0.89","0.99","0.1","84","21","0.8","1.2","0.7",,,,,,,,,,,,
"131","2015-01-14","4.8","15.1","9","5.9","1.2","1.26","0.1","102","29","1","1.1","0.8",,,,,,,,,,,,
"131","2015-01-15","1.5","15.6","8.4","5.9","0.97","1.09","0.1","85","25","0.9","1.2","0.6",,,,,,,,,,,,
"131","2015-01-16","5.8","13.4","9.3","7.5","0.49","0.66","0","52","7","1.6","1.2","0.9",,,,,,,,,,,,
"131","2015-01-17","7.9","11.5","9.3","8.3","0.14","0.28","0","31","-6","1","1.2","1",,,,,,,,,,,,
"131","2015-01-18","6.9","12","8.9","8.1","0.27","0.35","0.1","42","0","1.1","1.3","0.9",,,,,,,,,,,,
"131","2015-01-19","9.3","12.9","10.6","9.5","0.1","0.14","0.2","26","-10","0.8","1.3","1.1",,,,,,,,,,,,
"131","2015-01-20","5.6","11.8","9.8","8.4","0.07","0.12","0","20","-14","0.7","1.2","0.9",,,,,,,,,,,,
"131","2015-01-21","4.9","13.8","9.4","6.7","1.05","1.15","0","94","26","0.9","1.1","0.8",,,,,,,,,,,,
"131","2015-01-22","3.8","13.3","8.2","6","0.57","0.7","0","61","7","1.1","1","0.7",,,,,,,,,,,,
"131","2015-01-23","3.5","15.6","8.4","6.6","0.69","0.74","0.2","72","14","1.1","1.3","0.7",,,,,,,,,,,,
"131","2015-01-24","5.7","11.7","7.2","6.1","0.49","0.55","0.1","62","7","1.3","1.1","0.9",,,,,,,,,,,,
"131","2015-01-25","4.7","17.6","8.5","6","1.15","1.19","0.1","104","34","1.1","1.3","0.8",,,,,,,,,,,,
"131","2015-01-26","4","19.7","10.5","7.1","1.26","1.3","0","100","31","1.3","1.2","0.8",,,,,,,,,,,,
"131","2015-01-27","8.5","18.7","12.5","9.6","0.59","0.74","0","52","8","0.7","1.4","1",,,,,,,,,,,,
"131","2015-01-28","4.3","17.6","11","6.5","1.53","1.58","0","119","39","1","1.1","0.8",,,,,,,,,,,,
"131","2015-01-29","5","20.1","11.4","7","1.64","1.7","0","120","43","0.8","1.2","0.8",,,,,,,,,,,,
"131","2015-01-30","5","19.9","11.4","7.2","1.66","1.71","0","122","40","0.9","1.2","0.8",,,,,,,,,,,,
"131","2015-01-31","5.3","22.5","13.4","3.1","2.61","2.82","0","134","40","1.9","1.1","0.5",,,,,,,,,,,,
"131","2015-02-01","5.6","19.7","12.2","7.1","1.4","1.56","0","106","31","0.9","1.3","0.7",,,,,,,,,,,,
