Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQC,DayAirTmpMaxQC,DayAirTmpAvgQC,DayDewPntQC,DayEtoQC,DayAsceEtoQC,DayPrecipQC,DaySolRadAvgQC,DaySolRadNetQC,DayWindSpdAvgQC,DayVapPresMaxQC,DayVapPresMinQC
"70","2014-10-01","11.9","28.7","19.8","7.8","4.42","4.61","0","227","98","2","1.3","0.8",,,,,,,,,,,,
"70","2014-10-02","8.3","31.7","18.6","10.3","3.74","3.73","0","224","100","0.9","2.2","1",,,,,,,,,,,,
"70","2014-10-03","9.7","33.3","20.1","11.1","3.96","4.04","0","220","98","1","1.7","1",,,,,,,,,,,,
"70","2014-10-04","9.4","33.3","20.2","11","3.96","4.03","0","218","96","1","1.7","1",,,,,,,,,,,,
"70","2014-10-05","9.9","33.9","20.7","11.3","3.83","3.9","0","216","94","0.9","1.7","1",,,,,,,,,,,,
"70","2014-10-06","10.1","33.6","21.1","11.9","3.82","3.93","0","212","93","1","1.9","1",,,,,,,,,,,,
"70","2014-10-07","9.5","32.3","20.3","11.7","3.69","3.93","0","194","81","1.3","1.7","1",,,,,,,,,,,,
"70","2014-10-08","14.9","33.5","24.6","8.7","4.26","4.5","0","102","89","1.7","1.3","0.9",,,,,,,,,,,,
"70","2014-10-09","9.8","30.8","20.7","10.1","3.96","4.15","0","208","89","1.5","1.6","0.9",,,,,,,,,,,,
"70","2014-10-10","9.4","28.8","18.6","11.7","3.47","3.54","0","195","86","1.5","1.7","1.1",,,,,,,,,,,,
"70","2014-10-11","9.9","29.6","19","11.9","3.38","3.5","0","194","86","1.2","1.7","1.2",,,,,,,,,,,,
"70","2014-10-12","11","31.2","20.4","6.5","4.17","4.41","0","202","81","1.9","1.5","0.7",,,,,,,,,,,,
"70","2014-10-13","10","32.6","19.9","8.5","3.68","3.79","0","195","83","1.2","1.8","0.9",,,,,,,,,,,,
"70","2014-10-14","9.3","25","17.3","12","2.86","2.91","0","164","72","1.7","1.6","1.1",,,,,,,,,,,,
