Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQC,DayAirTmpMaxQC,DayAirTmpAvgQC,DayDewPntQC,DayEtoQC,DayAsceEtoQC,DayPrecipQC,DaySolRadAvgQC,DaySolRadNetQC,DayWindSpdAvgQC,DayVapPresMaxQC,DayVapPresMinQC
"191","2014-10-01","10.3","29.9","19.5","4.9","4.67","4.56","0","216","106","1.5","1.4","0.4",,,,,,,,,,,,
"191","2014-10-02","8.3","31.8","19.7","4.8","4.44","4.32","0","211","105","1.2","1.2","0.5",,,,,,,,,,,,
"191","2014-10-03","9.8","34.2","21.3","5.8","4.45","4.26","0","205","101","1","1.4","0.6",,,,,,,,,,,,
"191","2014-10-04","9.8","36.7","21.8","5.5","4.24","3.95","0","203","100","0.9","1.4","0.5",,,,,,,,,,,,
"191","2014-10-05","10.3","37.9","22.1","5.8","4.33","4.04","0","205","98","0.9","1.3","0.4",,,,,,,,,,,,
"191","2014-10-06","11.1","36.6","22.7","6.4","4.37","4.18","0","201","95","1.1","1.4","0.5",,,,,,,,,,,,
"191","2014-10-07","10.9","33.7","20.8","9.3","3.71","3.65","0","178","85","1.2","1.6","0.8",,,,,,,,,,,,
"191","2014-10-08","10.8","33.8","21.4","8.4","4.33","4.37","0.8","197","95","1.4","1.4","0.5",,,,,,,,,,,,
"191","2014-10-09","11.2","29.4","18.8","10.2","3.77","3.71","0","196","97","1.4","1.6","0.8",,,,,,,,,,,,
"191","2014-10-10","10.1","27.2","16.9","11.1","3.22","3.18","0","189","93","1.2","1.6","1.1",,,,,,,,,,,,
"191","2014-10-11","9.5","31.7","18.3","9.9","3.47","3.45","0","190","92","1.1","1.5","0.9",,,,,,,,,,,,
"191","2014-10-12","11.4","32.8","21","2.3","4.77","4.97","0","197","85","1.8","1.3","0.3",,,,,,,,,,,,
"191","2014-10-13","8.8","33","19.8","3.9","4.13","4.06","0","191","88","1.2","1.3","0.4",,,,,,,,,,,,
"191","2014-10-14","10.3","22.3","17.1","10.7","3.04","2.84","0","142","70","2.5","1.5","1.1",,,,,,,,,,,,
"191","2014-10-15","13.2","22.7","18.1","11.5","2.74","2.74","0.6","142","66","2","1.6","1.1",,,,,,,,,,,,
"191","2014-10-16","9.6","23.3","15.4","8.5","2.8","2.84","0","156","73","1.4","1.3","0.8",,,,,,,,,,,,
"191","2014-10-17","8.4","24.7","16","7.9","2.6","2.66","0","143","63","1.2","1.4","0.9",,,,,,,,,,,,
"191","2014-10-18","9.9","26.8","17.8","10.3","3.12","3.12","0","174","82","1.2","1.5","1",,,,,,,,,,,,
"191","2014-10-19","10.5","26.7","17.7","11.8","3.12","3.12","0","174","80","1.3","1.6","1.1",,,,,,,,,,,,
"191","2014-10-20","11.2","21.4","16.6","12","1.21","1.43","0.1","74","16","1.9","1.7","1.1",,,,,,,,,,,,
"191","2014-10-21","7.9","22.2","14.4","8","0.07","0.05","0","173","-9","1.4","1.3","0.7",,,,,,,,,,,,
"191","2014-10-22","7.7","24.9","15.8","8.7","2.91","2.81","0","165","78","1.2","1.5","0.8",,,,,,,,,,,,
"191","2014-10-23","11.5","24.9","17.2","11.2","2.27","2.4","0","136","56","1.1","1.5","1.1",,,,,,,,,,,,
"191","2014-10-24","8.9","27.8","17.1","10.5","2.92","3.03","0","168","72","1.7","1.5","0.9",,,,,,,,,,,,
"191","2014-10-25","12.7","21.5","17.3","11.9","2.48","2.46","3.5","121","52","2.7","1.6","1.2",,,,,,,,,,,,
"191","2014-10-26","8.5","20.8","14","7.9","2.77","2.74","0.2","169","67","1.5","1.4","0.7",,,,,,,,,,,,
"191","2014-10-27","4.9","23.1","13.1","6.7","2.47","2.48","0","155","65","1.1","1.2","0.7",,,,,,,,,,,,
"191","2014-10-28","5.6","25.6","14.8","6.7","2.66","2.7","0","161","65","1","1.3","0.6",,,,,,,,,,,,
"191","2014-10-29","7.9","27.2","16.4","6.9","3.02","3.15","0","158","63","1.3","1.2","0.7",,,,,,,,,,,,
"191","2014-10-30","10.2","27.5","16.8","9","2.13","2.34","0","109","44","1.3","1.4","0.7",,,,,,,,,,,,
"191","2014-10-31","12.4","18.8","15","11.3","0.63","0.7","2.5","33","-5","2","1.5","1.2",,,,,,,,,,,,
"191","2014-11-01","7.6","17.8","13.2","8.5","2","1.99","0.3","132","47","1.9","1.3","0.9",,,,,,,,,,,,
"191","2014-11-02","4.6","20","11.2","5.6","2.3","2.32","0","154","58","1.2","1.2","0.7",,,,,,,,,,,,
"191","2014-11-03","3.6","22.4","11.6","4.4","2.26","2.24","0","144","57","1","1","0.6",,,,,,,,,,,,
"191","2014-11-04","3.6","23.5","12.4","5.1","2.2","2.18","0","140","49","0.9","1","0.7",,,,,,,,,,,,
"191","2014-11-05","6.1","23.9","14.6","6.6","2.63","2.66","0","146","54","1.3","1.2","0.8",,,,,,,,,,,,
"191","2014-11-06","7","27.7","15.4","8.7","2.34","2.4","0.7","139","53","1.2","1.5","0.8",,,,,,,,,,,,
"191","2014-11-07","10.1","26.4","18.5","10.3","2.23","2.22","0","182","56","1","1.5","1",,,,,,,,,,,,
"191","2014-11-08","6.9","25.9","15.3","8.6","2.49","2.55","0","143","53","1","1.3","0.9",,,,,,,,,,,,
"191","2014-11-09","6.4","28.6","15.3","8.3","2.38","2.38","0","144","52","0.9","1.4","0.9",,,,,,,,,,,,
