Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQC,DayAirTmpMaxQC,DayAirTmpAvgQC,DayDewPntQC,DayEtoQC,DayAsceEtoQC,DayPrecipQC,DaySolRadAvgQC,DaySolRadNetQC,DayWindSpdAvgQC,DayVapPresMaxQC,DayVapPresMinQC
"167","2014-10-01","17.4","29.2","22.2","3.5","5.68","5.93","0","223","93","3","1","0.6",,,,,,,,,,,,
"167","2014-10-02","14.3","30.5","22.3","4.6","4.69","4.77","0","217","92","1.7","1.1","0.6",,,,,,,,,,,,
"167","2014-10-03","13.3","33.7","23","5.4","4.66","4.75","0","214","91","1.5","1.2","0.6",,,,,,,,,,,,
"167","2014-10-04","12.7","34.2","22.9","5.1","4.52","4.57","0","210","88","1.3","1.1","0.6",,,,,,,,,,,,
"167","2014-10-05","11.9","34.3","23","5.7","4.43","4.48","0","208","87","1.3","1.2","0.7",,,,,,,,,,,,
"167","2014-10-06","12.2","34.6","23.3","7.7","4.33","4.43","0","209","89","1.3","1.4","0.7",,,,,,,,,,,,
"167","2014-10-07","12.9","33.5","23.8","7.2","4.33","4.82","0","186","70","1.9","1.6","0.7",,,,,,,,,,,,
"167","2014-10-08","0","35.3",,,"5.06","5.54","0","154","73","3.6","1.1",,,,,,,,,,,,,
"167","2014-10-09","13.8","31.9","24.7","6.1","5.65","6.11","0","204","81","3","1.2","0.7",,,,,,,,,,,,
"167","2014-10-10","11.5","30.4","21.3","8.6","4.35","4.69","0","192","78","2.4","1.3","0.8",,,,,,,,,,,,
"167","2014-10-11","10.8","30.7","20.3","8.9","3.81","3.95","0","189","83","1.5","1.4","0.9",,,,,,,,,,,,
"167","2014-10-12","14.1","31.7","24","0.5","5.87","6.4","0","199","73","3.1","1.2","0.4",,,,,,,,,,,,
"167","2014-10-13","11.8","33.5","22.2","1.4","4.24","4.36","0","192","73","1.4","1","0.4",,,,,,,,,,,,
"167","2014-10-14","9.3","26","18.2","10.4","3.4","3.5","0","160","69","2.4","1.5","0.8",,,,,,,,,,,,
"167","2014-10-15","13.1","23.8","18.4","11.1","2.31","2.63","0","126","43","1.9","1.4","1.2",,,,,,,,,,,,
"167","2014-10-16","11","25.2","17.4","8.8","2.98","3.14","0","159","66","1.8","1.4","0.8",,,,,,,,,,,,
"167","2014-10-17","10","24.7","17","7.3","2.82","2.93","0","161","67","1.2","1.2","0.9",,,,,,,,,,,,
"167","2014-10-18","10.9","26.2","18.5","9.7","3.19","3.35","0","177","71","1.6","1.6","0.9",,,,,,,,,,,,
"167","2014-10-19","10","28","19.4","10.8","3.23","3.5","0","176","70","2.1","1.6","1",,,,,,,,,,,,
"167","2014-10-20","11.2","22.5","16.6","11.7","2.15","2.34","0","111","35","2.9","1.7","1.2",,,,,,,,,,,,
"167","2014-10-21","9.4","22.5","16.1","7","0.26","0.18","0","174","-8","2.5","1.2","0.7",,,,,,,,,,,,
"167","2014-10-22","9.3","24.8","17.2","7.3","3.09","3.13","0","163","69","1.6","1.2","0.9",,,,,,,,,,,,
"167","2014-10-23","11.5","25.2","18","10","2.63","2.94","0","147","55","1.7","1.4","1",,,,,,,,,,,,
"167","2014-10-24","11.8","26.3","17.4","11.5","2.58","2.79","0","164","65","1.7","1.5","1.2",,,,,,,,,,,,
"167","2014-10-25","12.4","24","17.8","11","2.6","2.98","0","130","44","3","1.6","1.1",,,,,,,,,,,,
"167","2014-10-26","12.3","21.2","16.2","7.2","3.31","3.56","0","167","60","3.3","1.3","0.7",,,,,,,,,,,,
"167","2014-10-27","9.7","22.1","16.1","4.2","2.8","3.07","0","142","46","2.1","1","0.7",,,,,,,,,,,,
"167","2014-10-28","6.7","24.7","15.4","4.5","2.75","2.98","0","159","56","1.5","1.2","0.6",,,,,,,,,,,,
"167","2014-10-29","8.8","26.3","16.9","6.1","2.51","2.7","0","154","52","1.1","1.2","0.8",,,,,,,,,,,,
