Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQC,DayAirTmpMaxQC,DayAirTmpAvgQC,DayDewPntQC,DayEtoQC,DayAsceEtoQC,DayPrecipQC,DaySolRadAvgQC,DaySolRadNetQC,DayWindSpdAvgQC,DayVapPresMaxQC,DayVapPresMinQC
"139","2014-10-01","11.8","28.7","21.6","0.2",,,"0","219",,"2.1","0.9","0.4",,,,,,,,,,,,
"139","2014-10-02","7.5","30.2","18.8","4.2",,,"0","202",,"1.1","1.3","0.5",,,,,,,,,,,,
"139","2014-10-03","12.3","32.5","21.5","5.6",,,"0","198",,"1","1.4","0.6",,,,,,,,,,,,
"139","2014-10-04","10.9","33.8","20.8","7.8",,,"0","195",,"0.9","1.7","0.6",,,,,,,,,,,,
"139","2014-10-05","10.5","34.1","21.3","9.1",,,"0","195",,"0.8","1.9","0.7",,,,,,,,,,,,
"139","2014-10-06","10.4","33.3","20.5","10.4",,,"0","177",,"0.7","2","0.8",,,,,,,,,,,,
"139","2014-10-07","10.9","34.6","21.6","9",,,"0","180",,"0.8","1.9","0.8",,,,,,,,,,,,
"139","2014-10-08","12.4","33.2","22.6","7.4",,,"0","178",,"1.1","1.9","0.6",,,,,,,,,,,,
"139","2014-10-09","14.1","30.7","23.1","7.3",,,"0","182",,"1.2","1.6","0.8",,,,,,,,,,,,
"139","2014-10-10","0","29.6","23.9","9.6",,,"0","144",,"1","1.9",,,,,,,,,,,,,
"139","2014-10-11","9.9","31.4","18.9","9.6",,,"0","183",,"0.8","1.7","0.9",,,,,,,,,,,,
"139","2014-10-12","12.5","32.1","23.2","-3.3",,,"0","192",,"1.9","1.2","0.2",,,,,,,,,,,,
"139","2014-10-13","8.3","31.6","19.2","2.5",,,"0","182",,"1","1.4","0.5",,,,,,,,,,,,
"139","2014-10-14","9.5","21.1","16.7","9.6",,,"0","135",,"2.6","1.4","0.8",,,,,,,,,,,,
"139","2014-10-15","12","22.3","17.1","11.6",,,"2","121",,"1.4","1.7","1",,,,,,,,,,,,
"139","2014-10-16","8.9","23.6","15.6","7.9",,,"0","141",,"1","1.3","0.7",,,,,,,,,,,,
"139","2014-10-17","8.8","23.9","15.5","8.4",,,"0","135",,"1.1","1.4","0.9",,,,,,,,,,,,
"139","2014-10-18","9.9","27.3","17.2","10.7",,,"0","164",,"0.8","1.6","1.1",,,,,,,,,,,,
"139","2014-10-19","9.6","27.2","17.3","10.8",,,"0","164",,"1","1.7","1.1",,,,,,,,,,,,
"139","2014-10-20","9.6","22.2","16.6","9.8",,,"0","90",,"1.9","1.6","0.9",,,,,,,,,,,,
"139","2014-10-21","7.7","22.1","14.6","5.6",,,"0","161",,"1.3","1.1","0.7",,,,,,,,,,,,
"139","2014-10-22","8.2","24.3","16.5","7.8",,,"0","147",,"1","1.4","0.8",,,,,,,,,,,,
"139","2014-10-23","11.1","23.7","18","10.7",,,"0","104",,"1.1","1.6","1.2",,,,,,,,,,,,
"139","2014-10-24","8.1","25.6","15.9","9.4",,,"0","154",,"1.3","1.4","1",,,,,,,,,,,,
"139","2014-10-25","11.3","21.1","16.2","11.3",,,"1","116",,"2","1.6","1.2",,,,,,,,,,,,
"139","2014-10-26","9.2","21","15.1","5.4",,,"0","155",,"1.7","1.2","0.6",,,,,,,,,,,,
"139","2014-10-27","7.1","23.1","14.5","4",,,"0","147",,"1.2","1.1","0.6",,,,,,,,,,,,
"139","2014-10-28","6.7","25.1","14.8","5.7",,,"0","149",,"0.9","1.2","0.7",,,,,,,,,,,,
"139","2014-10-29","7.9","27.4","16.5","8.3",,,"0","144",,"0.8","1.6","0.9",,,,,,,,,,,,
"139","2014-10-30","9.3","23.9","16.1","8.9",,,"0","91",,"0.8","1.4","0.7",,,,,,,,,,,,
"139","2014-10-31","11.6","17.1","14.2","11.7",,,"7.7","23",,"0.9","1.6","1.3",,,,,,,,,,,,
"139","2014-11-01","7.6","19","12.7","7.1",,,"0.1","140",,"1.1","1.3","0.8",,,,,,,,,,,,
"139","2014-11-02","5.8","19.8","12","3.9",,,"0","145",,"1.3","1","0.5",,,,,,,,,,,,
"139","2014-11-03","4.3","20.9","11.1","4.3",,,"0","128",,"0.8","1.1","0.7",,,,,,,,,,,,
"139","2014-11-04","3","21.8","11.3","4.7",,,"0","129",,"0.9","1.1","0.7",,,,,,,,,,,,
"139","2014-11-05","5.3","23.5","13.2","7.4",,,"0","122",,"0.8","1.3","0.8",,,,,,,,,,,,
"139","2014-11-06","7","24.8","13.7","8.4",,,"0","122",,"0.7","1.5","0.9",,,,,,,,,,,,
"139","2014-11-07","7.8","24.7","15.3","8.4",,,"0","121",,"1","1.4","1",,,,,,,,,,,,
"139","2014-11-08","6.1","25.3","15.3","8",,,"0","119",,"1","1.3","0.9",,,,,,,,,,,,
"139","2014-11-09","6.6","25.3","15","8.2",,,"0","122",,"0.8","1.4","0.9",,,,,,,,,,,,
"139","2014-11-10","7.2","24.8","14.9","6.6",,,"0.3","122",,"1.2","1.2","0.7",,,,,,,,,,,,
"139","2014-11-11","6","19.5","13.2","7.7",,,"0","88",,"1.6","1.2","0.8",,,,,,,,,,,,
"139","2014-11-12","5.1","18.3","11.8","7.1",,,"0","86",,"0.7","1.2","0.8",,,,,,,,,,,,
"139","2014-11-13","11.1","17.7","13.5","11.6",,,"2.8","48",,"0.8","1.6","1.2",,,,,,,,,,,,
"139","2014-11-14","5.6","18.9","11.8","9.3",,,"0.2","107",,"0.8","1.4","0.8",,,,,,,,,,,,
"139","2014-11-15","5.8","18.7","11.2","8.6",,,"0.1","104",,"0.9","1.4","0.9",,,,,,,,,,,,
"139","2014-11-16","1.7","17.4","11.1","-3.4",,,"0","90",,"1.6","1","0.2",,,,,,,,,,,,
"139","2014-11-17","0","18.9","10","-3.8",,,"0","121",,"1.2","0.6",,,,,,,,,,,,,
"139","2014-11-18","-0.1","17.1","8.1","-0.3",,,"0","77",,"1","0.8","0.4",,,,,,,,,,,,
"139","2014-11-19","7.3","10.4","9.1","6.7",,,"3.6","32",,"0.9","1.1","0.7",,,,,,,,,,,,
"139","2014-11-20","9.4","11.9","10.7","9.3",,,"2.7","20",,"0.7","1.3","1.1",,,,,,,,,,,,
"139","2014-11-21","6","14.4","11","9.1",,,"0.3","57",,"0.9","1.3","0.9",,,,,,,,,,,,
"139","2014-11-22","7.5","21.3","13.4","10.2",,,"3.2","83",,"1.5","1.7","0.8",,,,,,,,,,,,
"139","2014-11-23","4.5","18.5","10.7","3.3",,,"0.1","103",,"1.2","1","0.5",,,,,,,,,,,,
"139","2014-11-24","2.4","20.4","9.5","1.8",,,"0","98",,"0.8","0.9","0.5",,,,,,,,,,,,
"139","2014-11-25","1.4","19.3","8.7","3.5",,,"0","97",,"0.9","1","0.6",,,,,,,,,,,,
"139","2014-11-26","4.3","19.8","10.5","5.4",,,"0","93",,"0.9","1.1","0.7",,,,,,,,,,,,
"139","2014-11-27","4.4","20.6","10.7","5.9",,,"0","98",,"0.9","1.2","0.7",,,,,,,,,,,,
"139","2014-11-28","-0.9","20.3","9.7","6.3",,,"2.4","89",,"0.8","1.4","0.5",,,,,,,,,,,,
"139","2014-11-29","10.6","13.9","12","10.8",,,"5.9","19",,"0.9","1.4","1.2",,,,,,,,,,,,
"139","2014-11-30","9.9","12.5","11.2","10",,,"8.3","17",,"0.9","1.3","1.1",,,,,,,,,,,,
"139","2014-12-01","10.4","16.7","12.7","10.2",,,"1","76",,"1.2","1.4","1.2",,,,,,,,,,,,
"139","2014-12-02","10.9","13.3","12.3","10.8",,,"1.2","16",,"1","1.4","1.1",,,,,,,,,,,,
"139","2014-12-03","12.5","16.7","14.2","12.5",,,"48.4","26",,"1.8","1.6","1.4",,,,,,,,,,,,
"139","2014-12-04","11.1","19.3","14.4","11.9",,,"2.3","65",,"1.1","1.7","1.2",,,,,,,,,,,,
"139","2014-12-05","10.3","17.2","13.7","12.2",,,"2.7","36",,"1.1","1.6","1.2",,,,,,,,,,,,
"139","2014-12-06","10.3","20.3","14.4","11.9",,,"1.5","76",,"1.1","1.6","1.1",,,,,,,,,,,,
"139","2014-12-07","8.7","16.3","12.3","10.4",,,"0.1","53",,"0.8","1.4","1.1",,,,,,,,,,,,
"139","2014-12-08","9.9","14.4","12.1","11.1",,,"0.2","31",,"0.8","1.5","1.1",,,,,,,,,,,,
"139","2014-12-09","11.6","15.5","13.6","12",,,"0.1","36",,"0.7","1.5","1.3",,,,,,,,,,,,
"139","2014-12-10","10.6","13.5","11.7","10.4",,,"0","13",,"1.5","1.4","1.2",,,,,,,,,,,,
"139","2014-12-11","8.7","14.1","11.5","9.9",,,"65.4","5",,"1.8","1.5","1",,,,,,,,,,,,
"139","2014-12-12","4.9","10.8","8.7","7.5",,,"6","34",,"0.8","1.2","0.8",,,,,,,,,,,,
"139","2014-12-13","2.6","13.6","8","6",,,"0.1","57",,"0.8","1.2","0.7",,,,,,,,,,,,
"139","2014-12-14","4.9","9.7","7.6","6",,,"0.9","24",,"0.8","1.1","0.8",,,,,,,,,,,,
"139","2014-12-15","7.8","9.3","8.5","7.3",,,"27.1","7",,"0.8","1.1","1",,,,,,,,,,,,
"139","2014-12-16","7.8","14","9.8","8.2",,,"13","47",,"1.2","1.3","1",,,,,,,,,,,,
"139","2014-12-17","7.4","14.4","10.2","7.6",,,"4","42",,"1.4","1.2","0.9",,,,,,,,,,,,
"139","2014-12-18","8.7","12.1","9.9","8.4",,,"1.1","29",,"0.7","1.2","1",,,,,,,,,,,,
"139","2014-12-19","9.2","10.7","10.2","9.1",,,"12.8","13",,"1.3","1.2","1.1",,,,,,,,,,,,
"139","2014-12-20","10.4","13.4","11.8","10.6",,,"0","25",,"1.4","1.4","1.2",,,,,,,,,,,,
"139","2014-12-21","11.2","20.4","14.8","12.3",,,"0","76",,"1","1.7","1.3",,,,,,,,,,,,
"139","2014-12-22","8.7","20.1","13.3","11",,,"0.1","78",,"0.9","1.5","1.1",,,,,,,,,,,,
"139","2014-12-23","6.2","18.6","11.2","8.5",,,"0.1","89",,"0.9","1.4","0.9",,,,,,,,,,,,
