Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"6","2015-10-01","14.9","25.4","19","13.3","2.52","2.66","0.2","149","67","1.4","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-02","13.1","31.8","21.4","8.5","5.25","5.4","0.1","211","93","2.8","1.5","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-03","10.3","29.2","18.5","7.9","4.73","4.87","1.3","214","95","2.8","1.4","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-04","11.8","25.8","19","10.1","3.94","3.96","2.6","208","92","2.9","1.4","0.9"," "," "," "," "," "," ","H"," "," "," "," "," "
"6","2015-10-05","10.7","26.8","19.1","11.3","3.52","3.68","0.4","203","92","1.8","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-06","12.7","27.6","19.6","12.6","3.56","3.67","0","199","90","2","1.7","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-07","11.8","28.9","20.1","12.4","3.15","3.16","0.2","181","80","1.3","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-08","14.3","31.2","22.4","12.7","3.14","3.17","0","163","75","1.1","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-09","12.1","32.9","21.8","10.5","3.84","4","0","200","85","1.3","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-10","11.9","31.8","20.7","13.7","3.95","4.19","0","195","85","2.2","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-11","12.2","32.5","21.4","11","3.63","3.64","0","194","82","1.4","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-12","12.2","33.6","21.8","9.5","3.82","3.86","0","191","79","1.4","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-13","14.4","36.6","24.1","8","4.03","4.06","0","185","76","1.4","1.5","0.9"," ","Y","Y","Y"," "," "," "," ","Y"," "," "," "
"6","2015-10-14","14.5","33.8","23.8","8.5","3.92","4.1","0","172","69","1.6","1.5","0.9"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"6","2015-10-15","16.7","30.8","22.3","9.8","3.24","3.46","0","144","57","1.7","1.5","0.9","Y"," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-16","16.4","31.3","22.2","11.5","3.39","3.68","0","166","66","2.1","1.6","1.1","Y"," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-17","13.3","25.6","19.2","11.6","2.29","2.72","0","107","33","2.5","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-18","9","23.6","16","11.9","2.1","2.23","0","136","47","1.6","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-19","10.9","24.7","17.7","11.5","2.67","2.74","0.1","164","69","1.8","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-20","15.2","28.6","21.4","6.2","5.75","6.13","0","179","64","4.9","1.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-21","14.2","29","20.9","5","4.4","4.81","0","179","63","2.8","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-22","9.6","27.8","18.7","7.3","3.35","3.62","0","169","63","1.8","1.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-23","9.7","27.2","18.4","6.4","2.42","2.52","0","140","45","0.9","1.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-24","9.7","27.6","17.7","7.8","2.35","2.5","0","136","50","1.1","1.3","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-25","13","27.7","18.6","8.9","3","3.31","0","151","57","1.9","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-26","7.8","26.5","15.9","9.6","2.25","2.28","0","153","60","1.1","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-27","12.9","22.1","17.7","7.6","1.57","1.93","0","56","1","1.8","1.2","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-28","13.3","23.2","19.1","10","2.2","2.46","0","144","42","2","1.5","1.1"," "," "," "," "," "," ","R"," "," "," "," "," "
"6","2015-10-29","12.1","25.7","19.1","5.3","5.25","5.56","0","169","55","5.2","1.2","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-10-30","13.4","29.6","20.6","3.4","4.3","4.61","0","163","48","3.1","1","0.5"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"6","2015-10-31","10.4","29.3","19.1","8.9","3.46","3.96","0","157","52","2.9","1.4","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-01","14.1","20","17.1","14.1","0.68","0.89","8","49","4","2.2","1.9","1.3","Y"," "," ","Y"," "," "," "," ","Y"," "," "," "
"6","2015-11-02","10.2","17.1","13.2","11.3","0.58","0.65","13.7","52","6","1.8","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-03","6.7","18.1","12.4","4.4","2.84","2.78","0","159","53","2.8","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-04","6.8","17.2","12.2","0.1","3.82","3.65","0","160","49","4.6","0.7","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-05","2.9","18.7","9.9","2.7","1.87","1.86","0","140","51","1","0.9","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-06","3.2","20","11.8","3.2","2.31","2.32","0","153","49","1.5","0.9","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-07","3.4","20","11.2","5.1","1.98","1.96","0","144","47","1.2","1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-08","7","14.7","10.9","9.5","0.58","0.65","2.6","59","11","2.4","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-09","8.1","11.9","9.8","7.8","0.39","0.48","9","41","-3","2.8","1.2","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-10","4.8","14.7","9.6","6.3","1.83","1.73","0.1","141","44","2.4","1.1","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-11","1.7","14.7","7.6","4.9","1.68","1.57","0.1","141","46","1.3","1.1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-12","1.5","17.2","8.7","4.7","1.98","1.89","0","141","45","1.7","1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-13","2.1","18.4","9.6","5.6","1.69","1.7","0.1","136","43","0.9","1.1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-14","2.8","18.2","10.4","6.9","1.66","1.78","0","133","42","1.6","1.2","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-15","5","16.8","11.5","5.7","2.32","2.2","2.9","118","40","3.6","1.4","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-16","6","15","11.4","-3.6","3.4","3.28","0","156","34","4.3","0.6","0.4"," "," "," "," "," "," "," ","R","R"," ","Y"," "
"6","2015-11-17","4.7","17.2","9.9","2.1","1.71","1.78","0","128","35","1.4","0.9","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-18","2.5","17.4","9.5","5.6","1.58","1.67","0","123","32","1.4","1.2","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-19","3.1","19.4","11.2","7.1","1.65","1.7","0","127","37","1.1","1.2","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-20","5.4","23.1","13.6","7.9","2.26","2.33","0","128","37","2","1.3","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-21","4.8","20.7","11.9","6.2","1.98","2.07","0","120","35","1.6","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-22","3.9","19.4","11.2","6.4","1.58","1.7","0","116","34","1.1","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-23","5.6","19.4","11.5","7","1.57","1.74","0","115","30","1.8","1.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-24","6.6","15.3","10.7","5.2","1.34","1.47","0.3","67","5","3.5","1.3","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-25","1.5","12.1","6","0.3","1.65","1.64","0","124","35","2.2","0.7","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-26","1.2","12.4","7.2","-4.3","2.97","2.72","0","125","28","5","0.5","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2015-11-27","5","13.3","8.1","-7.2","3.54","3.23","0","127","24","5.4","0.4","0.3"," "," "," "," "," "," "," "," "," "," ","Y"," "
