Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"121","2015-10-01","10.9","25.3","16.7","13.2","2.31","2.45","0.25","145","68","1.1","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-02","11.6","31.8","20.3","9.9","5.05","5.3","0","220","97","2.7","1.6","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-03","9.6","27.5","17.5","9.8","4.59","4.63","0.25","219","96","3.2","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-04","10.4","24.9","18","10.8","3.43","3.54","0.25","201","87","2.5","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-05","9.3","26.5","18.1","12","3.52","3.66","0","207","93","2.6","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-06","10.3","26.7","18.6","13","3.38","3.54","0","201","90","2.1","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-07","11","28.5","19.2","13.2","3.08","3.16","0","185","82","1.6","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-08","11.9","30.4","21.1","13.5","3.05","3.14","0","169","78","1.1","1.9","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-09","10.4","32.5","20.1","11.5","3.7","3.91","0","207","87","1.6","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-10","7.8","29.3","18.1","13.9","3.9","3.98","0","200","90","3.2","2.2","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-11","8.6","31.4","19.5","12.2","3.51","3.65","0","200","85","1.6","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-12","11.3","34.4","21.4","10.9","3.78","3.88","0","197","81","1.5","2","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-13","13.1","38.6","23.5","9.5","4.04","4.22","0","190","78","1.8","1.7","0.9"," ","Y","Y","Y","R","R"," "," ","Y"," "," "," "
"121","2015-10-14","14.4","32.4","23.2","10","4.13","4.45","0","183","75","2.2","1.7","0.9"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"121","2015-10-15","15","30.3","21.2","11.9","3.07","3.59","0","153","55","2.6","1.7","1","Y"," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-16","14.8","30.6","21","12.7","3.36","3.59","0","176","75","2.7","1.8","1.2","Y"," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-17","12.4","24.5","18","13.2","2.61","2.84","0","123","43","4.7","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-18","6.7","23.2","15","12.2","1.71","1.96","0","120","32","2.1","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-19","8.3","24.6","15.8","11.8","2.37","2.44","0","157","69","1.6","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-20","15","28.4","21.2","6.6","5.32","5.76","0","184","64","4.4","1.3","0.8","Y"," ","Y","Y"," "," "," "," ","Y"," "," "," "
"121","2015-10-21","0","29.3","21.4","6.9","3.76","4.34","0","262",,"2.5","1.2",,"Y"," ","Y","Y","H","H","H","R","H","H"," ","S"
"121","2015-10-22","8.4","27.6","17.5","8.3","3.18","3.39","0","173","65","1.7","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-23","7.7","26.6","16.8","8.2","2.33","2.49","0","141","51","1.1","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"121","2015-10-24","7.7","26.6","16.3","9.3","2.17","2.38","0","139","52","1.1","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
