Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"212","2015-10-01",,,,,"4.43","4.46","0.1","137",,"2.2","0","0","S","S","S","Q","H","H"," "," ","R"," ","R","R"
"212","2015-10-02",,,,,"4.34","4.38","0","202",,"2.5","0","0","S","S","S","Q","H","H"," "," ","R"," ","R","R"
"212","2015-10-03",,,,,"4.28","4.34","1.8","204",,"3.8","0","0","S","S","S","Q","H","H"," "," ","H"," ","R","R"
"212","2015-10-04",,,,,"4.24","4.29","0.5","199",,"2.2","0","0","S","S","S","Q","H","H"," "," ","H"," ","R","Y"
"212","2015-10-05",,,,,"3.68","3.71","0","199",,"2.5",,"0","S","S","S","Q","R","R"," "," ","H"," ","S","Y"
"212","2015-10-06",,,,,"4.14","4.2","0","192",,"3.5","0.1","0","S","S","S","Q","H","H"," "," ","H"," ","R","Y"
"212","2015-10-07",,,,,"4.07","4.14","0","188",,"2.5","0","0","S","S","S","Q","H","H"," "," ","H"," ","R","Y"
"212","2015-10-08",,,,,"4.12","4.1","0","166",,"1.6","0","0","S","S","S","Q","H","H"," "," ","H"," ","R","Y"
"212","2015-10-09",,,,,"3.89","4.06","0","197",,"2.9","0","0","S","S","S","Q","H","H"," "," ","H"," ","R","Y"
"212","2015-10-10",,,,,"3.95","4.02","0","178",,"4.2",,,"S","S","S","Q","H","H"," "," ","H"," ","S","S"
"212","2015-10-11",,,,,"3.78","3.97","0","0",,"2.2","0",,"S","S","S","Q","H","H"," ","R","H"," ","R","S"
"212","2015-10-12",,,,,"3.55","3.89","0","0",,"1.6","0",,"S","S","S","Q","H","H"," ","R","H"," ","R","S"
"212","2015-10-13",,,,,"3.71","3.84","0","0",,"2.1","0",,"S","S","S","Q","H","H"," ","R","H"," ","R","S"
"212","2015-10-14",,,,,"3.64","3.81","0","0",,"3.5","0",,"S","S","S","Q","H","H"," ","R","H"," ","R","S"
"212","2015-10-15",,,,,"3.47","3.78","0","0",,"3.5","0",,"S","S","S","Q","H","H"," ","R","H"," ","R","S"
"212","2015-10-16",,,,,"3.65","3.76","0","0",,"3.4","0",,"S","S","S","Q","H","H"," ","R","H"," ","R","S"
"212","2015-10-17",,,,,"3.39","3.69","0","0",,"5.9",,,"S","S","S","Q","H","H"," ","R","H"," ","S","S"
"212","2015-10-18",,,,,"3.67","3.64","0","0",,"3.6",,,"S","S","S","Q","H","H"," ","R","H"," ","S","S"
"212","2015-10-19",,,,,"2.83","2.83",,,,,,,"M","M","M","M","A","A","M","M","M","M","M","M"
"212","2015-10-20",,,,,"3.32",,"0.1","0",,"1.1",,,"S","S","S","Q","H","N","H","R","H","H","S","S"
"212","2015-10-21",,,,,"3.27",,"0","250",,"2.1",,,"S","S","S","Q","H","N","R","R","H","H","S","S"
"212","2015-10-22","0","30.7","20.4","10.4","2.88","3.07","0","96",,"1.5","1.6",,"Y"," ","Y","Y","H","H"," "," ","H"," "," ","S"
"212","2015-10-23","9.8","27.9","18.1","10.6","2.12","2.35","0","127","45","1.2","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2015-10-24","7.7","27.9","16.4","10.9","1.97","2.21","0","129","47","1.2","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2015-10-25","13.8","26.6","18.3","12.6","3.06","3.34","0","139","53","4","1.8","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2015-10-26","6.1","28.3","15.8","13.2","2.31","2.36","0.1","162","66","1.4","2.8","0.9"," "," "," "," ","R","R"," "," "," "," ","R"," "
"212","2015-10-27","10.7","21.4","16.3","13.8","0.68","1.04","0","54","0","1.5","2","1.3"," "," "," "," ","R","R"," "," "," "," "," "," "
"212","2015-10-28",,,,,"2.44","2.44",,,,,,,"M","M","M","M","A","A","M","M","M","M","M","M"
"212","2015-10-29","0","27.6","21.5",,"3.31","3.99","0","209",,"3.3","1.5",,"Y"," ","R","I"," "," ","H","R","H","H"," ","S"
"212","2015-10-30","11.7","32.8","20.6","7.6","3.39","3.87","0","156","51","2.1","1.6","0.6"," ","Y","Y","Y","R","R"," "," ","Y"," "," "," "
"212","2015-10-31","11.2","30.4","18.6","13.7","2.79","3.16","0","152","53","3.2","2.1","1.2"," ","Y","Y","Y"," "," "," "," ","Y"," ","Y"," "
