Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"70","2015-10-01","15.5","24.1","18.7","16.4","2.06","2.22","4.4","144","65","1.3","2.2","1.7"," "," "," ","Y"," "," "," "," ","Y"," "," ","Y"
"70","2015-10-02","12.1","29.6","20.1","12.9","4.17","4.2","0","221","101","2","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-03","10.5","29.6","18","10.8","4.24","4.37","0","223","99","2.4","1.8","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-04","9.1","25.6","16.8","10","3.66","3.59","0","215","98","1.7","1.4","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-05","9.9","27.8","18.2","12.3","3.33","3.31","0","211","96","1.1","1.7","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-06","11","27.3","19.1","14.1","3.31","3.3","0","204","95","1.2","2","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-07","11.4","29.1","20","14.5","3.31","3.37","0","199","91","1","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-08","12.8","31.4","21.7","15.1","3.08","3.18","0","177","82","1","2.1","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-09","12.9","31.5","21.9","11.3","4.01","4.19","0","210","90","1.4","1.7","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-10","10.7","31.5","20.6","13.2","3.83","4.06","0","204","89","1.7","1.9","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-11","10.6","30.3","20.1","13.5","3.63","3.73","0","203","88","1.4","1.9","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-12","10.7","33.1","20.8","13.6","3.54","3.67","0","201","86","1","1.9","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-13","12.3","34.6","23.1","12.6","3.79","3.95","0","193","83","1.1","1.9","1.1"," ","Y","Y","Y"," "," "," "," ","Y"," "," "," "
"70","2015-10-14","13.2","32.6","23.2","9.6","3.51","3.68","0","163","68","1.4","1.8","0.6"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"70","2015-10-15","16.4","30.5","22.6","11.9","2.74","3.01","0","119","43","1.6","1.8","0.8","Y"," ","Y","Y"," "," "," "," ","Y"," "," "," "
"70","2015-10-16","16.8","29.7","22.4","15.1","3.39","3.57","0.1","185","79","1.8","2","1.5","Y"," ","Y","Y"," "," "," "," ","Y"," "," ","Y"
"70","2015-10-17","14.7","24.4","18.8","14.1","2.07","2.46","0","121","41","2.7","1.8","1.4","Y"," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-18","11.4","24.1","17.2","13.1","2.42","2.66","0","145","51","2.3","1.7","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-19","9.2","24.2","17","12.5","2.93","2.97","0","181","74","1.8","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-20","10.2","28.1","18.8","9.7","3.52","3.8","0","187","72","2.2","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-21","6.4","27.5","16.1","9.1","2.93","3.06","0","185","71","1.1","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-22","10.7","27.8","18","9.3","3.01","3.19","0","176","70","1.3","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-23","9.1","27.6","17.2","10.1","2.53","2.68","0","157","64","0.9","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-24","7.5","28","16.8","10.6","2.39","2.53","0","148","63","0.9","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-25","10.9","26.9","17.6","11.6","2.58","2.88","0","149","56","1.4","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-26","6.5","27.5","16","11.2","2.6","2.74","0","173","66","0.9","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-27","16.3","21.8","18.5","11.4","1.06","1.41","0","30","11","1.4","1.5","1.2","R"," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-28","13.3","23.7","17.9","13.8","2.13","2.4","0","143","50","1.7","1.9","1.3","Y"," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-29","11.3","25.6","17.6","8","3.57","3.92","0","168","58","2.7","1.6","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-30","7.4","28","18","6.1","3.08","3.45","0","166","55","1.9","1.1","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-10-31","11.9","28.5","18.7","11.3","2.69","2.94","0","161","57","1.6","1.8","1.1"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"70","2015-11-01","11.1","24.9","18.8","14.5","2.57","2.71","0","156","56","2","2.1","1.3"," "," ","Y","Y"," "," "," "," ","Y"," "," ","Y"
"70","2015-11-02","10.2","17.7","13.3","12.2","0.41","0.5","29.4","40","-2","2.3","2","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-11-03","8","17.8","12.2","7.1","2.37","2.35","0","165","57","1.9","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-11-04","5","18.6","11.5","1.9","2.86","3.03","0","166","51","2.6","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-11-05","2.8","18.6","9.6","4.3","1.96","1.95","0","144","51","1.1","1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"70","2015-11-06","4.3","19.1","10.2","4.6","2.25","2.25","0","161","53","1.3","1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
