Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"191","2015-10-01","15","25.7","18.9","13.1","2.75","2.8","0","147","71","1.7","1.7","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-02","10.9","28.8","19.1","10.4","4.12","4.01","0","204","108","1.3","1.6","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-03","9.3","28.4","16","8.9","3.86","3.68","0","208","108","1.6","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-04","8.4","28.2","17.3","7.7","3.8","3.65","0","198","102","1.2","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-05","10.4","26.6","18","9.8","3.71","3.59","0","195","101","1.4","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-06","11.3","27.4","18","11.7","3.54","3.45","0","193","100","1.3","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-07","11","30.1","19.6","11.6","3.66","3.61","0","190","98","1.2","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-08","13.5","33.5","22.8","9.9","3.88","3.74","0","181","90","1.1","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-09","12.6","32.5","21","9.1","4.17","4.12","0","196","97","1.4","1.5","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-10","10.6","28.3","18.3","12.5","3.53","3.45","0","193","99","1.4","1.9","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-11","10.8","31.3","20","11.4","3.68","3.66","0","191","95","1.2","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-12","10.9","34.3","21.4","10.5","3.81","3.73","0","190","94","0.9","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-13","12.8","37.5","23.2","9.2","4.03","3.95","0","181","89","1","1.5","0.7"," ","Y","Y","Y"," "," "," "," ","Y"," "," "," "
"191","2015-10-14","14.5","31.9","22.6","7.2","3.88","3.82","0","160","74","1.2","1.4","0.5"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"191","2015-10-15","16","28.6","20.9","11.4","2.51","2.59","0","105","46","1.4","1.6","0.8","Y"," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-16","15.5","30.8","20.1","13","2.91","2.87","0","152","74","1.3","1.7","1.2","Y"," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-17","15.5","22","17.7","12.6","1.53","1.67","0","84","29","1.9","1.7","1.4","Y"," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-18","12.2","21.6","17.2","12.1","2.56","2.55","0","151","67","1.8","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-19","12.8","23.1","17.8","12.6","2.47","2.53","0","147","65","1.5","1.6","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-20","9.1","27.8","17.7","8","3.51","3.6","0","177","79","1.4","1.5","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-21","8.1","30","17.7","6","3.41","3.45","0","178","76","1.2","1.2","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-22","8.8","28.8","17.4","7.7","2.98","2.94","0","172","74","0.9","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-23","9.3","29.6","18","8.4","2.62","2.56","0","143","63","0.8","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-24","8.5","29.8","17.9","8.2","2.63","2.63","0","141","60","0.9","1.4","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-25","11.1","25.1","17.2","10.7","2.77","2.78","0","155","69","1.5","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-26","10.4","28.8","17.3","10.1","2.72","2.72","0","163","72","1","1.7","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-27","12.6","21.3","17","10.6","1.06","1.18","0","58","10","1.1","1.5","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-28","11.7","22.7","16.7","11.9","1.91","2.06","0","119","41","1.6","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-29","7.9","25.6","15.8","7.9","3.17","3.24","0","164","65","1.7","1.4","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-30","6","29.4","16.8","5.3","3.1","3.14","0","162","61","1.1","1.2","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-10-31","8.2","31.3","18.3","8.4","3.04","3.17","0","158","61","1.2","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-01","11.5","24.9","18.1","13","2.24","2.33","1.2","136","57","1.5","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-02","8.5","18","13.1","10.3","1.03","1.11","35","74","20","1.7","1.8","1"," "," "," "," "," "," "," "," "," "," ","Y"," "
"191","2015-11-03","5.3","19.5","11.8","5.1","2.45","2.41","0","157","58","1.4","1.2","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-04","3.8","18.1","10.6","0.3","2.88","2.87","0","158","54","1.7","0.9","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-05","1.9","21","9.8","1.8","2.17","2.2","0","143","52","0.9","0.9","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-06","1.9","22","10.5","2.3","2.25","2.2","0","151","53","0.8","1","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-07","1.9","20.4","10.5","3.7","2.23","2.22","0","149","53","0.9","1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-08","3.6","16.5","10.4","7.3","0.71","0.86","0.4","59","8","1.2","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-09","6.3","13.7","10.2","6.7","0.87","0.87","12.3","62","15","1.7","1.2","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-10","2.9","16.2","8.9","4.5","1.6","1.58","0","117","43","1","1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-11","0.7","17.5","8.2","3.3","1.97","1.95","0","144","52","0.9","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-12","0.7","18.3","8.3","3","1.97","1.96","0","141","50","0.9","0.9","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-13","1","19.1","8.9","3.9","2.04","2.04","0","138","50","1","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-14","1.2","22.3","10","4.9","1.95","1.99","0","137","49","0.9","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-15","7.3","14.9","11.8","5.2","2.22","2.09","9.8","107","37","3.5","1.2","0.6"," "," "," "," "," "," "," "," "," ","R"," "," "
"191","2015-11-16","0.7","16","8.1","-3.6","2.63","2.64","0","138","43","2.1","0.7","0.2"," "," "," ","Y"," "," "," "," ","Y"," ","Y","Y"
"191","2015-11-17","1.3","19.7","9.1","3.6","1.68","1.72","0","121","42","0.9","1.2","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-18","3","21.8","10.7","7.6","1.68","1.73","0.1","124","45","1","1.4","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-19","7.2","23.2","13.7","7.9","1.75","1.78","0","62","44","0.7","1.2","0.9"," "," "," "," "," "," ","R"," "," "," "," "," "
"191","2015-11-20","4.9","23.5","12.3","7.2","1.9","1.97","0","123","44","0.9","1.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-21","4","20.1","11.4","7.2","1.93","1.98","0","123","43","1.3","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-22","3.1","20.8","10.8","7.3","1.56","1.65","0","110","40","0.9","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-23","4.6","17.9","9.7","7.1","1.54","1.54","0.1","118","40","1.4","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-24","7.9","14","11","6","1.27","1.37","5.1","78","16","2.6","1.3","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-25","0.5","13","6.5","2.4","1.23","1.28","1.1","107","30","1.2","0.9","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-26","-1.2","12","4.3","-2.3","1.62","1.61","0","124","36","1.4","0.7","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-27","-1.3","14.1","5","-4.3","1.73","1.79","0","126","34","1.3","0.5","0.3"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-28","-3.5","12.8","3.5","-4.3","1.74","1.78","0","127","33","1.3","0.6","0.3"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-29","-3.8","14.1","3.7","-3.7","1.59","1.64","0","125","34","1","0.6","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-11-30","-3.2","9.7","3.8","-0.1","0.5","0.65","0.8","51","1","0.9","0.8","0.4"," ","Y"," "," "," "," "," "," "," "," "," "," "
"191","2015-12-01","-0.3","15.4","6.8","0.2","1.67","1.65","0","121","34","1","0.8","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-02","1.9","13.7","7.5","1.9","0.97","1.05","0","63","16","0.9","0.8","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-03","2","18.1","8.5","5.6","0.85","0.84","10.2","45","5","2.1","1.3","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-04","1.6","16.3","7.3","4.8","0.94","0.96","0.1","80","23","0.7","1.2","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-05","0.6","12.8","6.3","4.5","0.65","0.7","0.1","62","17","0.8","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-06","3.2","21.1","11.8","7.9","1.22","1.3","0.1","79","28","1","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-07","8.3","18.4","12.7","10","1.1","1.14","0","81","29","1.1","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-08","6.5","17.6","11.8","9.8","0.72","0.85","0","57","15","0.9","1.4","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-09","8.7","20.7","14.6","10.9","1.13","1.17","0","74","22","1.1","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-10","8.7","16.5","13.4","9.1","1.34","1.35","23.2","69","22","3.1","1.5","0.9"," "," "," "," "," "," "," "," "," ","Y"," "," "
"191","2015-12-11","5.8","14","9.8","5.3","1.49","1.44","2.7","102","36","1.9","1","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-12","2.3","15.6","9.6","4.6","1.38","1.36","0","98","28","1.3","1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-13","6.5","13.8","10.6","5.1","1.25","1.21","16.2","42","2","3.8","1.2","0.6"," "," "," "," "," "," "," "," "," ","R"," "," "
"191","2015-12-14","1.7","12.9","6.9","-0.3","1.71","1.68","0","112","29","1.6","0.7","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-15","-0.1","12.8","5.6","-2.6","1.92","1.91","0","116","28","1.9","0.6","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-16","-1.6","13.7","5.2","-1.1","1.42","1.42","0","109","28","1","0.7","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-17","-0.2","16.5","6.3","2.1","1.2","1.22","0","97","27","0.8","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-18","0.7","16.5","9.1","5.4","1.53","1.5","1.8","99","35","1.7","1.2","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-19","3.6","13.9","9.4","6","1.19","1.2","2.3","89","28","1.5","1.2","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-20","0.9","12.9","7.5","4.9","0.82","0.86","1.8","56","13","2","1.2","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-21","10.8","14.5","13.1","11","0.48","0.56","27.8","34","-1","2.9","1.5","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2015-12-22","10.1","15.5","13.6","10.5","1.38","1.28","14.9","73","25","4.2","1.5","0.8"," "," "," "," "," "," "," "," "," ","Y"," "," "
