Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"167","2015-10-01","15.5","24.3","19.1","15","1.84","2.17","5","114","43","1.9","1.9","1.5"," "," "," ","Y"," "," "," "," ","Y"," "," ","Y"
"167","2015-10-02","13.1","31.2","22.2","10.3","5.06","5.26","0","210","95","2.9","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-03","11.3","30.1","18.9","8.3","4.56","4.68","0","214","93","3","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-04","8.9","27.1","17.9","7.6","3.97","3.99","0","205","92","2.1","1.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-05","10","27.7","19.2","10.2","3.75","3.79","0","199","90","1.9","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-06","12.2","27.9","19.9","12.1","3.55","3.63","0","195","90","1.7","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-07","11.3","29.9","20.5","12","3.63","3.7","0","196","90","1.4","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-08","13.8","32","23.2","11.7","3.55","3.64","0","178","78","1.2","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-09","14.7","32.3","24","6.6","4.94","5.3","0","200","81","2.2","1.4","0.7"," "," "," "," ","R","R"," "," "," "," "," "," "
"167","2015-10-10","11.6","31.8","21.2","10.5","4.72","5.08","0","195","84","2.9","1.7","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-11","11.2","31.1","20.8","10.1","3.94","4.09","0","193","82","1.6","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-12","12.4","32.6","22.3","10","3.86","3.98","0","190","80","1.3","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-13","14.8","34.9","25.4","8.5","4.48","4.71","0","183","75","1.8","1.3","0.9"," ","Y","Y","Y"," "," "," "," ","Y"," "," "," "
"167","2015-10-14","15.7","33.1","25.2","7.4","4.2","4.38","0","160","65","1.8","1.3","0.7"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"167","2015-10-15","16.5","32.3","23.6","9.7","3.39","3.66","0","116","43","2.1","1.5","0.9","Y"," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-16","16.7","30.3","22.7","13.4","3.48","3.69","0","165","72","2","1.7","1.3","Y"," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-17","16.5","24.7","19.4","12.9","2.83","3.13","0","125","44","3.9","1.6","1.3","Y"," "," "," "," "," "," "," "," "," "," ","Y"
"167","2015-10-18","16","24.1","18.9","11.6","3.47","3.78","0","157","56","4.4","1.5","1.2","Y"," "," "," "," "," "," "," "," ","Y"," "," "
"167","2015-10-19","11.7","25.2","19.1","11.7","3.17","3.48","0","168","66","2.8","1.5","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-20","15.1","28.4","21.5","6.9","4.54","5.01","0","175","65","3.2","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-21","12.8","27.5","19.5","4.6","3.89","4.16","0","177","64","2.1","0.9","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-22","9.7","27.5","18.9","7","3.37","3.57","0","168","64","1.9","1.4","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-23","10.7","28.2","19.4","6.3","3.17","3.34","0","153","57","1.5","1.1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-24","9.7","27.5","17.8","7.6","2.52","2.56","0","139","55","1.1","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-25","11.3","28","18.9","8.8","3.34","3.71","0","149","57","2.2","1.5","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-26","8.7","26.5","16.9","8.9","2.62","2.69","0","162","62","1.1","1.4","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-27","0","22.5","19.8","10.1","1.26","1.59","0.2","44","5","1.5","1.5",,"Y"," "," "," "," "," "," "," "," "," "," ","S"
"167","2015-10-28","11.9","24","18.5","11.9","2.33","2.66","0","121","40","2.4","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-29","15.4","26.1","20","5.7","4.68","5.18","0","164","54","4.2","1.3","0.6","Y"," "," "," "," "," "," "," "," ","Y"," "," "
"167","2015-10-30","12.3","28.4","19.8","2.6","3.55","3.76","0","161","50","1.8","0.9","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-31","9.5","29","19.1","6.8","3.01","3.32","0","156","52","1.6","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-11-01","11","25.6","19.2","12.7","3.03","3.22","0","153","60","2.8","1.7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-11-02","10.8","19","13.3","10.5","0.59","0.72","29.9","36","-4","2.8","1.8","1"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-11-03","10.9","18","13.6","5.6","2.91","2.95","0","157","55","3.5","1.1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-11-04","9.6","17.6","13.1","-0.2","3.7","3.7","0","158","49","3.7","0.9","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
