Station,Date,DayAirTmpMinValue,DayAirTmpMaxValue,DayAirTmpAvgValue,DayDewPntValue,DayEtoValue,DayAsceEtoValue,DayPrecipValue,DaySolRadAvgValue,DaySolRadNetValue,DayWindSpdAvgValue,DayVapPresMaxValue,DayVapPresMinValue,DayAirTmpMinQc,DayAirTmpMaxQc,DayAirTmpAvgQc,DayDewPntQc,DayEtoQc,DayAsceEtoQc,DayPrecipQc,DaySolRadAvgQc,DaySolRadNetQc,DayWindSpdAvgQc,DayVapPresMaxQc,DayVapPresMinQc
"140","2015-10-01","14.9","25.3","19.1","14","2.26","2.7","0.4","132","47","2.4","1.9","1.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-02","14.3","30.5","21.3","11.3","4.99","5.23","0","224","99","3.3","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-03","9.6","29","18.3","10","4.33","4.54","0.7","226","97","2.6","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-04","10.2","25.2","17","10.2","3.48","3.44","0.7","213","95","1.8","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-05","10.9","26.5","18.4","11.8","3.71","3.81","0","212","96","2.4","1.6","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-06","11.8","26.8","19.2","12.8","3.74","3.8","0","205","94","2.7","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-07","13.7","29.9","20.5","13.5","3.77","3.91","0","213","97","2.4","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-08","11.9","31.2","21.6","13.1","3.35","3.43","0","180","82","1.4","1.9","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-09","15.8","30.9","22.4","10.4","4.68","5.21","0","215","84","3.1","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-10","10.6","28.8","19.9","14","4.15","4.23","0","208","89","3.3","2","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-11","15.2","30.7","21.2","13","3.64","3.87","0","202","86","2.5","1.8","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-12","9.7","31.9","20.5","12.7","3.57","3.71","0","203","85","1.3","1.8","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-13","12.3","33.5","23.3","10.6","4.34","4.58","0","195","81","2.1","1.7","0.7"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"140","2015-10-14","19.3","31.9","25.2","8.2","4.97","5.73","0","186","58","3.5","1.5","0.7","Y"," ","Y","Y"," "," "," "," ","Y"," "," "," "
"140","2015-10-15","14","28.5","21.4","11","3.11","3.38","0","121","46","2.4","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-16","14.3","29.8","20.7","13.1","3.56","3.81","0","182","77","3.2","1.7","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-17","15.5","23.3","18","13.2","2.68","2.84","0","122","41","5.5","1.8","1.3"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-18","14.6","23.5","17.8","12.5","2.71","3.07","0","153","52","4","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-19","13","24.5","17.7","12.4","2.79","3.01","0","180","67","2.8","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-20","13.9","27.7","20.7","8","4.72","5.14","0","189","68","3.7","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-21","8.4","27.8","18","7.7","3.48","3.81","0","189","68","2.1","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-22","9.1","26.6","17.6","10.3","3.06","3.22","0","178","71","1.7","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-23","9.4","27.2","18.3","9.4","2.75","2.93","0","159","61","1.5","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-24","6.8","27","16.6","10.8","2.13","2.31","0","143","54","1.2","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-25","13.2","24.8","18.1","11.3","3.25","3.4","0","160","62","3.3","1.7","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-26","6","26.6","16.1","11.3","2.45","2.58","0.1","170","65","1.3","1.8","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-27","14.7","21.6","18.2","9.3","1.21","1.56","0","58","4","2","1.3","1","Y"," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-28","11.8","22.8","17.2","12","2.23","2.61","0","141","36","2.5","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-29","12.8","25.8","19","6.4","4.47","4.94","0","176","55","4.1","1.4","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-10-30","11.1","28.9","19.3","6.2","3.35","3.73","0","170","54","2","1.3","0.7"," "," ","Y","Y"," "," "," "," ","Y"," "," "," "
"140","2015-10-31","9.8","28.7","18.1","10.4","2.93","3.32","0","164","56","2.6","1.6","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-01","13.8","23.8","18.6","13.6","2.66","2.88","6.5","140","48","4.2","1.9","1.3","Y"," ","Y","Y"," "," "," "," ","Y"," ","Y","Y"
"140","2015-11-02","9.9","16.2","12.8","10.7","0.47","0.65","14.2","47","-4","2.4","1.5","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-03","8.4","18.3","12.7","5.5","2.77","2.82","0","167","54","3.1","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-04","6.3","17.2","12.7","-0.1","3.82","3.86","0","169","44","4.6","0.7","0.5"," "," "," ","Y"," "," "," ","R","R"," ","Y"," "
"140","2015-11-05","2.2","17.9","10.2","2.8","1.98","2.03","0","144","51","1.5","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-06","4.3","21","11.3","4","2.31","2.35","0","162","50","1.5","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-07","3.8","19.9","10.3","6","1.95","1.9","0.1","152","51","1.3","1.1","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-08","4.7","16","10.9","9.2","0.59","0.83","0.5","60","8","1.8","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-09","6.1","14.4","10.2","7.2","0.86","0.93","9","61","7","3.2","1.1","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-10","4.7","14.8","9.9","6.2","1.68","1.64","0.3","127","42","2.2","1.1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-11","0.9","15.2","8.2","5.5","1.69","1.65","0.2","147","48","1.2","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-12","0.1","16.9","8.2","4.7","1.82","1.77","0.2","144","45","1.5","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-13","1.8","18.1","9.3","5.9","1.66","1.65","0.2","139","45","1.2","1.1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-14","2.8","17.9","9.5","6.6","1.49","1.53","0.3","125","43","1","1.3","0.7"," "," "," "," ","R","R"," "," "," "," "," "," "
"140","2015-11-15","6.3","16.1","11.4","5.6","2.6","2.28","3.5","116","39","4.7","1.3","0.6"," "," "," "," "," "," "," "," "," ","Y"," "," "
"140","2015-11-16","5.8","15.3","10.4","-2.9","3.49","3.44","0","146","33","4.7","0.7","0.4"," "," "," ","Y"," "," "," "," ","Y","Y","Y"," "
"140","2015-11-17","2.8","17","9.8","2.7","1.74","1.86","0","131","35","1.6","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-18","1","20","9.5","6.4","1.63","1.7","0","131","36","1.3","1.3","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-19","2.1","18.9","10.5","7.2","1.63","1.69","0.1","133","40","1.1","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-20","3.6","21.4","12.5","8.5","1.93","1.97","0","134","40","1.5","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-21","4.3","19.5","11","8","1.45","1.54","0.1","114","37","1.2","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-22","3.3","18.7","10.5","7.8","1.23","1.31","0.1","106","29","1","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-23","9.3","18.4","13.7","8.3","1.77","1.89","0","147","35","4","1.3","1"," "," "," "," "," "," ","R","R","R"," "," "," "
"140","2015-11-24","6.2","14","10.3","6.1","1.1","1.24","3","66","1","3.8","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-25","1.3","12.3","6.8","1.2","1.61","1.68","0","132","31","1.9","0.8","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-26","-0.1","12.1","6.3","-3","2.25","2.25","0","132","29","3.7","0.7","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-27","3.4","13.5","7.8","-6.2","3.03","2.99","0","134","23","4.6","0.5","0.3"," "," "," ","Y"," "," "," "," ","Y"," ","Y"," "
"140","2015-11-28","-2.4","12.9","5.4","-5.7","1.98","2.16","0","134","24","2.4","0.6","0.3"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-29","-2.8","13.7","4.5","-4.2","1.56","1.74","0","133","24","1.7","0.6","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-11-30","-2.7","10","4.4","-1.2","0.92","1.01","0","64","8","2","0.7","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-01","0.3","14.9","6.8","0.7","1.51","1.56","0","126","34","1.3","0.8","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-02","3.6","14.6","8.4","3.3","1.05","1.19","0","72","19","1.7","0.9","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-03","3","13.8","8.4","5.5","0.63","0.7","2.8","42","-2","2.7","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-04","0.9","16.4","8.3","5.6","1.41","1.45","0.1","122","33","1.3","1.2","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-05","0.1","10.6","5.7","4.6","0.45","0.58","0.1","59","10","1","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-06","5.6","18.5","11.7","8.5","1","1.12","0.1","74","19","2.1","1.5","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-07","9.7","17.2","12.4","10.4","0.78","0.91","0","67","15","1.8","1.5","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-08","7.6","12.1","10.5","10","0.09","0.18","0.2","30","-7","1.3","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-09","10.7","17.8","12.5","11.1","0.6","0.71","0.2","59","1","2.7","1.6","1.2"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-10","9.4","17.1","12.4","8.5","1.62","1.69","4.1","89","27","4.4","1.4","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-11","5.6","14.5","9.4","5.8","1.6","1.55","4.1","118","32","2.9","1.1","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-12","3.2","14.3","9.4","5.3","1.15","1.24","0","93","16","1.8","1.1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-13","5.1","13","9.5","5.3","1.34","1.18","7.8","58","2","5.9","1.2","0.7"," "," "," "," "," "," "," "," "," ","Y"," "," "
"140","2015-12-14","2","12.7","7.3","-0.2","2.02","2.09","0","122","22","3.5","0.7","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-15","3","12.7","7.4","-1.5","2.4","2.39","0","123","20","4.5","0.6","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-16","-2.8","10.9","4.4","0","1.16","1.2","0","119","23","1.3","0.8","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-17","0","12.9","6","2.3","1.21","1.23","0","100","22","1.6","0.9","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-18","0.9","12.9","7.6","3.4","1.5","1.47","1","93","21","3.1","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-19","3.3","13.5","8.7","6.7","1.03","1.08","3.6","87","18","2.3","1.2","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-20","1.5","10.8","6.9","4.6","0.7","0.66","5.4","44","3","3.7","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-21","7.9","9.8","8.8","7.4","0.23","0.27","9.4","19","-14","6.1","1.2","0.9"," "," "," "," "," "," "," "," "," ","Y"," "," "
"140","2015-12-22","9.4","17.2","13.3","10.4","1.71","1.65","1.8","95","24","6.1","1.6","0.9"," "," ","Y","Y"," "," "," "," ","Y","Y","Y"," "
"140","2015-12-23","5.3","14.1","8.9","2.8","1.66","1.77","0","112","25","3.4","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-24","4.3","11.6","7.5","4","1.06","1.04","2.7","61","11","4.1","1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-25","1.9","10.4","5.7","1.3","1.25","1.36","0","116","27","2.5","0.8","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-26","-0.9","11","5.2","-1.5","1.79","1.82","0","124","20","3.5","0.7","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-27","-2.6","6.8","2.4","0.8","0.44","0.55","0.1","62","3","1.5","0.8","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-28","0.8","9.3","5.1","1.7","1.13","1.11","1.4","108","28","2.2","0.8","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-29","-0.6","10.6","5","0","1.25","1.33","0","121","22","1.7","0.7","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-30","-1.9","9.4","4","1.1","0.9","0.91","0.2","81","21","2","0.8","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2015-12-31","-2.2","10.5","3.5","-0.6","1.1","1.1","0","109","23","1.9","0.8","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-01","-1.2","8.3","3.4","-4.5","1.44","1.44","0","99","23","2.5","0.6","0.3"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-02","1.4","9.1","4.8","-1.5","1.11","1.02","0","69","17","1.9","0.7","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-03","2.2","12.7","6.6","1.1","1.07","1.14","0","75","17","1.8","0.8","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-04","4.4","12","7.9","5.3","0.65","0.71","6.8","55","4","2.9","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-05","6.6","11.5","9.3","7.6","0.45","0.56","14.9","38","-4","4.6","1.3","0.9"," "," "," "," "," "," "," "," "," ","Y"," "," "
"140","2016-01-06","7.3","11.7","8.7","7.2","0.62","0.63","7.4","47","4","5.7","1.2","1"," "," "," "," "," "," "," "," "," ","R"," "," "
"140","2016-01-07","0.9","11","7.1","5.8","0.27","0.41","0","40","-6","1.3","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-08","-0.1","10","5.7","4.5","0.59","0.7","0.2","70","15","1.3","1.1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-09","6.6","12.7","8.9","6.9","0.73","0.83","2.2","52","8","3.8","1.1","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-10","5.9","12.5","9.1","7.6","0.48","0.6","0.1","53","7","2.2","1.2","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-11","5.3","14.3","9","6.9","0.94","1.03","0","87","21","1.7","1.1","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-12","3.7","12.3","7.8","6.8","0.76","0.76","0.2","78","22","2.7","1.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-13","6","16.4","10.6","7.8","1.3","1.33","3.1","90","15","4.7","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-14","3.3","11","8","6.4","0.43","0.53","3.1","42","0","2.9","1.1","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-15","4.8","12","9.1","7.5","0.93","0.92","2.8","95","18","2.5","1.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-16","8","14.7","10.8","9.6","0.45","0.56","4.9","43","1","3.1","1.4","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-17","9.6","13.2","11.4","10.2","0.13","0.22","14.9","19","-14","3.8","1.4","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-18","10","16.9","13.1","10.9","1.17","1.25","11.1","89","23","2.2","1.4","1.2"," "," "," "," "," "," "," "," "," "," "," ","Y"
"140","2016-01-19","7.9","17.2","12.3","11","0.53","0.64","17.8","44","-4","5","1.6","1"," "," "," "," "," "," "," "," "," "," ","Y"," "
"140","2016-01-20","5.4","15.7","9.9","8.5","1.11","1.18","0.2","103","31","1.6","1.4","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-21","8.2","15.7","11.3","10","0.86","0.91","0","68","18","2.8","1.4","1.1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-22","10.6","13.5","11.9","10.4","0.38","0.44","8.2","32","-5","4.2","1.3","1.2"," "," "," "," "," "," "," "," "," "," "," ","Y"
"140","2016-01-23","8.9","14.5","11.6","8.2","1.54","1.54","0.3","100","29","4.1","1.3","1"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-24","6.7","14.4","10.2","6.6","1.45","1.53","0","117","29","2.7","1.1","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-25","6.4","15.4","10.7","8.2","1.42","1.41","0","114","38","2.1","1.2","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-26","2.1","14.4","7.6","6.5","0.85","0.89","0.2","94","21","1.5","1.2","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-27","4.7","17.4","12.1","8.5","1.55","1.61","0","164","38","1.2","1.3","0.8"," "," "," "," "," "," "," ","R","R"," "," "," "
"140","2016-01-28","4.2","13.4","9.2","8","0.74","0.84","0.3","70","15","1.7","1.3","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-29","10.7","14.3","12.4","11.3","0.26","0.32","10.8","30","-6","3.3","1.5","1.2","Y"," "," ","Y"," "," "," "," ","Y"," "," ","Y"
"140","2016-01-30","8.8","15.2","11.4","7.5","1.78","1.71","0","120","47","3","1.3","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-01-31","7.2","13.6","9.5","1.6","2.81","2.21","0","117","45","4.6","1","0.4"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-01","3","13.1","8.1","-2.2","3.46","3.07","0","161","39","5.4","0.8","0.4"," "," "," "," "," "," "," "," "," ","Y"," "," "
"140","2016-02-02","3.7","9.7","6.5","3.6","0.72","0.86","0.5","61","9","2.9","0.9","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-03","0.8","11.9","6.9","4.4","1.23","1.26","0.2","110","38","1.7","1","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-04","5","13.8","8.7","5.8","1.8","1.68","0","144","49","2.7","1","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-05","1.1","16.4","8","5.6","1.61","1.65","0.2","147","51","1.3","1.2","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-06","3.3","17.9","10.2","6.3","1.94","2.09","0","163","42","1.7","1.2","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-07","3.5","18.2","10.8","7.5","2.03","2.08","0","166","55","1.8","1.3","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-08","3.6","21.5","12.4","8.5","2.23","2.37","0.2","169","54","1.4","1.4","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-09","4.7","21.6","12.4","9.2","2.06","2.11","0.1","152","55","1.7","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-10","4","20.7","11.6","8.8","1.81","1.93","0","141","40","1.5","1.5","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-11","5.4","20.4","12.3","9.8","1.77","1.86","0.1","139","52","1.3","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2016-02-12","5.8","20.8","13.4","10.6","2.09","2.18","0.1","160","60","1.6","1.6","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
