station,name,elevation,hms_lon,longitude,hms_lat,latitude
"1","Fresno/F.S.U. USDA","340","-119º43'54W","-119.731670","36º48'52N","36.814444"
"2","FivePoints","285","-120º6'46W","-120.112910","36º20'10N","36.336222"
"3","Beach /Santa Cruz CO","10","-121º47'36W","-121.793330","36º52'50N","36.880556"
"4","Webb /Santa Cruz CO","230","-121º43'34W","-121.726110","36º58'21N","36.9725"
"5","Shafter","360","-119º16'54W","-119.281790","35º31'57N","35.532556"
"6","Davis","60","-121º46'35W","-121.776360","38º32'8N","38.535694"
"7","Firebaugh/Telles","185","-120º35'27W","-120.590920","36º51'4N","36.851222"
"8","Gerber","250","-122º9'56W","-122.165510","40º2'39N","40.044053"
"9","Lamont","406","-118º53'40W","-118.894440","35º14'17N","35.238056"
"10","Bakersfield/Greenlee","400","-119º4'56W","-119.082130","35º4'37N","35.077083"
"11","Bakersfield/Bonanza","290","-119º10'51W","-119.180830","35º9'38N","35.160556"
"12","Durham","130","-121º49'28W","-121.824430","39º36'31N","39.608639"
"13","Camino","2780","-120º44'1W","-120.7336","38º45'11N","38.753136"
"14","Orland","235","-122º10'17W","-122.171390","39º44'22N","39.739444"
"15","Stratford","193","-119º51'5W","-119.851430","36º9'29N","36.157972"
"16","San Juan","44","-121º42'11W","-121.703060","36º54'17N","36.904722"
"17","El Centro","-86","-115º26'54W","-115.448330","32º50'47N","32.846389"
"18","Westmorland","-195","-115º36'50W","-115.613890","33º4'39N","33.0775"
"19","Castroville","9","-121º46'25W","-121.773640","36º46'5N","36.768167"
"20","Corcoran","190","-119º34'22W","-119.572780","36º2'25N","36.040278"
"21","Kettleman","340","-119º53'42W","-119.8949","35º52'4N","35.867750"
"22","Caruthers","238","-119º46'45W","-119.779170","36º29'25N","36.490278"
"23","King City","300","-121º7'2W","-121.117220","36º10'28N","36.174444"
"24","Thermal","-120","-116º6'43W","-116.111940","33º37'52N","33.631111"
"25","Rancho Mirage","240","-116º25'26W","-116.423890","33º45'52N","33.764444"
"26","Lost Hills","410","-119º41'23W","-119.689720","35º30'19N","35.505278"
"27","Zamora","50","-121º54'27W","-121.907540","38º48'32N","38.808758"
"28","Soledad","170","-121º21'51W","-121.364170","36º26'51N","36.4475"
"29","Cantua Creek","275","-120º18'52W","-120.314440","36º30'59N","36.516389"
