Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"47","2014-10-12","1000","25.5","2.1","0.59","286","0.62","0","22","6.7","18.5","547","0.7","342","6.9","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"47","2014-10-12","1100","27.5","1.1","0.69","356","0.72","0","18","6.4","18.6","656","0.7","339","6.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-10-12","1200","29.6","0.6","0.74","390","0.77","0","15","5.8","18.8","708","0.6","340","6","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"47","2014-10-28","1000","18.7","7.2","0.28","239","0.3","0","47","1.4","15.4","476","1","3","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-10-28","1100","20.3","7.4","0.36","306","0.37","0","43","1","15.6","573","1","348","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-10-28","1200","21.5","6.8","0.42","337","0.42","0","39","1.5","15.9","620","1","326","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-12-31","1000","8.5","-8.3","0.26","123","0.25","0","29","7.2","7","306","0.3","338","7.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-12-31","1100","9.8","-8.4","0.33","194","0.3","0","27","6.8","7","419","0.3","340","6.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2014-12-31","1200","11","-8.6","0.39","235","0.35","0","24","7.3","7","481","0.3","342","7.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2015-03-05","1000",,,"0.21","276","0.21","0",,"2","10.7","508","1.8","348","2.2","S","S","A","T","T"," ","S"," "," "," ","Q"," "," "
"47","2015-03-05","1100","23.1","13.4","0.44","360","0.44","0","54","2","10.9","641","1.5","349","2.2","R","R","R","R","R"," ","R"," "," "," "," "," "," "
"47","2015-03-05","1200","23.9","12.5","0.49","412","0.49","0","49","1.3","11.3","722","1.4","13","1.6","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"47","2015-03-21","1000","16.5","9","0.35","322","0.32","0","61","2.4","14.8","565","1.2","297","2.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2015-03-21","1100","21.6","9.4","0.52","411","0.49","0","46","3.4","15.1","694","1.2","302","3.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2015-03-21","1200","22.7","8.8","0.57","455","0.54","0","41","2.6","15.5","754","1.1","313","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"47","2015-04-22","1000",,,"0.44",,,"0",,"1.6","16.5","529","0","7","1.9","S","M","A","T","T"," ","M"," "," "," ","Q"," "," "
