Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"155","2014-09-01","0100","20.3","11.6",,,,"0","58","0.5","31.3","0","1.4","150","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","0200","19.6","11.4",,,,"0","59","0.4","30.6","0","1.3","145","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","0300","18.9","11.6",,,,"0","63","0.4","30","0","1.4","155","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","0400","18.1","12.4",,,,"0","69","0","29.4","0","1.4","72","0.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","0500","17.2","12.9",,,,"0","76","0.2","28.8","0","1.5","323","0.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","0600","17","12.8",,,,"0","77","0.2","28.3","5","1.5","27","0.4"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","0700","18.5","13.1",,,,"0","71","0.2","27.9","95","1.5","328","0.4"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","0800","19.8","13.4",,,,"0","66","0.4","27.6","289","1.5","319","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","0900","23","14",,,,"0","57","0.3","27.8","467","1.6","329","0.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","1000","25.6","13.6",,,,"0","47","0.3","28.7","630","1.6","332","0.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","1100","28.2","12.7",,,,"0","38","0.4","30.2","749","1.5","302","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","1200","30.5","11.2",,,,"0","30","0.7","31","812","1.3","293","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","1300","32.1","11.1",,,,"0","28","0.8","31.9","817","1.3","305","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","1400","34","10.2",,,,"0","23","1","33.7","769","1.2","297","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","1500","35.2","9.8",,,,"0","21","0.7","35.7","672","1.2","295","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","1600","35.7","9.8",,,,"0","21","0.4","37.4","504","1.2","276","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","1700","35.3","11.1",,,,"0","23","0.3","38.3","159","1.3","282","0.3"," "," ","N","N","N"," "," "," ","Y"," "," "," "," "
"155","2014-09-01","1800","34.4","11",,,,"0","24","0.4","38","51","1.3","193","0.7"," "," ","N","N","N"," "," "," ","Y"," "," "," "," "
"155","2014-09-01","1900","33","11.9",,,,"0","28","0.8","37.3","10","1.4","176","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","2000","30.1","11.8",,,,"0","32","1","36.5","0","1.4","183","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","2100","27.8","10.9",,,,"0","35","0.6","35.6","0","1.3","191","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","2200","25.9","10.5",,,,"0","38","0.8","34.7","0","1.3","178","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-09-01","2300","24.2","10.7",,,,"0","43","0.6","33.8","0","1.3","140","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
