Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"170","2014-09-01","0100","17.3","-0.8","0.03","-54","0.02","0","29","0.6","20.4","0","0.6","64","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","0200",,,"0","-59","0","0",,"0.5","20.4","0","0.3","60","0.6","S","S","A","T","T"," ","S"," "," "," ","Q"," "," "
"170","2014-09-01","0300",,,"0",,,"0",,"0.6","20.4","0",,"83","0.7","S","M","A","Q","N"," ","M"," "," "," ","S"," "," "
"170","2014-09-01","0400",,,"0",,,"0",,"0.4","20.3","0",,"78","0.5","S","M","A","Q","N"," ","M"," "," "," ","S"," "," "
"170","2014-09-01","0500",,,"0",,,"0",,"0.3","20.3","0","0.1","95","0.5","S","M","A","T","T"," ","M"," "," "," ","Q"," "," "
"170","2014-09-01","0600","13.8","-2.4","0.02","-50","0.01","0","33","0.3","20.2","5","0.5","85","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","0700","15.3","0.4","0.05","18","0.08","0","36","0.6","20.1","104","0.6","107","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","0800","19.3","5.6","0.19","155","0.19","0","41","0.5","20","306","0.9","158","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","0900","21.7","11.5","0.33","283","0.33","0","52","0.9","19.9","503","1.4","288","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1000","24.2","13.8","0.47","397","0.46","0","52","1","19.9","673","1.6","311","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1100","26.8","8.9","0.61","473","0.6","0","32","1.6","19.9","796","1.1","294","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1200","28.7","6.5","0.69","508","0.68","0","25","2","19.9","864","1","283","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1300","30.7","4.9","0.68","496","0.7","0","20","1.6","19.9","873","0.9","305","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1400","31.9","2.5","0.68","476","0.69","0","15","1.8","20","821","0.7","318","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1500","33.3","1","0.63","404","0.65","0","13","2.2","20.1","714","0.7","302","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1600","34.1","2.1","0.51","302","0.54","0","13","2.2","20.2","555","0.7","311","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1700","33.6","0.9","0.36","181","0.38","0","13","2.1","20.3","365","0.7","310","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1800","32.4","-2.4","0.22","68","0.24","0","11","2.1","20.4","168","0.5","302","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","1900","29.2","-3.7","0.1","-47","0.08","0","11","1.1","20.5","16","0.5","301","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","2000","25.4","6.9","0.04","-44","0.02","0","31","0.4","20.5","0","1","0","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","2100","22.8","10.3","0.03","-40","0.01","0","45","0.4","20.5","0","1.3","66","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","2200","20","10.2","0.01","-39","0","0","53","0.5","20.5","0","1.2","87","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","2300","18.5","4.5","0.02","-43","0.01","0.1","40","0.3","20.4","0","0.8","91","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-01","2400","18.3","-0.7","0.03","-47","0.02","0","28","0.4","20.4","0","0.6","21","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-02","0100","18.5","-0.3","0.04","-56","0.04","0","28","1.1","20.4","0","0.6","301","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-02","0200","16.1","2.4","0.01","-52","0.01","0","40","0.2","20.4","0","0.7","334","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-02","0300",,,"0",,,"0",,"0.4","20.4","0",,"322","0.6","S","M","A","Q","N"," ","M"," "," "," ","S"," "," "
"170","2014-09-02","0400",,,"0",,,"0",,"0.9","20.4","0",,"339","0.9","S","M","A","Q","N"," ","M"," "," "," ","S"," "," "
"170","2014-09-02","0500",,,"0","-52","0","0",,"0.5","20.3","0","0.7","351","0.8","S","S","A","T","T"," ","S"," "," "," ","Q"," "," "
"170","2014-09-02","0600","16","13.5","0","-39","0","0","85","1","20.2","4","1.5","303","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-02","0700","16.8","11.4","0.05","30","0.08","0","70","1.5","20.2","112","1.4","278","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-02","0800","18.8","4.2","0.23","156","0.24","0","38","2.1","20.1","311","0.8","245","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-02","0900","20.3","5.2","0.36","278","0.36","0","37","2.2","20","504","0.9","234","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-09-02","1000","22.3","6","0.49","388","0.48","0","35","2","20","670","0.9","224","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
