Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"121","2014-09-01","0100","16.8","13.3","0","-44","0.01","0","80","2.2","24.3","0","1.5","222","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","0200","15.8","13.1","0","-44","0","0","84","1.8","24.3","0","1.5","213","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","0300","14.4","12.4","0","-44","0","0","88","1","24.2","0","1.4","253","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","0400","13.8","12","0","-44","0","0","89","1.6","24.1","0","1.4","232","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","0500","13.1","12.2","0","-43","0","0","94","1.4","24","0","1.4","233","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","0600","12.5","11.8","0","-37","0","0","95","1.4","23.9","8","1.4","258","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","0700","14","12.8","0.04","43","0.05","0","92","0.5","23.8","129","1.5","179","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","0800","19.4","14.8","0.18","168","0.18","0","75","0.4","23.8","322","1.7","174","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","0900","24.6","14","0.36","286","0.36","0","52","1.3","23.7","509","1.6","49","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1000","28.4","9.5","0.64","390","0.64","0","31","4.7","23.6","671","1.2","358","4.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1100","30.1","9.7","0.72","469","0.72","0","28","4.1","23.6","786","1.2","1","4.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1200","31.6","10.1","0.76","512","0.76","0","27","3.3","23.6","847","1.2","357","3.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1300","33.2","10.7","0.75","514","0.75","0","25","2.4","23.7","847","1.3","358","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1400","34.4","10.2","0.69","475","0.69","0","23","1.3","23.8","789","1.2","354","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1500","35.2","13","0.57","399","0.57","0","26","1.1","23.8","674","1.5","193","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1600","34.1","15.3","0.46","292","0.49","0","33","2.2","24","513","1.7","203","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1700","32.9","16.1","0.31","176","0.34","0","37","2.3","24.1","333","1.8","211","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1800","30","16.8","0.16","69","0.19","0","45","2.3","24.2","148","1.9","205","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","1900","26","14.1","0.07","-24","0.07","0","48","2.3","24.4","16","1.6","201","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","2000","23.1","12.6","0.05","-34","0.05","0","52","2","24.5","0","1.5","203","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","2100","20.7","12.3","0.03","-33","0.03","0","59","1.9","24.5","0","1.4","205","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","2200","20.3","12.5","0.03","-33","0.04","0","61","2.2","24.6","0","1.5","208","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","2300","18.9","13","0.02","-32","0.02","0","69","1.9","24.5","0","1.5","208","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-01","2400","18.1","12.9","0.01","-32","0.02","0","72","2","24.5","0","1.5","210","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0100","17.7","13.3","0","-48","0.02","0","75","2.1","24.4","0","1.5","208","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0200","17.1","13.4","0","-48","0.01","0","79","2","24.3","0","1.5","214","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0300","17.1","13","0","-48","0.01","0","77","1.8","24.3","0","1.5","193","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0400","17.5","13.1","0","-48","0.02","0","75","2.8","24.2","0","1.5","199","2.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0500","17.7","12.8","0.01","-49","0.03","0","73","4","24.1","0","1.5","203","4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0600","16.9","12.8","0","-43","0.02","0","77","3.1","24","7","1.5","208","3.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0700","16.7","13.7","0.07","42","0.08","0","82","3.1","24","135","1.6","219","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0800","19.2","14.7","0.21","171","0.2","0","75","3.4","23.9","333","1.7","219","3.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","0900","21.4","15.2","0.38","293","0.34","0","68","4.6","23.8","524","1.7","210","4.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","1000","23.3","15.5","0.51","401","0.47","0","62","4.4","23.8","686","1.8","208","4.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","1100","24.6","15.9","0.62","477","0.56","0","58","4.5","23.7","798","1.8","208","4.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","1200","25.4","15.6","0.68","510","0.63","0","55","5.2","23.7","862","1.8","211","5.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","1300","26.6","15.8","0.72","514","0.66","0","52","5.4","23.8","869","1.8","211","5.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"121","2014-09-02","1400","27.9","15.3","0.73","490","0.68","0","46","6","23.8","812","1.7","210","6.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
