Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"131","2014-09-01","0100","20.3","12.3","0.01","-33","0","0","60","0.5","26.3","0","1.4","88","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","0200","18.3","11.8","0","-33","0","0","66","0.4","26","0","1.4","67","0.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","0300","17.5","11.7","0","-33","0","0","69","0.4","25.8","0","1.4","64","0.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","0400","16.7","11.4","0","-33","0","0","71","0.4","25.5","0","1.4","38","0.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","0500","16.5","11.7","0","-32","0","0","73","0.4","25.3","0","1.4","75","0.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","0600","15.8","11.2","0","-29","0","0","74","0.5","25.1","5","1.3","31","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","0700","18.9","12.6","0.07","55","0.06","0","67","0.4","24.9","121","1.5","41","0.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","0800","23.5","12.8","0.2","159","0.2","0","51","0.8","24.7","307","1.5","126","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","0900","25.5","12.8","0.34","272","0.34","0","45","0.6","24.6","482","1.5","250","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1000","27.6","12.9","0.47","371","0.47","0","40","0.8","24.6","627","1.5","239","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1100","29.4","13","0.58","447","0.58","0","37","0.9","24.8","735","1.5","293","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1200","31","13","0.65","486","0.64","0","33","1.2","25.1","790","1.5","283","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1300","33.1","11.7","0.68","487","0.67","0","27","1","25.6","795","1.4","302","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1400","34.6","12.1","0.64","451","0.65","0","26","1.2","26.1","744","1.4","290","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1500","35.5","10.7","0.58","379","0.59","0","22","1.4","26.6","645","1.3","296","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1600","36.2","9.7","0.47","282","0.5","0","20","1.7","27.1","505","1.2","302","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1700","36.8","9.2","0.31","172","0.33","0","19","1.2","27.4","337","1.2","298","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1800","36","8.4","0.17","64","0.18","0","19","1.2","27.5","149","1.1","274","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","1900","32.2","9.2","0.07","-34","0.03","0","24","0.7","27.5","13","1.2","241","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","2000","28.7","11.6","0.04","-38","0.01","0","35","0.5","27.4","0","1.4","236","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","2100","24.6","12.4","0.02","-36","0","0","47","0.3","27.2","0","1.4","234","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","2200","24.6","12.4","0.03","-36","0.01","0","46","0.6","27","0","1.4","116","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","2300","24.4","11.5","0.04","-36","0.02","0","44","0.9","26.8","0","1.4","112","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-01","2400","24.1","10.6","0.04","-37","0.02","0","43","0.8","26.5","0","1.3","136","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0100","23","10.2","0.03","-44","0.02","0","45","1","26.3","0","1.2","117","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0200","22.1","9.6","0.02","-44","0.02","0","45","0.8","26.1","0","1.2","126","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0300","20.4","10.1","0.01","-42","0","0","52","0.6","25.8","0","1.2","115","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0400","18.8","9.8","0","-42","0","0","56","0.5","25.6","0","1.2","107","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0500","18","9.7","0","-42","0","0","58","0.5","25.4","0","1.2","114","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0600","17.4","10.2","0","-37","0","0","63","0.4","25.2","5","1.2","102","0.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0700","19.3","11.2","0.05","34","0.06","0","60","0.4","25","112","1.3","158","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0800","22.4","12.8","0.2","155","0.2","0","55","1","24.8","299","1.5","218","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","0900","24.7","13.3","0.34","269","0.34","0","49","1.1","24.7","478","1.5","220","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","1000","27.3","13.7","0.48","373","0.48","0","43","1.2","24.8","630","1.6","227","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2014-09-02","1100","29","13.2","0.59","449","0.58","0","38","1.4","24.9","739","1.5","224","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
