Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"166","2014-09-01","0100","19.2","11.1","0.02","-30",,"0","60","0.9","21.9","0","1.3","317","0.9"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","0200","17.1","11.5","0","-29",,"0","69","0.4","21.7","0","1.4","342","0.7"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","0300","15.4","11.5","0","-29",,"0","77","0.5","21.6","0","1.4","4","0.8"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","0400","13.5","10.6","0","-29",,"0","83","0.2","21.4","0","1.3","106","0.5"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","0500","13","10.2","0","-29",,"0","83","0.5","21.2","0","1.2","149","0.6"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","0600","12.6","10.2","0","-25",,"0","85","0.5","21","5","1.2","145","0.5"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","0700","15.8","12.1","0.05","49",,"0","79","0.2","20.8","107","1.4","176","0.6"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","0800","19.9","13.7","0.2","165",,"0","67","1.5","20.7","317","1.6","311","1.7"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","0900","22.3","14.6","0.34","289",,"0","61","1.1","20.6","511","1.7","324","1.5"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1000","25.6","15.3","0.49","402",,"0","53","1.2","20.6","680","1.7","349","1.6"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1100","28.3","15","0.61","478",,"0","44","1.4","20.7","806","1.7","303","1.8"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1200","30.7","14.8","0.69","513",,"0","38","1.7","20.9","873","1.7","286","2.1"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1300","33","12.2","0.73","508",,"0","28","2.2","21.1","875","1.4","320","2.5"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1400","34.4","12.2","0.73","485",,"0","26","2.4","21.5","815","1.4","310","2.7"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1500","35.5","11.8","0.65","407",,"0","24","2.6","21.9","694","1.4","320","2.8"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1600","35.9","11.6","0.51","299",,"0","23","2.3","22.3","533","1.4","308","2.6"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1700","35.5","13.1","0.34","178",,"0","26","2","22.5","343","1.5","288","2.2"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1800","33.4","13.1","0.17","70",,"0","29","1.6","22.6","156","1.5","270","1.7"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","1900","29.5","12.9","0.07","-29",,"0","36","1.2","22.7","15","1.5","267","1.3"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","2000","25.6","12.4","0.03","-38",,"0","44","0.7","22.7","0","1.4","293","0.8"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","2100","23.9","11.9","0.04","-37",,"0","47","1.2","22.6","0","1.4","234","1.3"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","2200","22.4","11.6","0.03","-37",,"0","51","0.8","22.5","0","1.4","217","1"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","2300","21.7","11.8","0.02","-37",,"0","53","1","22.3","0","1.4","223","1"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-01","2400","19.8","11.8","0.01","-36",,"0","60","0.8","22.1","0","1.4","135","1"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-02","0100","18.7","12","0","-43",,"0","65","0.6","22","0","1.4","113","0.8"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-02","0200","16.8","12.1","0","-42",,"0","74","0.7","21.8","0","1.4","147","0.7"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-02","0300","15.5","11.8","0","-42",,"0","79","0.5","21.6","0","1.4","146","0.8"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-02","0400","15","12.2","0","-41",,"0","83","0.1","21.4","0","1.4","118","0.5"," "," "," "," ","N"," "," "," "," "," "," "," "," "
"166","2014-09-02","0500","14.1","11.7","0","-41",,"0","86","0.5","21.3","0","1.4","144","0.5"," "," "," "," ","N"," "," "," "," "," "," "," "," "
