Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"70","2014-09-01","0100","17.4","10.3","0.01","-36","0","0","63","0.5","22.9","0","1.3","21","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","0200","15.1","11.1","0","-34","0","0","77","0.6","22.8","0","1.3","9","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","0300","15","11.1","0","-34","0","0","77","0.9","22.6","0","1.3","355","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","0400","14.9","11.2","0","-34","0","0","78","0.5","22.5","0","1.3","237","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","0500","15.7","11.8","0","-34","0","0","78","0.7","22.4","0","1.4","275","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","0600","14.1","12","0","-27","0","0","88","0.1","22.2","8","1.4","358","0.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","0700","17.4","13.5","0.06","58","0.06","0","78","0.4","22.1","128","1.6","332","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","0800","20.8","14","0.2","164","0.2","0","65","1.6","22","313","1.6","294","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","0900","23.5","13.9","0.36","284","0.36","0","55","1.9","22","500","1.6","271","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1000","25.9","14.7","0.49","393","0.48","0","50","1.3","22","660","1.7","286","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1100","28.5","15.4","0.61","474","0.6","0","45","1.7","22","777","1.8","299","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1200","30.7","15.6","0.7","519","0.69","0","40","2.1","22.2","842","1.8","281","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1300","32.4","15","0.73","520","0.72","0","35","2.1","22.3","845","1.7","311","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1400","33.5","13.7","0.71","483","0.71","0","30","2.5","22.5","796","1.6","306","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1500","34.4","12.8","0.64","404","0.66","0","27","2.9","22.7","683","1.5","293","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1600","34.7","13.2","0.5","297","0.54","0","28","2.7","22.9","525","1.5","300","2.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1700","34.2","12.9","0.33","178","0.36","0","28","2.1","23","342","1.5","307","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1800","33.1","13.7","0.16","70","0.17","0","31","1.5","23.1","155","1.6","319","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","1900","29.8","13.5","0.07","-30","0.06","0","37","1.3","23.2","15","1.5","313","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","2000","27","12.8","0.06","-38","0.06","0","41","1.7","23.2","0","1.5","300","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","2100","24.3","13.2","0.04","-37","0.04","0","50","1.4","23.2","0","1.5","332","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","2200","23","12.2","0.04","-37","0.04","0","51","1.3","23.1","0","1.4","298","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","2300","21.9","11.1","0.03","-37","0.03","0","50","1.2","23","0","1.3","352","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-01","2400","19.4","11.9","0.01","-36","0.01","0","62","0.8","22.9","0","1.4","22","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0100","17.3","12.6","0","-40","0","0","74","0.4","22.8","0","1.5","41","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0200","16.5","12.6","0","-40","0","0","78","0.1","22.7","0","1.5","125","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0300","16.2","12.6","0","-40","0","0","79","0.4","22.6","0","1.5","100","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0400","15.1","12.7","0","-39","0","0","86","0.3","22.4","0","1.5","352","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0500","14.3","13","0","-39","0","0","92","0.5","22.3","0","1.5","359","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0600","14.2","12.5","0","-33","0","0","89","0.2","22.2","8","1.4","37","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0700","17.4","14.4","0.05","44","0.06","0","82","0.9","22.1","124","1.6","313","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0800","21.5","15.3","0.19","161","0.2","0","68","1.4","22","307","1.7","315","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","0900","24.1","15.2","0.35","280","0.35","0","57","2","21.9","493","1.7","299","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1000","26.4","15.6","0.5","392","0.49","0","52","1.8","21.9","659","1.8","307","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1100","29","14.3","0.61","474","0.6","0","41","1.5","22","780","1.6","305","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1200","30.9","14.6","0.69","513","0.67","0","37","1.8","22.1","834","1.7","315","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1300","32","15.3","0.72","518","0.71","0","37","2","22.3","842","1.7","301","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1400","32.9","15.7","0.7","478","0.7","0","36","2.8","22.5","782","1.8","289","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1500","32.8","16.3","0.61","400","0.62","0","37","2.8","22.7","670","1.9","303","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1600","32.6","14.4","0.52","294","0.56","0","34","3.8","22.9","518","1.6","288","4.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1700","31.3","10.5","0.43","177","0.5","0","28","5","23.2","344","1.3","278","5.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1800","29","12","0.23","69","0.28","0","35","3.9","23.4","155","1.4","293","4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","1900","26.4","12.3","0.1","-30","0.1","0","42","3.2","23.5","16","1.4","304","3.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","2000","23.9","13.4","0.05","-37","0.06","0","52","2.3","23.4","0","1.5","323","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","2100","21.1","14.2","0.02","-36","0.03","0","65","2.2","23.4","0","1.6","345","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","2200","18.9","14.2","0","-35","0.01","0","74","1.4","23.4","0","1.6","352","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","2300","17.3","13.9","0","-35","0","0","80","1.4","23.4","0","1.6","351","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-02","2400","16.4","13.6","0","-34","0","0","84","0.8","23.3","0","1.6","344","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0100","15.6","13.5","0","-41","0","0","87","0.6","23.2","0","1.5","333","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0200","14.8","13.5","0","-41","0","0","92","0.7","23.1","0","1.5","347","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0300","14.8","13.7","0","-41","0","0","93","0.9","22.9","0","1.6","313","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0400","14.1","13.4","0","-41","0","0","96","0.7","22.8","0","1.5","0","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0500","13.3","12.9","0","-41","0","0","97","0.6","22.6","0","1.5","9","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0600","12.8","12.5","0","-35","0","0","98","0.7","22.5","8","1.4","5","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0700","14.8","14","0.05","50","0.05","0","95","1","22.3","136","1.6","3","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0800","17.6","15.1","0.18","166","0.17","0","85","2.2","22.2","317","1.7","324","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","0900","19.5","15.3","0.31","284","0.29","0","77","2.6","22.1","499","1.7","308","2.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1000","21.3","15.4","0.45","393","0.41","0","69","2.6","22","658","1.8","314","3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1100","23.5","15.9","0.57","474","0.52","0","63","2.8","21.9","775","1.8","307","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1200","24.8","16.3","0.63","519","0.58","0","59","2.7","21.9","840","1.9","317","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1300","26.5","16.4","0.66","523","0.62","0","54","2.7","22","848","1.9","317","3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1400","28.3","15.4","0.65","484","0.62","0","45","2.6","22","794","1.7","312","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1500","29.8","15.5","0.57","401","0.57","0","42","2.7","22.2","674","1.8","293","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1600","30.5","15.5","0.45","304","0.47","0","40","2.3","22.3","537","1.8","308","2.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1700","30.7","15.8","0.31","181","0.33","0","41","2.3","22.4","346","1.8","304","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-09-03","1800","29.6","15.8","0.15","67","0.18","0","43","1.8","22.5","150","1.8","307","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
