Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"71","2014-09-01","0100","15.3","10.8","0","-33","0","0","75","1.2","23.1","0","1.3","104","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","0200","14.3","10.9","0","-32","0","0","80","0.8","23","0","1.3","236","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","0300","13.6","10.8","0","-32","0","0","83","0.7","22.9","0","1.3","276","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","0400","13.3","10.7","0","-32","0","0","84","0.5","22.8","0","1.3","241","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","0500","12.9","10.6","0","-32","0","0","86","0.5","22.7","0","1.3","261","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","0600","13","10.7","0","-27","0","0","86","0.8","22.5","8","1.3","298","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","0700","15.5","12.8","0.06","56","0.05","0","84","0.6","22.4","122","1.5","289","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","0800","19.9","14.9","0.18","160","0.18","0","73","1.1","22.3","304","1.7","308","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","0900","23.4","14.7","0.34","279","0.34","0","58","1.6","22.3","490","1.7","327","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1000","26.6","14.2","0.49","369","0.49","0","46","2.4","22.3","619","1.6","317","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1100","28.5","14.8","0.64","472","0.62","0","43","3","22.4","772","1.7","318","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1200","29.8","15.2","0.71","517","0.69","0","41","3","22.5","837","1.7","321","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1300","31.2","15.1","0.74","522","0.72","0","38","3","22.7","845","1.7","319","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1400","32.1","14.3","0.71","483","0.7","0","34","3","22.8","792","1.6","316","3.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1500","32.4","14.3","0.61","405","0.62","0","34","2.9","23","679","1.6","314","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1600","32.8","14.5","0.48","296","0.5","0","33","2.7","23.1","520","1.6","316","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1700","33.2","13.3","0.31","173","0.35","0","30","2","23.2","331","1.5","310","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1800","31.6","15.3","0.15","67","0.16","0","38","1.4","23.3","146","1.7","300","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","1900","27.5","14.2","0.06","-27","0.05","0","44","1.5","23.4","13","1.6","275","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","2000","24.1","13.8","0.04","-34","0.03","0","52","1.2","23.5","0","1.6","294","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","2100","21.8","14.8","0.01","-32","0.01","0","64","0.8","23.5","0","1.7","284","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","2200","19.6","15","0","-32","0.01","0","75","1.5","23.4","0","1.7","9","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","2300","18.5","14.4","0","-32","0","0","77","0.9","23.3","0","1.6","123","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-01","2400","17.7","14.2","0","-31","0","0","80","1.5","23.3","0","1.6","163","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0100","17.1","14","0","-38","0","0","82","1.1","23.2","0","1.6","180","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0200","16.3","13.7","0","-38","0","0","85","0.7","23.1","0","1.6","172","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0300","15.5","13.5","0","-38","0","0","88","0.6","23","0","1.5","23","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0400","15.3","13.6","0","-38","0","0","89","0.5","22.9","0","1.6","104","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0500","14.4","12.8","0","-38","0","0","90","0.2","22.8","0","1.5","302","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0600","14.2","12.7","0","-33","0","0","91","0.9","22.7","7","1.5","312","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0700","16.3","14.9","0.04","44","0.05","0","91","0.5","22.6","122","1.7","345","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0800","20.8","16.4","0.18","160","0.19","0","76","1.4","22.5","304","1.9","350","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","0900","24.2","15.5","0.35","284","0.35","0","58","1.7","22.5","500","1.8","352","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","1000","26.8","15.2","0.5","397","0.49","0","49","1.6","22.5","668","1.7","348","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","1100","28.2","15.4","0.62","480","0.61","0","46","2.1","22.6","789","1.8","315","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","1200","29.8","13.8","0.69","522","0.68","0","38","1.9","22.7","857","1.6","305","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","1300","31.6","13.5","0.71","521","0.7","0","33","1.9","22.9","851","1.6","331","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-02","1400","32.5","12.7","0.72","482","0.73","0","30","3.2","23","796","1.5","327","3.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
