Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"191","2014-09-01","0100","15.7","11.9","0","-36","0","0","78","0.2","23.4","0","1.4","53","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","0200","15.7","11.3","0","-36","0","0","75","0.3","23.2","0","1.3","49","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","0300","14.5","11","0","-36","0","0","79","0.3","23","0","1.3","24","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","0400","13.8","10.7","0","-36","0","0","82","0.4","22.8","0","1.3","48","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","0500","13.4","10.7","0","-36","0","0","84","0.4","22.6","0","1.3","332","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","0600","13.5","10.3","0","-33","0","0","81","0.7","22.4","4","1.3","97","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","0700","15.8","11.5","0.04","34","0.06","0","76","0.2","22.2","106","1.4","96","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","0800","19.1","12","0.17","149","0.17","0","63","0.6","22.1","277","1.4","114","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","0900","22.2","11.9","0.31","269","0.3","0","52","0.3","22","460","1.4","307","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1000","26.5","11","0.47","380","0.44","0","38","0.5","21.9","623","1.3","180","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1100","30","8.3","0.6","467","0.57","0","26","0.2","22","750","1.1","216","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1200","31.7","6.9","0.7","517","0.67","0","21","0.4","22.2","825","1","311","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1300","33.2","6.2","0.74","525","0.71","0","19","1","22.5","841","1","305","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1400","34.5","6.7","0.7","489","0.68","0","18","0.9","22.9","792","1","305","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1500","34.9","8.3","0.67","417","0.67","0","20","2.6","23.3","690","1.1","284","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1600","34.7","8.4","0.56","312","0.59","0","20","3.1","23.7","541","1.1","291","3.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1700","33.7","8.9","0.41","192","0.45","0","22","3.3","24","360","1.1","270","3.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1800","31.7","8","0.22","77","0.24","0","23","2.3","24.2","170","1.1","239","2.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","1900","29.2","8.4","0.09","-35","0.08","0","27","0.8","24.3","18","1.1","225","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","2000","26.2","8.9","0.07","-44","0.08","0","33","1.9","24.3","0","1.1","152","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","2100","24.7","8.2","0.06","-44","0.07","0","35","1.8","24.3","0","1.1","177","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","2200","22.5","9.6","0.03","-41","0.03","0","44","0.9","24.2","0","1.2","218","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","2300","20.1","10.7","0.01","-39","0","0","55","0.4","24.1","0","1.3","301","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-01","2400","19","10.9","0","-39","0","0","59","0.3","23.9","0","1.3","333","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0100","18.4","10.4","0.01","-38","0","0","60","0.3","23.8","0","1.3","48","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0200","17.2","11.1","0","-37","0","0","67","0.4","23.6","0","1.3","15","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0300","17","12.3","0","-36","0","0","74","0.6","23.4","0","1.4","14","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0400","16.3","12.3","0","-36","0","0","77","0.5","23.3","0","1.4","43","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0500","15.2","12.2","0","-35","0","0","82","0.4","23.1","0","1.4","344","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0600","15","12.2","0","-32","0","0","83","0.5","22.9","4","1.4","24","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0700","16.6","13.3","0.04","33","0.06","0","81","0.8","22.8","103","1.5","36","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0800","19.1","13.7","0.17","148","0.16","0","71","0.5","22.6","275","1.6","358","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","0900","21.5","13.7","0.31","269","0.3","0","61","0.8","22.5","459","1.6","314","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1000","23.9","13.6","0.46","380","0.43","0","53","1.1","22.4","620","1.6","324","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1100","25.6","13.9","0.58","467","0.54","0","48","1.8","22.5","740","1.6","344","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1200","27.3","13.4","0.68","521","0.63","0","42","2.5","22.7","818","1.5","331","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1300","29.1","11.2","0.75","531","0.71","0","33","2.9","23","841","1.3","260","3.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1400","27.9","13.1","0.72","501","0.67","0","40","4.1","23.2","798","1.5","267","4.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1500","28.2","12","0.62","427","0.59","0","37","2.8","23.5","699","1.4","274","3.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1600","29","10.6","0.49","319","0.5","0","32","2.7","23.8","548","1.3","228","3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1700","28","11.2","0.33","199","0.34","0","35","2.2","24","370","1.3","238","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1800","23","12.9","0.17","82","0.17","0","53","3.1","24.1","177","1.5","322","3.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","1900","19.1","13.1","0.03","-31","0.03","0","68","2.6","24.2","16","1.5","318","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","2000","17.1","13","0.01","-39","0.02","0","77","3.5","24.2","0","1.5","306","3.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","2100","16.4","12.9","0","-39","0.01","0","80","1.5","24.1","0","1.5","352","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","2200","16","12.9","0","-39","0","0","82","0.9","23.9","0","1.5","326","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","2300","15.4","13","0","-39","0","0","85","0.6","23.8","0","1.5","34","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-02","2400","14.7","12.7","0","-39","0","0","88","0.4","23.6","0","1.5","58","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0100","14.4","12.7","0","-19","0","0","90","0.7","23.4","0","1.5","334","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0200","13.6","12","0","-19","0","0","90","0.2","23.1","0","1.4","97","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0300","13.2","11.8","0","-19","0","0","91","0.2","22.9","0","1.4","31","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0400","14.1","12.7","0","-19","0","0","91","0.2","22.7","0","1.5","287","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0500","15.2","13.6","0","-18","0","0.3","90","0.2","22.5","0","1.6","70","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0600","15.4","13.6","0","-17","0","0.2","89","0.4","22.4","2","1.6","83","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0700","15.6","13.3","0.01","5","0","0","86","0.3","22.3","32","1.5","87","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0800","16.2","13.1","0.07","59","0.08","0","82","0.8","22.2","120","1.5","96","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","0900","17.6","13.1","0.22","211","0.22","0","75","0.8","22.1","367","1.5","340","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1000","20","13.3","0.42","387","0.39","0","65","0.4","22.1","630","1.5","233","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1100","22.5","13.3","0.54","476","0.5","0","56","0.9","22.1","756","1.5","144","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1200","25","13.1","0.62","526","0.58","0","48","0.7","22.3","827","1.5","94","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1300","27.4","11.5","0.64","510","0.6","0","37","0.8","22.6","802","1.4","136","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1400","28.5","11.9","0.64","470","0.61","0","36","1.8","22.9","746","1.4","289","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1500","29.6","12","0.57","418","0.55","0","34","1.3","23.3","684","1.4","289","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1600","29.9","11.7","0.47","311","0.48","0","33","2.4","23.6","533","1.4","302","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1700","28.5","11.6","0.35","190","0.38","0","35","3.4","23.9","353","1.4","299","3.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1800","26.2","12.3","0.17","75","0.21","0","42","2.6","24.1","163","1.4","316","2.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","1900","22.1","12.8","0.05","-30","0.05","0","56","2.2","24.2","13","1.5","329","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","2000","19.6","13.1","0.01","-37","0.02","0","66","0.5","24.2","0","1.5","65","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","2100","18.4","13.2","0.01","-37","0.02","0","72","1.8","24.1","0","1.5","143","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","2200","17.1","12.9","0","-37","0","0","76","0.6","24","0","1.5","145","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","2300","16.3","12.8","0","-36","0","0","80","0.7","23.9","0","1.5","34","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-03","2400","15.9","12.6","0","-36","0","0","81","0.7","23.7","0","1.5","26","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
