Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"167","2014-09-01","0100","19.5","4.9","0.03","-46","0.03","0","38","0.6","23.3","0","0.9","217","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","0200","18.9","7","0.03","-44","0.04","0","46","1.6","22.8","0","1","149","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","0300","17.5","7.3","0.02","-43","0.02","0","51","0.9","22.3","0","1","203","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","0400","16.1","6.6","0.01","-42","0.01","0","54","0.2","21.7","0","1","213","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","0500","15","6.9","0.01","-42","0.01","0","59","1","21.1","0","1","201","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","0600","15.1","6.7","0.01","-37","0.01","0","57","0.8","20.5","7","1","229","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","0700","18.6","8","0.06","37","0.07","0","50","0.6","20.1","120","1.1","181","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","0800","23.7","10","0.21","152","0.23","0","42","1.2","20.3","295","1.2","300","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","0900","27.4","8.6","0.41","264","0.44","0","31","2.7","22","474","1.1","309","2.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-01","1000","28.8","8.1","0.57","370","0.58","0","27","3.3",,"630","1.1","314","3.4"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1100","30.5","8.4","0.69","451","0.69","0","25","3.3",,"747","1.1","319","3.5"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1200","32.1","8.5","0.76","497","0.76","0","23","3.4",,"813","1.1","330","3.5"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1300","33.5","6.5","0.82","499","0.83","0","19","4.1",,"821","1","349","4.3"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1400","34.7","7.9","0.73","463","0.75","0","19","2.7",,"768","1.1","338","3.1"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1500","35.5","7.7","0.65","387","0.69","0","18","3",,"660","1.1","357","3.2"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1600","35.9","7.7","0.51","282","0.56","0","18","2.8",,"504","1.1","357","3"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1700","35.5","8.8","0.36","165","0.42","0","20","2.7",,"322","1.1","349","2.9"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1800","34.1","9.5","0.19","62","0.22","0","22","2.1",,"138","1.2","343","2.1"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","1900","31","10.1","0.1","-29","0.08","0","28","1.4",,"13","1.2","271","1.6"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","2000","30","8.9","0.12","-37","0.12","0","27","2.6",,"0","1.1","260","2.6"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","2100","29.6","7.9","0.14","-38","0.14","0","26","3.2",,"0","1.1","257","3.3"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","2200","28.4","7","0.11","-38","0.1","0","26","2.3",,"0","1","270","2.4"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","2300","25.7","6.9","0.06","-37","0.05","0","30","0.9",,"0","1","221","1.2"," "," "," "," "," "," "," "," ","S"," "," "," "," "
"167","2014-09-01","2400","22.1","8","0.05","-35","0.04","0","40","1.1","26","0","1.1","181","1.3"," "," "," "," "," "," "," "," ","R"," "," "," "," "
"167","2014-09-02","0100","22.1","10.2","0.04","-42","0.04","0","47","1.6","25.3","0","1.2","112","1.7"," "," "," "," "," "," "," "," ","Y"," "," "," "," "
"167","2014-09-02","0200","20.2","11.3","0.01","-40","0.01","0","57","0.5","24.6","0","1.3","170","1"," "," "," "," "," "," "," "," ","Y"," "," "," "," "
"167","2014-09-02","0300","18.1","10","0.01","-40","0.01","0","59","1","23.9","0","1.2","242","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
