Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"140","2014-09-01","0100","20.9","11","0.06","-43","0.07","0","53","4.1","22.3","0","1.3","267","4.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","0200","20.2","11.2","0.04","-42","0.05","0","56","2.5","22.2","0","1.3","301","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","0300","19.7","11.4","0.03","-42","0.05","0","58","2.6","22.1","0","1.3","304","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","0400","19.4","11.3","0.03","-42","0.05","0","60","2.8","22","0","1.3","306","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","0500","18.3","11.4","0.02","-42","0.03","0","64","2.5","21.9","0","1.3","269","2.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","0600","17.7","11.7","0.01","-36","0.02","0","68","2.1","21.8","6","1.4","272","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","0700","18.5","12.7","0.06","37","0.08","0","69","1.4","21.8","116","1.5","277","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","0800","21.7","13.2","0.2","157","0.21","0","58","1","21.7","303","1.5","292","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","0900","25.2","12.2","0.38","280","0.39","0","44","2.1","21.6","498","1.4","331","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1000","27.3","11.4","0.59","393","0.59","0","37","4.2","21.5","671","1.3","348","4.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1100","28.5","11.5","0.69","475","0.68","0","35","3.9","21.5","795","1.4","351","4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1200","30.6","12.7","0.7","516","0.7","0","33","2","21.5","863","1.5","346","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1300","32.5","12.9","0.71","522","0.71","0","30","0.7","21.5","867","1.5","298","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1400","33.5","13.8","0.71","488","0.72","0","30","2.2","21.7","810","1.6","232","2.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1500","34.6","13.7","0.63","413","0.64","0","29","2.1","21.9","700","1.6","239","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1600","34.5","12.4","0.57","307","0.63","0","26","4.1","22.1","546","1.4","243","4.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1700","34.3","11.3","0.41","187","0.48","0","25","3.8","22.3","363","1.3","244","3.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1800","32.7","11.4","0.26","74","0.32","0","27","3.8","22.4","167","1.3","262","3.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","1900","29.5","11","0.13","-32","0.14","0","32","3.4","22.6","18","1.3","256","3.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","2000","26.3","10.6","0.08","-42","0.09","0","37","2.6","22.6","0","1.3","248","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","2100","25.8","10.8","0.1","-42","0.11","0","39","3.6","22.7","0","1.3","262","3.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","2200","25.4","10","0.1","-42","0.11","0","38","3.6","22.7","0","1.2","258","3.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","2300","23.5","10.1","0.05","-41","0.06","0","43","1.9","22.6","0","1.2","251","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-01","2400","22.5","10","0.04","-41","0.04","0","45","1.4","22.5","0","1.2","267","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0100","21.9","10.2","0.05","-45","0.06","0","47","2.4","22.5","0","1.2","268","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0200","18.3","12.4","0","-41","0.01","0","69","1","22.4","0","1.4","159","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0300","17.2","12.5","0","-41","0.01","0","74","0.9","22.3","0","1.5","248","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0400","17.4","11.9","0","-41","0.02","0","70","1.7","22.2","0","1.4","275","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0500","17","12.3","0","-41","0.01","0","74","1.6","22","0","1.4","254","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0600","16.8","12.6","0","-36","0.01","0","76","1.6","21.9","6","1.5","252","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0700","17.8","13.2","0.07","34","0.09","0","75","2.6","21.8","112","1.5","263","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0800","19.7","13.8","0.21","157","0.21","0","69","3.5","21.7","303","1.6","267","3.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","0900","21.6","14.2","0.36","282","0.34","0","62","3.2","21.6","500","1.6","270","3.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1000","23.8","14.5","0.5","394","0.47","0","56","3.2","21.5","665","1.6","267","3.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1100","25.7","14.6","0.63","478","0.59","0","50","3.5","21.5","791","1.7","260","3.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1200","27.2","15","0.72","520","0.68","0","47","4.6","21.5","860","1.7","266","4.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1300","28.3","14.7","0.76","524","0.72","0","44","5.1","21.5","865","1.7","264","5.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1400","29.1","14.4","0.76","483","0.73","0","41","6","21.6","821","1.6","261","6.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1500","28.9","14","0.7","418","0.68","0","40","6.5","21.8","710","1.6","261","6.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1600","27.7","13.8","0.57","313","0.56","0","43","6.8","21.9","554","1.6","261","6.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1700","26.4","13.6","0.39","193","0.41","0","45","5.9","22.1","370","1.6","255","6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1800","24.2","13.4","0.24","77","0.26","0","51","6.1","22.2","171","1.5","255","6.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","1900","20.7","13.2","0.09","-28","0.08","0","62","6.6","22.3","18","1.5","264","6.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","2000","18.3","13","0.05","-39","0.05","0","72","6.8","22.4","0","1.5","260","6.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","2100","17.3","13.1","0.02","-38","0.03","0","77","5.8","22.4","0","1.5","254","5.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","2200","16.5","13.2","0.01","-38","0.02","0","81","4.4","22.3","0","1.5","265","4.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","2300","16","13.2","0","-38","0.02","0","83","4.8","22.2","0","1.5","265","4.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-02","2400","15.9","13.3","0","-38","0.02","0","85","4.4","22.2","0","1.5","266","4.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0100","15.7","13.4","0","-41","0.01","0","86","4.5","22.1","0","1.5","265","4.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0200","15.5","13.4","0","-41","0.01","0","87","4.3","22","0","1.5","260","4.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0300","15.4","13.3","0","-41","0.01","0","87","4.1","21.9","0","1.5","262","4.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0400","15.3","13.3","0","-41","0.01","0","88","3.9","21.8","0","1.5","266","3.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0500","15.3","13.2","0","-41","0.01","0","88","3.9","21.7","0","1.5","267","3.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0600","15.2","13.2","0","-37","0.01","0","88","3.9","21.6","6","1.5","271","4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0700","15.8","13.4","0.06","36","0.07","0","86","3.9","21.5","117","1.5","274","3.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0800","17.1","13.8","0.19","161","0.17","0","81","4.4","21.4","311","1.6","275","4.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","0900","18.8","14.1","0.34","286","0.29","0","74","4.6","21.3","507","1.6","270","4.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1000","20.6","14.1","0.48","398","0.42","0","67","4.2","21.3","674","1.6","282","4.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1100","22.4","14.3","0.57","473","0.53","0","60","3.5","21.2","812","1.6","289","3.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1200","24.7","14.6","0.65","517","0.61","0","53","3","21.2","873","1.7","277","3.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1300","27.6","14.1","0.67","521","0.67","0","44","2.2","21.3","882","1.6","297","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1400","29.4","13.8","0.64","476","0.66","0","38","2","21.4","825","1.6","309","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1500","30.5","13.9","0.58","415","0.59","0","36","2","21.5","712","1.6","288","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1600","30.2","14.5","0.52","311","0.54","0","38","4","21.7","553","1.6","243","4.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1700","29.1","14.5","0.38","188","0.41","0","41","4.6","22","360","1.7","244","4.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1800","25.7","14.8","0.21","71","0.25","0","51","4.7","22.2","157","1.7","249","4.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","1900","22.4","14.5","0.08","-28","0.08","0","61","5.4","22.3","14","1.6","251","5.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","2000","21.3","14.2","0.06","-36","0.07","0","64","5.4","22.4","0","1.6","257","5.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","2100","20.3","13.9","0.04","-36","0.05","0","66","4.3","22.3","0","1.6","249","4.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","2200","19.4","13.7","0.03","-36","0.04","0","70","4.3","22.3","0","1.6","252","4.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","2300","18.8","13.4","0.05","-36","0.05","0","71","6","22.2","0","1.5","262","6.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-03","2400","17.9","13.3","0.03","-36","0.04","0","74","5.5","22.1","0","1.5","248","5.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
