Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"155","2014-10-01","0100","19.1","5.8",,,,"0","42","1.7","23.6","0","0.9","317","1.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","0200","18.8","5.5",,,,"0","42","1.7","23.1","0","0.9","334","1.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","0300","18.5","5.3",,,,"0","42","1.4","22.7","0","0.9","331","1.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","0400","17.4","5.7",,,,"0","46","1.2","22.3","0","0.9","337","1.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","0500","16.5","5.8",,,,"0","49","1.1","21.9","0","0.9","331","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","0600","16.5","5.5",,,,"0","48","1.1","21.5","0","0.9","324","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","0700","16.4","5.4",,,,"0","48","1.1","21.1","56","0.9","322","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","0800","17.9","5.5",,,,"0","44","1.4","20.9","239","0.9","332","1.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","0900","19.9","5.3",,,,"0","38","1.6","21.1","416","0.9","325","1.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","1000","22","5.1",,,,"0","33","2.1","22","582","0.9","319","2.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","1100","23.8","4.4",,,,"0","28","1.7","22.9","695","0.8","328","1.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"155","2014-10-01","1200","25.4","4.5",,,,"0","26","1.8","23.6","751","0.8","319","2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
