Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"170","2014-10-01","0100","12.7","10.6","0","-45","0","0","88","0.9","19","0","1.3","130","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","0200","12.5","10.4","0","-45","0","0","87","0.6","19","0","1.3","122","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","0300","11.8","9.9","0","-45","0","0","88","0.5","18.9","0","1.2","109","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","0400","11.1","9.3","0","-45","0","0","89","0.7","18.8","0","1.2","113","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","0500","11","9.1","0","-46","0","0","88","0.5","18.7","0","1.2","82","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","0600","10.6","8.3","0","-46","0","0","86","0.6","18.6","0","1.1","111","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","0700","11","8.2","0.01","-10","0.01","0","83","0.6","18.5","57","1.1","119","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","0800","16.5","9.9","0.12","109","0.12","0","65","0.4","18.4","252","1.2","68","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","0900","22","7.8","0.27","224","0.28","0","40","0.2","18.3","442","1.1","212","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","1000","24.5","4.5","0.41","310","0.44","0","27","0.5","18.2","612","0.8","10","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","1100","26.3","3.5","0.52","388","0.55","0","23","0.5","18.1","733","0.8","58","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","1200","27.6","2.9","0.59","431","0.62","0","20","0.7","18.1","793","0.8","77","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","1300","28.7","3.1","0.58","427","0.62","0","19","0.5","18.2","789","0.8","32","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"170","2014-10-01","1400","29.5","2.8","0.53","376","0.58","0","18","0.7","18.2","722","0.7","20","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
