Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"6","2014-10-01","0100","21.1","4","0.19","-60","0.15","0","32","8.3","20.3","0","0.8","340","8.3","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"6","2014-10-01","0200","20.8","3.7","0.18","-60","0.14","0","33","7.8","20.3","0","0.8","339","7.9","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"6","2014-10-01","0300","20.3","3.7","0.17","-60","0.14","0","34","7.7","20.2","0","0.8","343","7.8","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"6","2014-10-01","0400","19.7","3.9","0.16","-59","0.13","0","35","7.5","20.1","0","0.8","341","7.6","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"6","2014-10-01","0500","19.2","3.9","0.16","-59","0.13","0","36","8","20.1","0","0.8","343","8.1","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"6","2014-10-01","0600","18.8","3.8","0.16","-59","0.12","0","37","7.9","20","0","0.8","338","8","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"6","2014-10-01","0700","18.5","4","0.18","-14","0.26","0","38","7.3","19.9","70","0.8","336","7.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","0800","19.5","4.5","0.32","107","0.35","0","37","7.6","19.8","260","0.8","339","7.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","0900","21.1","4.8","0.46","219","0.47","0","34","7.7","19.8","461","0.9","342","7.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1000","23","5.1","0.57","312","0.58","0","31","7.1","19.7","622","0.9","338","7.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1100","24.6","4.3","0.69","389","0.68","0","27","7.1","19.7","730","0.8","333","7.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1200","25.8","3.9","0.75","426","0.74","0","24","6.9","19.6","783","0.8","349","7.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1300","26.9","3.7","0.76","416","0.77","0","22","7","19.6","771","0.8","343","7.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1400","27.9","3.3","0.7","378","0.73","0","21","6.2","19.7","700","0.8","352","6.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1500","28.4","2.6","0.62","304","0.66","0","19","5.9","19.7","572","0.7","345","6.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1600","28.6","2.6","0.45","194","0.52","0","19","4.9","19.7","397","0.7","350","5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1700","28.1","2.3","0.31","79","0.39","0","19","4.7","19.8","201","0.7","347","4.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1800","25.8","2.1","0.15","-22","0.14","0","21","3.1","19.8","44","0.7","346","3.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","1900","22.2","1.7","0.06","-48","0.05","0","26","1.3","19.8","0","0.7","346","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","2000","19.8","2.3","0.04","-46","0.03","0","31","0.3","19.9","0","0.7","273","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","2100","19.1","2.1","0.03","-46","0.02","0","32","0.4","19.9","0","0.7","333","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","2200","16.2","3.2","0.03","-43","0.02","0","42","0.7","19.8","0","0.8","215","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","2300","14.6","3.1","0.02","-43","0.01","0","46","0.2","19.8","0","0.8","202","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-01","2400","14.1","2.5","0.02","-43","0.01","0","45","0.2","19.8","0","0.7","233","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0100","15.4","1.4","0.02","-57","0.02","0","39","0.6","19.7","0","0.7","281","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0200","13.2","1.8","0.01","-55","0.01","0","46","0.4","19.6","0","0.7","295","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0300","12.1","1.9","0","-54","0.01","0","50","0.6","19.6","0","0.7","274","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0400","12.7","2.6","0.01","-54","0.02","0","50","1.4","19.5","0","0.7","354","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0500","12.8","3.2","0.01","-53","0.03","0","52","1.7","19.4","0","0.8","0","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0600","12.2","3.5","0.01","-52","0.02","0","55","1.4","19.4","0","0.8","343","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0700","13","4","0.04","-11","0.05","0","54","1.5","19.3","66","0.8","354","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0800","16.7","5.2","0.16","105","0.18","0","47","2.4","19.2","252","0.9","1","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","0900","20.5","5.3","0.32","220","0.34","0","37","2.9","19.2","448","0.9","1","3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1000","23.1","5.5","0.42","301","0.46","0","32","2.7","19.1","607","0.9","355","2.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1100","25","5.9","0.51","377","0.54","0","29","2.1","19.1","713","0.9","3","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1200","26.8","5.1","0.59","414","0.62","0","25","2.6","19.1","765","0.9","25","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1300","28.2","4.8","0.59","420","0.61","0","23","2.1","19.2","751","0.9","7","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1400","29.4","4.5","0.57","378","0.59","0","21","2.5","19.3","674","0.8","25","2.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1500","30","4.5","0.48","297","0.51","0","20","2.4","19.4","555","0.8","12","2.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1600","30.5","4.6","0.33","188","0.35","0","19","1.7","19.4","385","0.8","20","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1700","30.1","5.2","0.18","75","0.2","0","21","1.6","19.5","192","0.9","352","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1800","28.7","4.3","0.1","-23","0.06","0","21","1","19.6","39","0.8","13","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","1900","23.7","5.1","0.04","-44","0.02","0","30","0.6","19.7","0","0.9","262","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","2000","20.1","6.3","0.03","-41","0.02","0","41","0.8","19.7","0","1","262","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","2100","18.8","5.4","0.03","-42","0.02","0","41","1","19.7","0","0.9","251","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","2200","17.5","4.4","0.02","-42","0.01","0","42","0.6","19.7","0","0.8","258","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","2300","16.4","3.4","0.02","-42","0","0","42","0.4","19.7","0","0.8","261","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-02","2400","16.2","2.8","0.02","-42","0.01","0","41","0.5","19.7","0","0.7","355","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-03","0100","15.3","2.3","0.01","-53","0.01","0","41","0.6","19.6","0","0.7","306","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-03","0200","14.5","2.4","0.01","-53","0.01","0","44","0.7","19.6","0","0.7","319","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-03","0300","14.2","2","0.01","-53","0.01","0","44","0.5","19.5","0","0.7","321","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-03","0400","13.4","2.6","0","-52","0.01","0","48","0.7","19.4","0","0.7","318","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-10-03","0500","12.4","2.8","0","-51","0.01","0","52","0.7","19.4","0","0.7","290","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
