Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"70","2014-10-01","0100","18.4","8.4","0.03","-47","0.05","0","52","2.3","20.5","0","1.1","310","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","0200","16.3","7.8","0.02","-46","0.03","0","57","1.8","20.5","0","1.1","285","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","0300","15.9","7.5","0.02","-46","0.03","0","58","1.8","20.4","0","1","285","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","0400","15","7.6","0.01","-45","0.02","0","61","1.6","20.4","0","1","276","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","0500","14.8","7.4","0.01","-46","0.03","0","61","2","20.3","0","1","280","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","0600","14.5","7.1","0.01","-45","0.03","0","61","2.1","20.2","1","1","278","2.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","0700","14.3","7.3","0.05","-2","0.05","0","63","1.9","20.2","67","1","275","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","0800","16.9","7.8","0.16","110","0.18","0","55","2.5","20.1","250","1.1","287","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","0900","19.5","7.8","0.3","226","0.31","0","46","2.5","20.1","436","1.1","304","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1000","21.8","7.6","0.43","331","0.43","0","40","2.7","20","595","1","316","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1100","23.6","7.9","0.52","407","0.51","0","36","2.2","20","709","1.1","321","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1200","25.6","8.1","0.58","442","0.58","0","33","2.1","20.1","765","1.1","311","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1300","26.7","8","0.58","407","0.58","0","31","2.8","20.1","688","1.1","298","3.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1400","27.6","7.2","0.58","393","0.59","0","28","3.1","20.2","694","1","298","3.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1500","28.1","6.1","0.48","310","0.5","0","25","2.5","20.3","572","0.9","307","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1600","28.3","5.9","0.34","200","0.37","0","24","2.3","20.4","405","0.9","309","2.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1700","27.9","6.4","0.19","85","0.21","0","26","1.8","20.5","215","1","302","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1800","25.3","7","0.08","-25","0.06","0","31","1.3","20.6","39","1","284","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","1900","20.2","8.8","0.02","-46","0.02","0","48","0.7","20.6","0","1.1","272","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","2000","16.3","9.7","0","-43","0","0","65","0.4","20.6","0","1.2","326","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","2100","15.2","9.9","0","-42","0","0","71","0.1","20.5","0","1.2","332","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","2200","14.8","9.5","0","-42","0.01","0","71","0.8","20.4","0","1.2","266","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","2300","16","7.9","0.01","-44","0.02","0","59","1.3","20.3","0","1.1","260","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-01","2400","13.5","7.9","0","-43","0","0","69","0.2","20.2","0","1.1","32","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-02","0100","11.7","8.4","0","-43","0","0","80","0.7","20.1","0","1.1","61","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-02","0200","11","8.4","0","-43","0","0","84","0.3","20","0","1.1","93","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-02","0300","10.3","8.2","0","-43","0","0","87","0.3","19.9","0","1.1","355","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"70","2014-10-02","0400","9.7","8.4","0","-42","0","0","92","0.3","19.8","0","1.1","74","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
