Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"140","2014-10-01","0100","20","5.2","0.1","-52","0.1","0","38","4.8","20.9","0","0.9","329","4.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","0200","19.5","5.4","0.09","-51","0.1","0","40","4.6","20.8","0","0.9","340","4.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","0300","19.6","5.1","0.11","-51","0.11","0","39","5.3","20.7","0","0.9","334","5.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","0400","19.2","4.9","0.12","-51","0.11","0","39","5.9","20.6","0","0.9","336","6","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"140","2014-10-01","0500","18.7","4.8","0.13","-51","0.11","0","40","6.4","20.5","0","0.9","339","6.5","Y","Y","Y"," "," "," ","Y"," "," "," "," "," "," "
"140","2014-10-01","0600","18.1","4.8","0.11","-51","0.1","0","41","5.8","20.4","0","0.9","342","5.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","0700","18","5","0.13","-11","0.1","0","42","5.3","20.4","61","0.9","340","5.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","0800","19.2","5.4","0.28","105","0.31","0","41","6.5","20.3","247","0.9","340","6.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","0900","21","6.2","0.42","224","0.42","0","38","6.4","20.2","442","0.9","344","6.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1000","22.9","6","0.58","325","0.56","0","34","7.2","20.1","611","0.9","345","7.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1100","24.2","5.9","0.67","395","0.65","0","31","6.9","20.1","733","0.9","351","7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1200","25.4","5.9","0.7","432","0.69","0","29","6","20.1","785","0.9","355","6.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1300","26.4","6","0.7","431","0.71","0","27","5.6","20.1","784","0.9","355","5.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1400","27.3","5.8","0.66","381","0.69","0","25","5.6","20.2","719","0.9","355","5.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1500","28","5.1","0.58","309","0.62","0","23","5.2","20.3","594","0.9","358","5.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1600","28.2","5.2","0.42","205","0.47","0","23","4.1","20.4","419","0.9","355","4.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1700","27.4","6.5","0.22","90","0.26","0","27","2.7","20.6","228","1","353","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1800","24.3","7.5","0.09","-23","0.09","0","34","2.1","20.7","47","1","354","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","1900","21","7.4","0.05","-51","0.06","0","42","2.3","20.8","0","1","355","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","2000","16.9","7.1","0.01","-49","0.02","0","52","0.4","20.9","0","1","296","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","2100","16.2","7.2","0.01","-48","0.03","0","55","1.3","20.8","0","1","271","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","2200","14.7","6.9","0.01","-48","0.02","0","59","1.5","20.8","0","1","257","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","2300","14.5","6","0.01","-48","0.02","0","57","1.1","20.7","0","0.9","250","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-01","2400","13.4","6.3","0.01","-48","0.02","0","62","1.7","20.6","0","1","242","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0100","15.3","5.7","0.02","-47","0.03","0","53","1.6","20.5","0","0.9","262","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0200","16.5","5.3","0.03","-48","0.04","0","48","2.1","20.4","0","0.9","283","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0300","16.9","3.7","0.04","-50","0.04","0","41","1.5","20.3","0","0.8","325","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0400","15.9","3.3","0.03","-50","0.04","0","43","1.7","20.1","0","0.8","343","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0500","12.1","3.7","0.01","-47","0.02","0","57","1.2","20","0","0.8","11","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0600","11.8","3.4","0.01","-47","0.02","0","56","1.3","19.9","0","0.8","319","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0700","11.7","4.4","0.03","-9","0.02","0","61","0.7","19.8","59","0.8","325","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0800","14","7.3","0.12","105","0.13","0","64","1","19.7","241","1","336","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-10-02","0900","17.1","8.2","0.25","222","0.26","0","56","1.8","19.6","431","1.1","1","2"," "," "," "," "," "," "," "," "," "," "," "," "," "
