Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"139","2014-10-01","0100","21.8","0.6",,,,"0","25","1.8","21.7","0","0.6","355","2.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","0200","21.2","0.8",,,,"0","26","2.1","21.6","0","0.6","352","2.4","Y","Y","N","N","N"," ","Y"," "," "," "," "," "," "
"139","2014-10-01","0300","20.6","0.6",,,,"0","26","1.5","21.5","0","0.6","348","2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","0400","19.9","0.6",,,,"0","27","1.7","21.5","0","0.6","358","2.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","0500","19.7","0.7",,,,"0","28","2.3","21.4","0","0.6","359","2.8","Y","Y","N","N","N"," ","Y"," "," "," "," "," "," "
"139","2014-10-01","0600","19.2","0.6",,,,"0","29","2","21.4","0","0.6","1","2.4","Y","Y","N","N","N"," ","Y"," "," "," "," "," "," "
"139","2014-10-01","0700","18.7","1.2",,,,"0","31","1.5","21.3","29","0.7","351","2","Y","Y","N","N","N"," ","Y"," "," "," "," "," "," "
"139","2014-10-01","0800","20.1","1.3",,,,"0","29","1.9","21.2","124","0.7","347","2.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","0900","22.2","1.2",,,,"0","25","2.6","21.1","420","0.7","360","3.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1000","23.5","0.8",,,,"0","22","3","20.9","577","0.6","358","3.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1100","24.7","0.5",,,,"0","20","3","20.8","690","0.6","4","3.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1200","25.7","0.6",,,,"0","19","2.5","20.8","747","0.6","16","3.4"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1300","26.9","-1.1",,,,"0","16","2.7","20.7","745","0.6","9","3.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1400","27.8","-2.6",,,,"0","14","2.5","20.8","681","0.5","9","3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1500","28.3","-3.2",,,,"0","13","2.2","20.8","568","0.5","5","2.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1600","28.5","-3.1",,,,"0","13","2","20.9","410","0.5","7","2.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1700","28","-2.4",,,,"0","14","1.6","21","227","0.5","19","1.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1800","24.2","1.8",,,,"0","23","0.3","21.2","44","0.7","46","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","1900","20.4","1",,,,"0","27","0.4","21.2","0","0.7","76","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","2000","16.7","2.2",,,,"0","38","0.8","21.3","0","0.7","243","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","2100","15.4","0.4",,,,"0","36","0.9","21.3","0","0.6","230","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","2200","15.8","-1.2",,,,"0","31","0.9","21.3","0","0.6","231","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","2300","16.2","-1",,,,"0","31","0.7","21.3","0","0.6","214","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-01","2400","13.4","2.9",,,,"0","49","0.5","21.2","0","0.8","233","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0100","11.5","4.5",,,,"0","62","0.2","21.1","0","0.8","249","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0200","11.1","3.7",,,,"0","60","0.7","21.1","0","0.8","247","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0300","10.2","4.2",,,,"0","66","0.2","21","0","0.8","249","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0400","8.8","4.5",,,,"0","75","0.4","20.9","0","0.8","270","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0500","8.4","4.1",,,,"0","74","0.7","20.8","0","0.8","260","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0600","8.8","3.4",,,,"0","69","0.6","20.7","0","0.8","252","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0700","8","4.2",,,,"0","77","0.2","20.6","28","0.8","265","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0800","12.8","4.3",,,,"0","56","0.1","20.5","126","0.8","98","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","0900","21.5","3.6",,,,"0","31","0.5","20.4","417","0.8","40","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1000","24.2","2.3",,,,"0","24","1.5","20.4","562","0.7","28","1.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1100","26.1","1.5",,,,"0","20","1.4","20.3","677","0.7","23","1.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1200","27","2.4",,,,"0","20","1.4","20.3","731","0.7","31","1.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1300","28","3.4",,,,"0","21","1.2","20.3","667","0.8","40","1.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1400","29","3.6",,,,"0","20","1.4","20.4","444","0.8","26","1.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1500","29.9","2.5",,,,"0","17","1.2","20.5","551","0.7","30","1.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1600","29.8","3.6",,,,"0","19","1","20.6","393","0.8","48","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1700","28.2","7.2",,,,"0","27","0.7","20.8","204","1","64","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1800","23.4","10.2",,,,"0","43","0.4","20.9","38","1.2","120","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","1900","19.4","8.2",,,,"0","48","1","21","0","1.1","231","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","2000","18.6","4.1",,,,"0","38","1.1","21.1","0","0.8","229","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","2100","17.8","2.8",,,,"0","37","1.2","21.2","0","0.7","230","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","2200","16.9","3.1",,,,"0","40","1.3","21.2","0","0.8","235","1.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","2300","16.4","3",,,,"0","41","1.4","21.1","0","0.8","245","1.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-02","2400","16","2.7",,,,"0","41","1.4","21.1","0","0.7","238","1.4"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0100","15.9","2.7",,,,"0","41","1.3","21","0","0.7","245","1.4"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0200","15.7","3.2",,,,"0","43","1","20.9","0","0.8","243","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0300","13.4","4.7",,,,"0","56","0.5","20.8","0","0.9","249","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0400","14","3.8",,,,"0","50","1.2","20.7","0","0.8","242","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0500","14.3","3.3",,,,"0","48","1.2","20.7","0","0.8","249","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0600","13.4","3.3",,,,"0","50","1","20.6","0","0.8","235","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0700","13.6","4.3",,,,"0","53","1.1","20.5","22","0.8","237","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0800","17","5.1",,,,"0","45","0.7","20.4","118","0.9","218","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","0900","22.3","6.9",,,,"0","37","0.6","20.2","390","1","51","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1000","25","4.9",,,,"0","27","0.5","20","553","0.9","55","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1100","27.1","5.4",,,,"0","25","0.8","19.9","628","0.9","41","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1200","29.1","5.1",,,,"0","22","0.7","19.9","684","0.9","67","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1300","30.7","4.5",,,,"0","19","0.8","19.9","650","0.8","43","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1400","31.9","4.6",,,,"0","18","0.8","20","575","0.8","57","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1500","32.2","4.9",,,,"0","18","0.8","20.2","525","0.9","64","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1600","31.8","6.2",,,,"0","20","0.6","20.3","387","0.9","85","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1700","29.5","8.5",,,,"0","27","0.5","20.5","196","1.1","89","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1800","24.5","10",,,,"0","40","0.3","20.7","34","1.2","203","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","1900","21.6","8.8",,,,"0","44","0.7","20.8","0","1.1","234","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","2000","17.6","9.7",,,,"0","60","0.1","20.9","0","1.2","289","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","2100","17.8","6.8",,,,"0","48","0.8","21","0","1","226","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","2200","15.9","7.6",,,,"0","58","0.7","21","0","1","249","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","2300","20.7","3.4",,,,"0","32","1","21","0","0.8","231","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-03","2400","20.5","3.3",,,,"0","32","1.2","21","0","0.8","219","1.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0100","15.1","7",,,,"0","58","0.2","21","0","1","27","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0200","12.4","7.9",,,,"0","74","0.3","20.9","0","1.1","259","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0300","11.7","7.3",,,,"0","74","0.9","20.9","0","1","262","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0400","11.2","6.7",,,,"0","74","0.5","20.8","0","1","280","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0500","11.9","6.9",,,,"0","72","0.5","20.8","0","1","289","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0600","13.2","6.3",,,,"0","63","1.1","20.7","0","1","231","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0700","12.1","7",,,,"0","71","0.3","20.6","20","1","25","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0800","15.3","6.7",,,,"0","57","0.8","20.6","123","1","247","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","0900","22.6","6.1",,,,"0","34","0.8","20.5","401","0.9","15","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1000","25.3","6.2",,,,"0","29","1.1","20.4","554","0.9","23","1.3"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1100","27.5","7.1",,,,"0","28","0.7","20.4","572","1","49","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1200","29.4","7.5",,,,"0","25","0.7","20.3","650","1","93","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1300","31.6","6.8",,,,"0","21","0.4","20.4","688","1","56","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1400","32.5","5.3",,,,"0","18","0.6","20.5","567","0.9","74","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1500","33","7.3",,,,"0","20","0.6","20.6","511","1","96","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1600","31.7","10",,,,"0","26","0.5","20.8","377","1.2","102","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1700","30.3","10.8",,,,"0","30","0.3","21","196","1.3","198","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1800","25.1","11.6",,,,"0","43","0.4","21.1","31","1.4","133","0.4"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","1900","19.8","12.1",,,,"0","61","0.2","21.2","0","1.4","251","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","2000","17.2","11.5",,,,"0","69","0.5","21.3","0","1.4","256","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","2100","16.1","10.8",,,,"0","71","0.2","21.4","0","1.3","306","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","2200","15.8","8.9",,,,"0","63","0.8","21.4","0","1.1","244","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","2300","18.5","3.9",,,,"0","38","1.5","21.4","0","0.8","236","1.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-04","2400","19.6","1.9",,,,"0","31","1.7","21.3","0","0.7","222","1.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0100","16.7","4.9",,,,"0","45","0.3","21.3","0","0.9","90","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0200","13.3","7.1",,,,"0","66","0.6","21.2","0","1","251","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0300","13","7",,,,"0","67","0.6","21.2","0","1","256","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0400","12.5","7.1",,,,"0","70","0.7","21.1","0","1","256","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0500","12.7","7",,,,"0","68","0.2","21","0","1","338","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0600","11.2","6.9",,,,"0","75","0.2","20.9","0","1","118","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0700","11","7.5",,,,"0","79","0.1","20.9","19","1","241","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0800","16.2","7.8",,,,"0","58","0.5","20.8","121","1.1","214","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","0900","23","7.9",,,,"0","38","0.8","20.7","388","1.1","21","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1000","25.9","8.4",,,,"0","33","0.9","20.6","536","1.1","41","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1100","28.3","8.6",,,,"0","29","0.7","20.6","560","1.1","46","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1200","30.4","8.4",,,,"0","25","0.5","20.6","607","1.1","97","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1300","31.9","8.2",,,,"0","23","0.6","20.6","700","1.1","75","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1400","32.9","8.8",,,,"0","23","0.7","20.7","630","1.1","76","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1500","33.5","8.2",,,,"0","21","0.5","20.9","525","1.1","82","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1600","32.3","11.7",,,,"0","28","0.5","21","368","1.4","94","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1700","30.4","13.4",,,,"0","36","0.4","21.2","190","1.5","105","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1800","25.9","13.3",,,,"0","46","0.4","21.4","28","1.5","118","0.4"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","1900","21.7","12.3",,,,"0","55","0.6","21.5","0","1.4","221","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","2000","19.9","11.4",,,,"0","58","0.8","21.6","0","1.3","230","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","2100","18.5","10.5",,,,"0","60","0.4","21.6","0","1.3","279","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","2200","17.5","9.4",,,,"0","59","1.1","21.6","0","1.2","243","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","2300","18.1","8.3",,,,"0","53","0.5","21.6","0","1.1","202","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-05","2400","14.6","9.9",,,,"0","74","0.3","21.6","0","1.2","244","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0100","14.3","9.5",,,,"0","73","0.1","21.5","0","1.2","271","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0200","13.1","9.2",,,,"0","77","0.1","21.5","0","1.2","355","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0300","12.3","8.7",,,,"0","79","0.2","21.4","0","1.1","237","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0400","11.3","8.2",,,,"0","82","0.4","21.3","0","1.1","51","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0500","11.3","8.2",,,,"0","81","0.5","21.3","0","1.1","261","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0600","10.7","8.1",,,,"0","84","0.6","21.2","0","1.1","249","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0700","11.1","8.6",,,,"0","84","0.5","21.1","17","1.1","248","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0800","14.4","10",,,,"0","75","0.2","21","120","1.2","127","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","0900","21.9","8.8",,,,"0","43","0.5","20.8","375","1.1","48","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1000","25.4","9.1",,,,"0","35","0.8","20.6","541","1.2","48","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1100","27.6","9.5",,,,"0","32","0.8","20.5","488","1.2","88","1.2"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1200","29.6","9.7",,,,"0","29","0.7","20.4","472","1.2","82","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1300","31.3","9.5",,,,"0","26","0.6","20.5","557","1.2","80","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1400","32.7","8.6",,,,"0","23","0.5","20.5","582","1.1","67","0.9"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1500","32.6","11.3",,,,"0","27","0.7","20.7","522","1.3","64","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1600","31.5","12",,,,"0","30","0.7","20.8","360","1.4","57","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1700","29","12.9",,,,"0","37","0.6","21","182","1.5","44","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1800","24.8","13.3",,,,"0","49","0.3","21.1","18","1.5","39","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","1900","21","13.7",,,,"0","63","0.5","21.3","0","1.6","249","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","2000","18.4","13.6",,,,"0","74","0.6","21.4","0","1.6","258","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","2100","17.5","12.5",,,,"0","73","0.2","21.4","0","1.5","260","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","2200","16.6","11.8",,,,"0","73","0.2","21.4","0","1.4","71","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","2300","15.4","11.5",,,,"0","78","0.1","21.4","0","1.4","251","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-06","2400","17.7","9.7",,,,"0","59","0.2","21.4","0","1.2","204","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0100","18.5","8",,,,"0","50","0.2","21.4","0","1.1","233","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0200","14.7","8.6",,,,"0","67","0.2","21.3","0","1.1","55","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0300","16.5","7",,,,"0","53","0.5","21.3","0","1","72","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0400","16.1","5.3",,,,"0","49","0.3","21.2","0","0.9","70","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0500","13.1","7",,,,"0","67","0.4","21.2","0","1","248","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0600","11.2","7.5",,,,"0","78","0.5","21.1","0","1","258","0.7"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0700","11.5","7.1",,,,"0","74","0.1","21","17","1","291","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0800","14.1","8",,,,"0","67","0.3","21","110","1.1","183","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","0900","21.1","8.7",,,,"0","45","0.5","20.9","350","1.1","47","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1000","24.8","8.8",,,,"0","36","0.6","20.8","532","1.1","50","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1100","27","8.9",,,,"0","32","0.7","20.8","547","1.1","51","1.1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1200","29","8.9",,,,"0","29","0.8","20.7","465","1.1","92","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1300","30.8","9.2",,,,"0","26","0.6","20.8","625","1.2","69","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1400","32.2","8.6",,,,"0","23","0.6","20.8","643","1.1","97","1"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1500","33.4","10",,,,"0","24","0.4","21","524","1.2","89","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1600","32.2","11.4",,,,"0","28","0.3","21.1","367","1.3","98","0.6"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1700","28.7","11.5",,,,"0","35","0.2","21.3","123","1.4","108","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1800","24.6","13.8",,,,"0","51","0.4","21.4","22","1.6","242","0.5"," "," ","N","N","N"," "," "," "," "," "," "," "," "
"139","2014-10-07","1900","21.5","12.2",,,,"0","55","0.4","21.5","0","1.4","235","0.8"," "," ","N","N","N"," "," "," "," "," "," "," "," "
