Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"196","2015-10-01","0100","16","11.4","0","-27","0","0","74","0.2","21.4","0","1.3","65","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","0200","15.7","11.3","0","-27","0","0","75","0.8","21.4","0","1.3","225","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","0300","16.1","11.4","0","-27","0","0","74","0.1","21.3","0","1.3","33","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","0400","16.4","11.6","0","-27","0","0","73","0.3","21.2","0","1.4","335","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","0500","16.5","11.3","0.01","-28","0","0","71","0.6","21.1","0","1.3","271","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","0600","16.3","10.8","0.01","-28","0","0","70","0.4","21","0","1.3","13","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","0700","16.1","10.9","0.03","-2","0.01","0","71","0.4","21","34","1.3","287","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","0800","18.2","11.8","0.08","65","0.1","0","66","0.8","20.9","159","1.4","353","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","0900","19.1","13","0.11","85","0.14","0","68","1.2","20.8","193","1.5","25","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","1000","19.7","13.9","0.18","154","0.21","0","69","1.1","20.8","309","1.6","32","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","1100","22","13.4","0.29","248","0.31","0","58","1.1","20.7","448","1.5","17","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","1200","24","12.9","0.45","375","0.44","0","50","0.6","20.7","635","1.5","30","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","1300","25.8","12.8","0.54","436","0.53","0","45","0.8","20.8","742","1.5","86","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"196","2015-10-01","1400","26.7","12.4","0.53","420","0.56","0","41","0.9","20.9","756","1.4","63","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
