Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"131","2015-10-01","0100","17","14.1","0","-16","0","0","83","0.6","22.8","0","1.6","108","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","0200","16.6","13.8","0","-16","0","0.1","84","0.8","22.7","0","1.6","107","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","0300","16","13.8","0","-16","0","0.5","87","0.4","22.7","0","1.6","98","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","0400","15.7","14.2","0","-16","0","0.2","91","0.3","22.6","0","1.6","267","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","0500","15.6","14.3","0","-16","0","0.2","92","0.4","22.5","0","1.6","145","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","0600","15.4","14.3","0","-16","0","0","93","0.3","22.4","0","1.6","65","0.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","0700","15.6","14.5","0","-11","0","0.5","93","0.3","22.4","7","1.7","61","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","0800","16.3","15.3","0.01","8","0.01","0.4","94","0.9","22.3","57","1.7","72","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","0900","17.2","16","0.05","46","0.09","0","93","1","22.2","138","1.8","261","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","1000","17.7","16.2","0.05","42","0.07","0","91","1.6","22.2","151","1.8","255","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","1100","19.2","15.9","0.15","131","0.19","0","81","1.3","22.2","292","1.8","266","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"131","2015-10-01","1200","20.3","15.4","0.16","141","0.21","0","73","0.4","22.3","312","1.7","194","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
