Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"212","2015-10-01","0100",,,"0.03","-36","0.02","0",,"1.1","17.7","0","0","237","2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","0200",,,"0.02","-37","0.02","0",,"0.4","17.7","0","0","180","1","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","0300",,,"0.02","-37","0.02","0",,"0.7","17.6","0","0","207","1.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","0400",,,"0.02","-37","0.01","0",,"1.6","17.6","0","0","218","1.7","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","0500",,,"0.01","-37","0.01","0.1",,"0.9","17.6","0","0","212","1.3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","0600",,,"0.01","-36","0.01","0",,"0.6","17.6","0","0","142","1","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","0700",,,"0.04","-28","0.03","0",,"0.2","17.5","11","0","151","0.7","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","0800",,,"0.13",,"0.13","0",,"0.6","17.5","63","0","208","1.3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","0900",,,"0.27",,"0.26","0",,"2.1","17.5","172","0","239","2.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1000",,,"0.41",,"0.38","0",,"2.2","17.5","291","0","243","2.4","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1100",,,"0.51",,"0.47","0",,"2.1","17.6","325","0","234","2.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1200",,,"0.57",,"0.54","0",,"2.1","17.7","433","0","261","2.3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1300",,,"0.58",,"0.56","0",,"1.3","17.9","531","0","214","2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1400",,,"0.54",,"0.53","0",,"1.2","18.1","503","0","198","2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1500",,,"0.47","135","0.48","0",,"2.1","18.4","301","0","229","2.5","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1600",,,"0.35",,"0.39","0",,"3.2","18.8","377","0","250","3.4","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1700",,,"0.22",,"0.27","0",,"3.5","19.1","227","0","247","3.6","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1800",,,"0.09","-82","0.09","0",,"3.6","19.4","47","0","247","3.6","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","1900",,,"0.05","-107","0.06","0",,"2.7","19.6","0","0","226","2.8","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","2000",,,"0.03","-105","0.05","0",,"2.8","19.6","0","0","230","2.8","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","2100",,,"0.02","-105","0.04","0",,"3.2","19.6","0","0","234","3.2","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","2200",,,"0.02","-105","0.03","0",,"3.1","19.5","0","0","240","3.2","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","2300",,,"0.01","-104","0.03","0",,"3","19.3","0","0","249","3.1","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-01","2400",,,"0.01","-104","0.02","0",,"1.6","19.1","0","0","262","1.7","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0100",,,"0.01","-80","0.02","0",,"1.7","19","0","0","265","1.7","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0200",,,"0.01","-79","0.02","0",,"1.5","18.8","0","0","274","1.5","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0300",,,"0.01","-80","0.02","0",,"1","18.6","0","0","309","1.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0400",,,"0","-79","0.01","0",,"1.1","18.4","0","0","272","1.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0500",,,"0","-80","0.01","0",,"1.1","18.3","0","0","280","1.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0600",,,"0","-79","0.01","0",,"1","18.1","0","0","284","1.1","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0700",,,"0.02",,"0.02","0",,"1","17.9","51","0","285","1.1","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0800",,,"0.12",,"0.12","0",,"1.4","17.7","198","0","271","1.5","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","0900",,,"0.27",,"0.25","0",,"1.7","17.6","386","0","316","1.9","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1000",,,"0.4",,"0.37","0",,"2.1","17.6","534","0","332","2.4","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1100",,,"0.5",,"0.47","0",,"2.7","17.6","634","0","331","3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1200",,,"0.57",,"0.53","0",,"3.2","17.7","680","0","338","3.5","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1300",,,"0.58","352","0.55","0",,"2.9","17.9","672","0","335","3.3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1400",,,"0.53","310","0.53","0",,"3","18.2","613","0","332","3.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1500",,,"0.46",,"0.48","0",,"2.7","18.5","504","0","339","3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1600",,,"0.35",,"0.39","0",,"2.4","18.9","356","0","339","2.6","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1700",,,"0.22",,"0.27","0",,"3.6","19.3","173","0","254","3.9","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1800",,,"0.1",,"0.09","0",,"3.5","19.7","36","0","249","3.6","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","1900",,,"0.06",,"0.06","0",,"3.2","19.9","0","0","242","3.3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","2000",,,"0.04",,"0.04","0",,"2.8","19.9","0","0","239","2.9","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","2100",,,"0.03",,"0.04","0",,"3.2","19.9","0","0","243","3.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","2200",,,"0.03",,"0.03","0",,"3.5","19.8","0","0","242","3.5","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","2300",,,"0.02",,"0.03","0",,"3.3","19.6","0","0","243","3.4","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-02","2400",,,"0.02",,"0.02","0",,"3.3","19.5","0","0","244","3.4","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0100",,,"0.01",,"0.02","0",,"3","19.3","0","0","251","3.1","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0200",,,"0",,"0.02","0",,"2.8","19.1","0","0","255","2.9","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0300",,,"0",,"0.02","0",,"2.4","18.9","0","0","258","2.5","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0400",,,"0",,"0.01","0",,"2.2","18.7","0","0","257","2.2","S","Q","A","R","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0500",,,"0",,"0.01","0",,"2.4","18.5","0","0","264","2.5","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0600",,,"0",,"0.01","0",,"2.3","18.3","0","0","261","2.3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0700",,,"0.02",,"0.02","0",,"2.6","18.2","52","0","251","2.6","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0800",,,"0.12",,"0.12","0",,"2.7","18","226","0","242","2.7","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","0900",,,"0.26",,"0.25","0",,"2.8","17.9","376","0","242","2.9","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","1000",,,"0.4",,"0.37","0",,"3","17.8","549","0","257","3.2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","1100",,,"0.5",,"0.46","0",,"2.6","17.8","648","0","266","2.8","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","1200",,,"0.56",,"0.53","0",,"3.4","17.9","659","0","212","3.6","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","1300",,,"0.57",,"0.55","0",,"4.7","18.1","689","0","217","4.9","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","1400",,,"0.53",,"0.53","0",,"6","18.3","624","0","239","6.1","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","1500",,,"0.46",,"0.47","0",,"7.1","18.6","512","0","228","7.3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","1600",,,"0.34",,"0.38","0",,"7.3","19","360","0","230","7.5","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","1700",,,"0.21",,"0.26","0",,"7.1","19.3","169","0","230","7.2","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-03","1800",,,"0.1",,"0.08","0",,"6.6","19.5","32","0","223","6.7","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-03","1900",,,"0.06",,"0.06","0",,"6.7","19.5","0","0","223","6.8","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","2000",,,"0.04",,"0.04","0",,"4.4","19.4","0","0","220","4.5","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","2100",,,"0.03",,"0.04","0",,"2.4","19.1","0","0","194","2.4","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-03","2200",,,"0.03",,"0.03","0",,"0.9","18.9","0","0","235","1.3","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-03","2300",,,"0.02",,"0.03","0",,"1.4","18.7","0","0","244","1.7","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-03","2400",,,"0.02",,"0.02","1.8",,"0.9","18.4","0","0","40","1.8","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-04","0100",,,"0.01",,"0.02","0.5",,"0.8","18.3","0","0","24","1.8","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-04","0200",,,"0.01",,"0.02","0",,"1.5","18.1","0","0","312","1.9","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-04","0300",,,"0.01",,"0.02","0",,"1.6","18","0","0","54","2","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-04","0400",,,"0",,"0.01","0",,"1.9","17.9","0","0","117","2.4","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-04","0500",,,"0",,"0.01","0",,"2.2","17.8","0","0","129","2.3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-04","0600",,,"0",,"0.01","0",,"2.6","17.7","0","0","137","2.7","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-04","0700",,,"0.02",,"0.02","0",,"1.7","17.5","46","0","174","1.8","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-04","0800",,,"0.12",,"0.12","0",,"2.5","17.4","186","0","160","2.7","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-04","0900",,,"0.26",,"0.25","0",,"3.5","17.3","384","0","127","3.6","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-04","1000",,,"0.39",,"0.37","0",,"2.9","17.2","532","0","129","3","S","Q","A","T","A"," ","Q"," "," "," ","Q"," "," "
"212","2015-10-04","1100",,,"0.49",,"0.46","0",,"2.5","17.3","675","0","142","2.7","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-04","1200",,,"0.56",,"0.52","0",,"1.6","17.4","651","0","149","1.9","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
"212","2015-10-04","1300",,,"0.57",,"0.54","0",,"0.8","17.5","666","0","67","1.7","S","Q","A","Q","A"," ","Q"," "," "," ","S"," "," "
